,emotion,headline,url
2164,surprise,Look ... Falling,https://www.newsmax.com/finance/seanhyman/new-zealand-dollar/2008/08/01/id/324766/
2099,disgust,Rabbi: ... 'Sacrilege',https://www.newsmax.com/insidecover/obama-western-wall/2008/07/27/id/324705/
2668,neutral,Rogers: ... China,https://www.newsmax.com/finance/streettalk/roger-us-communists/2008/09/09/id/325258/
729,neutral,Your ... 2nd,https://www.newsmax.com/us/stimulus-rebate-checks/2008/03/17/id/323215/
1584,neutral,Yahoo ... Deal,https://www.newsmax.com/finance/companies/yahoo-microsoft-google/2008/06/12/id/324090/
4571,neutral,Poll: ... Promises,https://www.newsmax.com/insidecover/obama-healthcare-poll/2009/08/05/id/332110/
545,neutral,Fed ... Zero,https://www.newsmax.com/finance/headline/interest-rates/2009/01/28/id/327927/
2196,disgust,Axelrod: ... Cool',https://www.newsmax.com/insidecover/axelrod-anti-americanism/2009/04/21/id/329609/
625,neutral,Economists: ... State,https://www.newsmax.com/newsfront/obama-welfare-state/2009/02/02/id/328050/
4569,surprise,The ... Boom,https://www.newsmax.com/finance/danmangru/china/2009/08/05/id/332111/
3625,sadness,"Injuries, ... Spokesman",https://www.newsmax.com/us/jackson-death-mystery/2009/06/26/id/331169/
7152,neutral,Roubini: ... Hope,https://www.newsmax.com/finance/streettalk/roubini-stimulus/2009/11/19/id/336313/
4442,sadness,Hollywood ... Thaw,https://www.newsmax.com/entertainment/stars-visit-cuba/2009/07/31/id/331994/
2711,fear,Huge ... Zero,https://www.newsmax.com/newsfront/ground-zero-security/2009/05/15/id/330133/
3305,anger,Consultant ... Age,https://www.newsmax.com/insidecover/murphy-gop-ice-age/2009/06/15/id/330894/
2078,neutral,NY ... Money,https://www.newsmax.com/finance/companies/ny-times/2009/04/16/id/329523/
6966,fear,Marie ... Talk',https://www.newsmax.com/newsfront/marie-osmond-sara-gilbert-cbs-the-talk/2019/05/08/id/915037/
14401,fear,How ... Recession,https://www.newsmax.com/finance/streettalk/world-economy-recession-watch/2019/10/11/id/936666/
14173,neutral,Trump ... Meese,https://www.newsmax.com/newsfront/us-trump-meese/2019/10/08/id/936234/
205,disgust,Woman ... Birth,https://www.newsmax.com/newsfront/us-vegetative-state-birth/2019/01/05/id/896973/
9742,neutral,Not ... Theaters,https://www.newsmax.com/finance/taralachapelle/avengers-movie-theaters-films-summer/2019/07/02/id/923031/
17356,neutral,Did ... Home?,https://www.newsmax.com/health/alinezoldbrod/sex-negative-childhood-therapy-inhibition/2019/12/06/id/944872/
18005,fear,Over ... Impeachment,https://www.newsmax.com/politics/trump-impeachment-ken-burns-sidney-blumenthal/2019/12/17/id/946274/
8328,sadness,Ohio ... Deaths,https://www.newsmax.com/newsfront/doctor-charged-murder-hospital/2019/06/05/id/919059/
3737,neutral,Fed's ... Pause,https://www.newsmax.com/finance/economy/federal-reserve-powell-trump-rate/2019/03/11/id/906327/
10547,neutral,Report: ... Congress,https://www.newsmax.com/newsfront/jim-langevin-trump-administration-cybersecurity/2019/07/19/id/925185/
18076,sadness,Rep. ... Impeachment,https://www.newsmax.com/politics/rep-joe-kennedy-kids/2019/12/18/id/946465/
17704,neutral,US ... China,https://www.newsmax.com/finance/headline/china-trade-deal-us/2019/12/12/id/945717/
1758,fear,Causes ... Pain,https://www.newsmax.com/health/dr-small/pain-sciatica-sprain-scoliosis/2019/02/05/id/901380/
17577,disgust,DC ... Scandal,https://www.newsmax.com/us/jack-evans-dc-city-council/2019/12/10/id/945230/
6063,neutral,Crosswords ... Cognition,https://www.newsmax.com/health/dr-small/crossword-puzzles-verbal-skills-dementia/2019/04/23/id/912979/
6892,sadness,Report: ... Panel,https://www.newsmax.com/politics/heather-nauert-white-house-state-department-spokeswoman/2019/05/07/id/915007/
18535,neutral,Filmmaker ... 2020,https://www.newsmax.com/politics/moore-trump-2020/2019/12/30/id/947820/
2123,neutral,Debt ... Anymore,https://www.newsmax.com/finance/johnmauldin/debt-save-china/2019/02/11/id/902143/
5543,fear,IMF ... Wobbles,https://www.newsmax.com/finance/economy/imf-world-economy-harm/2019/04/12/id/911533/
6136,neutral,Ivanka ... Collusion',https://www.newsmax.com/politics/ivanka-trump-russia-mueller/2018/02/26/id/845444/
10799,neutral,Huckabee ... DC,https://www.newsmax.com/politics/mike-huckabee-paul-ryan-retirement-congress/2018/04/12/id/854109/
21713,neutral,William ... Commissioner,https://www.newsmax.com/thewire/william-gross-boston-police-commissioner/2018/07/23/id/873261/
32389,neutral,The ... Fast,https://www.newsmax.com/finance/streettalk/negative-yielding-debt-pile/2018/12/19/id/895113/
