,Unnamed: 0,emotion,headline,url
0,2164,surprise,Look ... Falling,https://www.newsmax.com/finance/seanhyman/new-zealand-dollar/2008/08/01/id/324766/
10,3625,sadness,"Injuries, ... Spokesman",https://www.newsmax.com/us/jackson-death-mystery/2009/06/26/id/331169/
20,9742,neutral,Not ... Theaters,https://www.newsmax.com/finance/taralachapelle/avengers-movie-theaters-films-summer/2019/07/02/id/923031/
30,6063,neutral,Crosswords ... Cognition,https://www.newsmax.com/health/dr-small/crossword-puzzles-verbal-skills-dementia/2019/04/23/id/912979/
40,183,neutral,Rep. ... Probe,https://www.newsmax.com/politics/jim-himes-russia-investigation-probe/2018/01/03/id/834932/
50,25939,neutral,Hogan ... Trade,https://www.newsmax.com/politics/hogan-gidley-trump-trade-china/2018/09/10/id/881018/
60,195,neutral,Jim ... Predictions,https://www.newsmax.com/finance/streettalk/jim-cramer-byron-wien-fortune-2018/2018/01/03/id/834950/
70,34969,neutral,First ... Taylor,https://www.newsmax.com/fastfeatures/president-zachary-taylor-pets/2015/12/21/id/706720/
80,10030,fear,Do ... Men?,https://www.newsmax.com/fastfeatures/men-prostate-cycling-health-precautions/2015/03/19/id/631137/
90,17371,neutral,Mel ... Role,https://www.newsmax.com/fastfeatures/hollywood-mel-gibson/2015/05/14/id/644692/
100,6289,sadness,Germany ... Dead,https://www.newsmax.com/newsfront/germany-ukraine-ceasefire-damaged/2015/02/18/id/625509/
110,18722,neutral,Dick ... Benghazi,https://www.newsmax.com/newsfront/cheney-clinton-responsible-benghazi/2014/05/18/id/571945/
120,5611,neutral,RGA ... Walker,https://www.newsmax.com/politics/scott-walker-mary-burke-wisconsin-2014-elections/2014/02/13/id/552533/
130,48256,neutral,Media ... Losers,https://www.newsmax.com/newsmax-tv/gwyneth-paltrow-bill-cosby-pope-francis/2014/12/30/id/615670/
140,11184,joy,Christie: ... Life,https://www.newsmax.com/us/christie-weight-loss-life-changing/2014/03/26/id/561986/
150,46798,neutral,Jeb ... 2016,https://www.newsmax.com/ronntorossian/jeb-bush-2016-elections/2014/12/16/id/613269/
160,4845,fear,Antarctic ... Recalculation,https://www.newsmax.com/thewire/antarctic-melt-climate-change/2016/03/31/id/721589/
170,3510,neutral,Prazosin ... Know,https://www.newsmax.com/fastfeatures/prazosin-prostate-benefits-risks/2016/03/07/id/717938/
180,23011,neutral,Michael ... Liberty',https://www.newsmax.com/thewire/michael-savage-statue-of-liberty/2017/08/03/id/805488/
