,url,emotion,headline,source,yr,sentiment,rel
855,https://www.newsmax.com/finance/markets/china-stocks-bubble-markets/2015/06/27/id/652486/,fear,China ... Rise,newsmax,2015,-1,1
2592,https://www.newsmax.com/finance/streettalk/fed-fisher-limits-easing/2012/11/27/id/465482/,neutral,Fed's ... Limits,newsmax,2012,0,1
2978,https://www.newsmax.com/finance/economy/cash-strapped-states-sell-bonds/2010/10/06/id/372801/,neutral,Illinois ... Overseas,newsmax,2010,0,1
2988,https://www.newsmax.com/finance/headline/eu-europe-financial-crisis/2010/05/14/id/359026/,fear,ECB's ... Fears,newsmax,2010,-1,1
2998,https://www.newsmax.com/finance/economy/payrolls-decrease-36-states/2010/09/21/id/371002/,neutral,Payrolls ... Recovery,newsmax,2010,0,1
3965,https://www.nbcnews.com/business/consumer/mattress-industry-caught-napping-amazon-makes-stealth-move-its-market-n929746,neutral,Mattress ... market,nbcnews,2018,0,1
4043,https://www.nbcnews.com/business/economy/mixed-wage-growth-reveals-economys-speed-bump-n335291,neutral,Mixed ... Bump,nbcnews,2015,0,1
4375,https://www.nbcnews.com/business/markets/bitcoin-exchange-mt-gox-files-u-s-bankruptcy-protection-n48986,neutral,Bitcoin ... Protection,nbcnews,2014,0,1
4381,https://www.nbcnews.com/business/markets/stocks-close-higher-putin-eases-market-fears-ukraine-split-n55546,fear,Stocks ... Split,nbcnews,2014,-1,1
4562,https://www.nbcnews.com/business/economy/employment-revs-june-economy-creates-288k-jobs-n147276,surprise,Employment ... Jobs,nbcnews,2014,0,1
4758,https://www.nbcnews.com/business/economy/gas-drops-below-1-50-some-areas-we-haven-t-n508766,neutral,Gas ... Yet,nbcnews,2016,0,1
7318,https://www.cbsnews.com/news/global-economic-growth-worries-send-stocks-lower/,fear,Global ... lower,cbs,2014,-1,1
7657,https://www.cbsnews.com/news/global-markets-mixed-after-ecb-keeps-policy-unchanged/,neutral,Global ... unchanged,cbs,2016,0,1
8820,https://www.cbsnews.com/news/us-stocks-open-mixed-before-fed-auction-results/,fear,U.S. ... Results,cbs,2007,-1,1
11907,https://www.wsj.com/articles/baidu-reports-50-quarterly-profit-drop-but-revenue-beats-projections-11550787977?tesla=y,neutral,Baidu ... Slows,wsj,2019,0,1
11911,https://www.wsj.com/articles/oils-slide-highlights-global-growth-fears-11560733588?tesla=y,fear,Oil’s ... Fears,wsj,2019,-1,1
11926,https://www.wsj.com/articles/norwegian-air-replaces-ceo-forecasts-lower-growth-11562845467?tesla=y,neutral,Norwegian ... Growth,wsj,2019,0,1
11933,https://www.wsj.com/articles/global-stocks-hold-gains-on-strong-earnings-11549442367?tesla=y,neutral,U.S. ... Streak,wsj,2019,0,1
12070,https://www.wsj.com/articles/earnings-help-steer-stock-markets-recovery-11551009600?tesla=y,neutral,Earnings ... Recovery,wsj,2019,0,1
12194,https://www.wsj.com/articles/stocks-yuan-drop-sharply-as-trade-spat-intensifies-11564981961?tesla=y,fear,Stocks ... China,wsj,2019,-1,1
12249,https://www.wsj.com/articles/u-s-household-debt-up-193-billion-to-13-15-trillion-to-end-2017-1518537600?tesla=y,sadness,U.S. ... 2017,wsj,2018,-1,1
12307,https://www.wsj.com/articles/can-a-strong-earnings-season-halt-the-stock-market-slide-1522794226?tesla=y,fear,Can ... Slide?,wsj,2018,-1,1
12310,https://www.wsj.com/articles/home-improvement-stocks-slide-despite-strong-economy-1541595601?tesla=y,sadness,Home-Improvement ... Economy,wsj,2018,-1,1
12319,https://www.wsj.com/articles/u-s-treasury-yields-fall-as-stocks-drift-lower-1534948310?tesla=y,neutral,U.S. ... Lower,wsj,2018,0,1
12399,https://www.wsj.com/articles/mcdonalds-results-beat-estimates-1540299480?tesla=y,neutral,Higher ... Sales,wsj,2018,0,1
13014,https://www.wsj.com/articles/bank-indonesias-warjiyo-seeks-stability-ahead-of-anticipated-fed-rate-increase-1448065177?tesla=y,neutral,Bank ... Increase,wsj,2015,0,1
13026,https://www.wsj.com/articles/express-scripts-raises-guidance-as-earnings-top-views-1438116544?tesla=y,neutral,Express ... Views,wsj,2015,0,1
13055,https://www.wsj.com/articles/gold-falls-on-weak-china-trade-data-profit-taking-1444734843?tesla=y,neutral,Gold ... High,wsj,2015,0,1
13080,https://www.wsj.com/articles/global-stocks-steady-as-data-adds-to-doubts-about-chinas-growth-target-1445242023?tesla=y,neutral,U.S. ... Prices,wsj,2015,0,1
13138,https://www.wsj.com/articles/dollar-edges-lower-after-jobs-report-1431092083?tesla=y,anger,Dollar ... Report,wsj,2015,-1,1
13165,https://www.wsj.com/articles/global-maritime-investments-files-for-bankruptcy-1442405394?tesla=y,neutral,Global ... Bankruptcy,wsj,2015,0,1
13353,https://www.wsj.com/articles/cheung-kong-hutchison-whampoa-seek-7-1-billion-loan-1422351967?tesla=y,neutral,Cheung ... Loan,wsj,2015,0,1
13397,https://www.wsj.com/articles/gamestop-shares-fall-on-weak-earnings-1448289567?tesla=y,neutral,GameStop ... Earnings,wsj,2015,0,1
13504,https://www.wsj.com/articles/oil-weak-after-latest-drop-china-data-disappoints-1437713425?tesla=y,neutral,Oil ... Increases,wsj,2015,0,1
13551,https://www.wsj.com/articles/post-shares-are-looking-soggy-ahead-of-the-tape-1416775277?tesla=y,sadness,Post ... Soggy,wsj,2014,-1,1
13782,https://www.wsj.com/articles/imf-canada-hasnt-completely-shifted-from-consumer-led-growth-1396974277?tesla=y,neutral,IMF: ... Growth,wsj,2014,0,1
13849,https://www.wsj.com/articles/monte-dei-paschi-prices-rights-issue-at-steep-discount-1401996364?tesla=y,neutral,Monte ... Discount,wsj,2014,0,1
13922,https://www.wsj.com/articles/ericssons-second-quarter-results-beat-expectations-sees-higher-sales-1405665277?tesla=y,joy,Ericsson's ... Sales,wsj,2014,1,1
14108,https://www.wsj.com/articles/opec-oil-prices-fall-below-60-a-barrel-1418634453?tesla=y,fear,UAE ... Premature,wsj,2014,-1,1
14617,https://www.wsj.com/articles/valeant-cuts-guidance-warns-of-possible-default-shares-cut-in-half-1458090709?tesla=y,sadness,Valeant ... Half,wsj,2016,-1,1
14630,https://www.wsj.com/articles/gold-prices-gain-following-fed-decision-1474554824?tesla=y,joy,Gold ... Decision,wsj,2016,1,1
14658,https://www.wsj.com/articles/tupperware-sales-fall-on-strong-dollar-1453899270?tesla=y,neutral,Tupperware ... Dollar,wsj,2016,0,1
14693,https://www.wsj.com/articles/citrix-raises-annual-outlook-as-quarterly-earnings-jump-1476912688?tesla=y,neutral,Citrix ... Jump,wsj,2016,0,1
14729,https://www.wsj.com/articles/uae-energy-minister-sees-global-crude-markets-correcting-before-year-end-1457342783?tesla=y,neutral,UAE ... Year-End,wsj,2016,0,1
14855,https://www.wsj.com/articles/turkey-lifts-economic-growth-forecasts-1452512817?tesla=y,neutral,Turkey ... Forecasts,wsj,2016,0,1
14888,https://www.wsj.com/articles/tjx-results-top-estimates-but-holiday-quarter-view-falls-short-1479219087?tesla=y,sadness,TJX ... Short,wsj,2016,-1,1
14922,https://www.wsj.com/articles/asian-morning-briefing-u-s-stocks-little-changed-after-fed-minutes-1476308828?tesla=y,neutral,Asian ... Minutes,wsj,2016,0,1
14941,https://www.wsj.com/articles/dell-sells-20-billion-of-secured-bonds-1463503587?tesla=y,sadness,Dell ... Bonds,wsj,2016,-1,1
14946,https://www.wsj.com/articles/yahoo-suitors-expected-to-bid-2-billion-to-3-billion-below-past-indications-1463713093?tesla=y,neutral,Yahoo ... Indications,wsj,2016,0,1
14973,https://www.wsj.com/articles/sonic-shares-fall-on-weak-quarterly-same-store-sales-outlook-1463585293?tesla=y,neutral,Sonic ... Outlook,wsj,2016,0,1
15017,https://www.wsj.com/articles/global-stocks-inch-up-ahead-of-u-s-jobs-report-1457080592?tesla=y,sadness,U.S. ... 17000,wsj,2016,-1,1
15958,https://www.wsj.com/articles/blockchain-firm-r3-raises-107-million-1495548641?tesla=y,joy,Blockchain ... Million,wsj,2017,1,1
15978,https://www.wsj.com/articles/oil-prices-pushed-lower-by-strong-dollar-1502709001?tesla=y,neutral,Oil ... Low,wsj,2017,0,1
16096,https://www.wsj.com/articles/global-economy-week-ahead-u-s-and-u-k-inflation-ecb-meeting-china-gdp-1484510402?tesla=y,neutral,Global ... GDP,wsj,2017,0,1
16181,https://www.wsj.com/articles/states-push-to-raise-gasoline-taxes-1487673018?tesla=y,anger,States ... Taxes,wsj,2017,-1,1
16218,https://www.wsj.com/articles/tequila-giant-jose-cuervo-riding-weak-peso-to-ipo-market-1486592909?tesla=y,neutral,Tequila ... Market,wsj,2017,0,1
16290,https://www.wsj.com/articles/rosengren-tight-labor-markets-justify-fed-plans-to-keep-raising-rates-1501701699?tesla=y,neutral,Rosengren: ... Rates,wsj,2017,0,1
16761,https://www.wsj.com/articles/canadian-dollar-ends-slightly-lower-in-quiet-trading-1376943794?tesla=y,neutral,Canadian ... Trading,wsj,2013,0,1
16879,https://www.wsj.com/articles/ecb-cuts-rates-unexpectedly-as-low-inflation-threatens-recovery-1383828884?tesla=y,fear,ECB ... Recovery,wsj,2013,-1,1
24658,https://www.huffpost.com/entry/steve-jobs-movie-sony-acquires-walter-isaacson-book_n_1001015,joy,Steve ... Book,hp,2011,1,1
36287,https://apnews.com/fcd89fe6f4ac4ca2800242c21500a44c/Stock-markets-rise-on-strong-German-trade-data,neutral,Stock ... data,ap,2017,0,1
37955,https://www.foxbusiness.com/markets/china-leads-stock-markets-retreat-on-trade-talks-doubts,fear,China ... doubts,fox,2019,-1,1
37956,https://www.foxbusiness.com/markets/better-marijuana-buy-aurora-cannabis-vs-constellation-brands,neutral,Better ... Brands,fox,2019,0,1
37966,https://www.foxbusiness.com/markets/cloudera-inc-cldr-q4-2018-earnings-conference-call-transcript,neutral,Cloudera ... Transcript,fox,2019,0,1
37989,https://www.foxbusiness.com/markets/corecivic-inc-cxw-q4-2018-earnings-conference-call-transcript,neutral,"CoreCivic, ... Transcript",fox,2019,0,1
38027,https://www.foxbusiness.com/markets/this-high-yield-dividend-stock-appears-poised-for-high-octane-growth,neutral,This ... Growth,fox,2019,0,1
38040,https://www.foxbusiness.com/markets/minerals-technologies-inc-mtx-q1-2019-earnings-call-transcript,neutral,Minerals ... Transcript,fox,2019,0,1
38044,https://www.foxbusiness.com/markets/itron-inc-itri-q1-2019-earnings-call-transcript,neutral,Itron ... Transcript,fox,2019,0,1
38070,https://www.foxbusiness.com/markets/3-top-tech-stocks-to-buy-right-now,neutral,3 ... Now,fox,2019,0,1
38083,https://www.foxbusiness.com/markets/brightcove-inc-bcov-q4-2018-earnings-conference-call-transcript,neutral,Brightcove ... Transcript,fox,2019,0,1
38092,https://www.foxbusiness.com/markets/better-buy-bluebird-bio-vs-gilead-sciences,neutral,Better ... Sciences,fox,2019,0,1
38099,https://www.foxbusiness.com/markets/total-system-services-inc-tss-q1-2019-earnings-call-transcript,neutral,Total ... Transcript,fox,2019,0,1
38123,https://www.foxbusiness.com/markets/cohen-steers-inc-cns-q1-2019-earnings-call-transcript,neutral,Cohen ... Transcript,fox,2019,0,1
38142,https://www.foxbusiness.com/markets/baidu-posts-its-first-loss-since-its-ipo-and-things-could-get-worse,disgust,Baidu ... Worse,fox,2019,-1,1
38159,https://www.foxbusiness.com/markets/great-panther-mining-limited-gpl-q1-2019-earnings-call-transcript,neutral,Great ... Transcript,fox,2019,0,1
38175,https://www.foxbusiness.com/markets/american-assets-trust-aat-q4-2018-earnings-conference-call-transcript,neutral,American ... Transcript,fox,2019,0,1
38194,https://www.foxbusiness.com/markets/anthems-medicare-boom-overshadows-loss-in-obamacare-markets,sadness,Anthem's ... markets,fox,2019,-1,1
38281,https://www.foxbusiness.com/markets/3-things-okta-wants-investors-to-know,neutral,3 ... Know,fox,2019,0,1
38302,https://www.foxbusiness.com/markets/global-shares-mostly-higher-on-hopes-for-us-china-trade-deal,joy,Global ... deal,fox,2019,1,1
38329,https://www.foxbusiness.com/markets/brazil-court-accepts-odebrecht-bankruptcy-protection-filing,neutral,Brazil ... filing,fox,2019,0,1
38334,https://www.foxbusiness.com/markets/tribune-publishing-tpco-q4-2018-earnings-conference-call-transcript,neutral,Tribune ... Transcript,fox,2019,0,1
38357,https://www.foxbusiness.com/markets/please-stop-comparing-marijuana-stocks-to-amazon,neutral,Please ... Amazon,fox,2019,0,1
38377,https://www.foxbusiness.com/markets/this-high-yield-dividend-stock-taps-the-brakes-on-its-payout,neutral,This ... Payout,fox,2019,0,1
38392,https://www.foxbusiness.com/markets/better-buy-enbridge-vs-williams-companies,neutral,Better ... Companies,fox,2019,0,1
38400,https://www.foxbusiness.com/markets/an-etf-for-growing-global-dividends,neutral,An ... Dividends,fox,2019,0,1
38430,https://www.foxbusiness.com/markets/hong-kong-stock-exchange-drops-bid-to-buy-london-exchange,sadness,Hong ... exchange,fox,2019,-1,1
38484,https://www.foxbusiness.com/markets/3-rs-update-fed-policy-accommodative-but-economic-and-trade-risks-have-risen,neutral,‘3 ... Risen,fox,2019,0,1
38496,https://www.foxbusiness.com/markets/why-mattel-stock-popped-today,surprise,Why ... Today,fox,2019,0,1
38501,https://www.foxbusiness.com/markets/tesla-panasonic-halt-gigafactory-expansion-vehicle-demand,sadness,"Tesla, ... Report",fox,2019,-1,1
38508,https://www.foxbusiness.com/markets/strong-earnings-season-tempers-growth-fears-for-now,fear,Muscular ... now,fox,2019,-1,1
38533,https://www.foxbusiness.com/markets/1-ridiculously-cheap-high-yield-stock-worth-watching,joy,1 ... Watching,fox,2019,1,1
38545,https://www.foxbusiness.com/markets/att-elliott-make-peace-stock-soars,neutral,"AT&T, ... jumps",fox,2019,0,1
38628,https://www.foxbusiness.com/markets/globant-sa-glob-q1-2019-earnings-call-transcript,neutral,GLOBANT ... Transcript,fox,2019,0,1
38634,https://www.foxbusiness.com/markets/these-5-pot-stocks-have-the-most-cash,neutral,These ... Cash,fox,2019,0,1
38648,https://www.foxbusiness.com/markets/better-buy-enterprise-products-partners-vs-nustar-energy,neutral,Better ... Energy,fox,2019,0,1
38667,https://www.foxbusiness.com/markets/mobileiron-mobl-q1-2019-earnings-call-transcript,neutral,MobileIron ... Transcript,fox,2019,0,1
38680,https://www.foxbusiness.com/markets/citigroup-raises-minimum-wage-15-per-hour,neutral,Citigroup ... pressure,fox,2019,0,1
38691,https://www.foxbusiness.com/markets/why-are-oil-prices-rising-and-should-investors-be-worried,fear,Why ... Worried?,fox,2019,-1,1
38693,https://www.foxbusiness.com/markets/global-stocks-subdued-as-trade-dispute-remains-in-focus,sadness,Global ... focus,fox,2019,-1,1
38696,https://www.foxbusiness.com/markets/fed-rate-cut-unlikely-to-save-markets-ubs-says-its-not-the-90s,fear,Fed ... 90s',fox,2019,-1,1
38710,https://www.foxbusiness.com/markets/novagold-resources-ng-q1-2019-earnings-conference-call-transcript,neutral,NovaGold ... Transcript,fox,2019,0,1
38719,https://www.foxbusiness.com/markets/3-reasons-baidu-stock-shouldnt-fall-below-100,neutral,3 ... $100,fox,2019,0,1
38723,https://www.foxbusiness.com/markets/markets-right-now-stocks-post-meager-gains-on-wall-street,sadness,Markets ... Street,fox,2019,-1,1
38744,https://www.foxbusiness.com/markets/earnings-season-outlook-drags-on-u-s-stock-etfs,neutral,Earnings ... ETFs,fox,2019,0,1
38800,https://www.foxbusiness.com/markets/why-netflix-inc-shares-plunged-today,surprise,Why ... Today,fox,2018,0,1
38802,https://www.foxbusiness.com/markets/brazil-etfs-recuperate-after-sharp-fall-off-tested-trend-lines,neutral,Brazil ... Lines,fox,2018,0,1
38817,https://www.foxbusiness.com/markets/why-helios-and-matheson-stock-tumbled-27-today,sadness,Why ... Today,fox,2018,-1,1
38819,https://www.foxbusiness.com/features/boeing-boosts-outlook-for-deliveries-and-cash-flow-update,neutral,Boeing ... Flow--Update,fox,2018,0,1
38854,https://www.foxbusiness.com/markets/clouds-on-horizon-as-trade-wars-debt-weigh-on-asias-growth,fear,Clouds ... growth,fox,2018,-1,1
