,Unnamed: 0,url,emotion,headline,source,yr,sentiment,rel
565383,19696219,https://www.alternet.org/2018/06/global-economy-just-giant-debt-scam-heres-what-financial-elite-doesnt-want-you-know/,neutral,Is ... Know,alternet,2018,0,1
564507,17287723,https://www.thedailybeast.com/mexican-gulf-seafood-test-results-clean-after-oil-spill,neutral,Mexican ... Spill,db,2010,0,1
564508,17289520,https://www.thedailybeast.com/best-search-engine-testing-blekko-vs-google-vs-bing,neutral,Best ... Bing,db,2010,0,1
564509,17294531,https://www.thedailybeast.com/jobs-numbers-home-prices-stock-markets-economys-bad-news-deluge,sadness,Jobs ... Deluge,db,2011,-1,1
564510,17295532,https://www.thedailybeast.com/richard-cordray-consumer-financial-protection-nominee,neutral,Richard ... Nominee,db,2011,0,1
564511,17297862,https://www.thedailybeast.com/apple-financial-results-fall-short-but-dont-panic-yet,fear,Apple ... Yet,db,2011,-1,1
564501,17268633,https://www.thedailybeast.com/jpmorgan-chase-closes-vatican-bank-account,neutral,JPMorgan ... Account,db,2012,0,1
564502,17272053,https://www.thedailybeast.com/mariano-rajoy-sugarcoats-european-unions-dollar125-billion-spain-bailout,neutral,Mariano ... Bailout,db,2012,0,1
564503,17273441,https://www.thedailybeast.com/jpmorgan-chase-earnings-ceo-jamie-dimon-comes-clean,neutral,JPMorgan ... Clean,db,2012,0,1
564504,17276135,https://www.thedailybeast.com/aig-stock-sale-vindicates-treasury-bailout,joy,AIG ... bailout,db,2012,1,1
564505,17278330,https://www.thedailybeast.com/google-accidentally-releases-disappointing-earnings-stock-plummets,fear,Google ... Plummets,db,2012,-1,1
564506,17278752,https://www.thedailybeast.com/apple-earnings-miss-expectations-ipad-sales-disappoint,sadness,Apple ... Disappoint,db,2012,-1,1
564500,17263942,https://www.thedailybeast.com/could-a-larger-minimum-wage-hike-sell,neutral,Could ... Sell?,db,2013,0,1
6061,2486289,https://www.huffpost.com/entry/steve-jobs-movie-sony-acquires-walter-isaacson-book_n_1001015,joy,Steve ... Book,hp,2011,1,1
6060,2418084,https://www.huffpost.com/entry/banks-earnings-q1-2012_n_1410692,neutral,U.S. ... Investors,hp,2012,0,1
6059,2361991,https://www.huffpost.com/entry/trumps-chaos-produces-results-gulf-states-upgrade_b_59c131a7e4b0c3e70e7427f0,neutral,Trump’s ... Israel,hp,2017,0,1
6057,2229708,https://www.huffpost.com/entry/google-eu-5-billion-dollar-fine_n_5b4f3419e4b0b15aba8a4926,neutral,EU ... Fine,hp,2018,0,1
6058,2235518,https://www.huffpost.com/entry/amazon-minimum-wage-hike-compensation-cuts_n_5bb573d2e4b028e1fe3a6ba9,sadness,Amazon's ... Compensation,hp,2018,-1,1
6043,2032853,https://www.jacobinmag.com/2018/02/stock-market-drop-wage-increases-economy,fear,About ... Panic,jacobin,2018,-1,1
6053,2096807,https://www.motherjones.com/kevin-drum/2010/06/global-economy-slow-motion-train-wreck/,sadness,The ... Wreck,motherjones,2010,-1,1
6050,2090665,https://www.motherjones.com/kevin-drum/2012/08/chart-day-low-global-demand-oil-probably-points-sluggish-global-economy/,neutral,Chart ... Economy,motherjones,2012,0,1
6051,2091303,https://www.motherjones.com/kevin-drum/2012/09/higher-capital-gains-taxes-might-be-actively-good-economy/,neutral,Higher ... Economy,motherjones,2012,0,1
6052,2092484,https://www.motherjones.com/kevin-drum/2012/12/revenue-vs-revenue/,neutral,Revenue ... “Revenue”,motherjones,2012,0,1
