,Unnamed: 0.1,Unnamed: 0,url,emotion,headline,source,yr,sentiment,rel,short_title,full_title,,,,,,,,,,,,,,
26622,5810,1669158,https://www.wsj.com/articles/ralph-lauren-earnings-sales-outlook-disappoints-1375882947?tesla=y,sadness,Ralph ... Disappoints,wsj,2013,-1,1,,,,,,,,,,,,,,,,
26623,5811,1669231,https://www.wsj.com/articles/apollo-earnings-firm-swings-to-profit-1375963421?tesla=y,neutral,Apollo ... Profits,wsj,2013,0,1,,,,,,,,,,,,,,,,
26624,5812,1669339,https://www.wsj.com/articles/fannie-posts-101-billion-profit-1375968376?tesla=y,neutral,Fannie ... Billion,wsj,2013,0,1,,,,,,,,,,,,,,,,
26625,5813,1669451,https://www.wsj.com/articles/china-yuan-falls-vs-dollar-on-selling-from-staterun-banks-1376040473?tesla=y,neutral,China ... Banks,wsj,2013,0,1,,,,,,,,,,,,,,,,
26626,5814,1669582,https://www.wsj.com/articles/global-infrastructure-partners-explores-brisbane-port-sale-1376034237?tesla=y,neutral,Global ... Sale,wsj,2013,0,1,,,,,,,,,,,,,,,,
26627,5815,1669719,https://www.wsj.com/articles/canadian-dollar-drifts-lower-amid-lull-in-domestic-data-1376337850?tesla=y,neutral,Canadian ... Data,wsj,2013,0,1,,,,,,,,,,,,,,,,
26628,5816,1669729,https://www.wsj.com/articles/brazil-real-closes-weaker-markets-seen-testing-central-bank-1376336831?tesla=y,neutral,Brazil ... Bank,wsj,2013,0,1,,,,,,,,,,,,,,,,
26629,5817,1669862,https://www.wsj.com/articles/consumer-spending-belies-dire-forecasts-1376351829?tesla=y,neutral,Consumer ... Forecasts,wsj,2013,0,1,,,,,,,,,,,,,,,,
26630,5818,1669907,https://www.wsj.com/articles/canadian-dollar-slips-against-broadly-stronger-us-dollar-1376423759?tesla=y,neutral,Canadian ... Dollar,wsj,2013,0,1,,,,,,,,,,,,,,,,
26631,5819,1670016,https://www.wsj.com/articles/german-data-lift-european-stocks-1376425367?tesla=y,neutral,German ... Stocks,wsj,2013,0,1,,,,,,,,,,,,,,,,
26632,5820,1670040,https://www.wsj.com/articles/hon-hai-posts-41-net-profit-rise-1376393668?tesla=y,joy,Hon ... 41%,wsj,2013,1,1,,,,,,,,,,,,,,,,
26633,5821,1670191,https://www.wsj.com/articles/new-zealand-dollar-weaker-vs-us-dollar-1376457040?tesla=y,neutral,New ... Dollar,wsj,2013,0,1,,,,,,,,,,,,,,,,
26634,5822,1670333,https://www.wsj.com/articles/california-sells-55-billion-in-bonds-1376596126?tesla=y,sadness,California ... Bonds,wsj,2013,-1,1,,,,,,,,,,,,,,,,
26635,5823,1670393,https://www.wsj.com/articles/dell-profit-falls-72-sales-flat-1376598384?tesla=y,sadness,Dell ... Flat,wsj,2013,-1,1,,,,,,,,,,,,,,,,
26636,5824,1670762,https://www.wsj.com/articles/blackstone-realestate-fund-offers-to-buy-hong-kongs-tysan-holdings-for-hk25-billion-1376930200?tesla=y,neutral,Blackstone ... Billion,wsj,2013,0,1,,,,,,,,,,,,,,,,
26637,5825,1670808,https://www.wsj.com/articles/saks-earnings-flat-sales-higher-costs-1376917447?tesla=y,sadness,Saks ... Costs,wsj,2013,-1,1,,,,,,,,,,,,,,,,
26638,5826,1670868,https://www.wsj.com/articles/urban-outfitters-earnings-higher-sales-wider-margins-1376945244?tesla=y,neutral,Urban ... Margins,wsj,2013,0,1,,,,,,,,,,,,,,,,
26639,5827,1670870,https://www.wsj.com/articles/canadian-dollar-ends-slightly-lower-in-quiet-trading-1376943794?tesla=y,neutral,Canadian ... Trading,wsj,2013,0,1,,,,,,,,,,,,,,,,
26640,5828,1670941,https://www.wsj.com/articles/canadian-dollar-weakens-to-2week-low-as-global-growth-concerns-mount-1377031880?tesla=y,fear,Canadian ... Mount,wsj,2013,-1,1,,,,,,,,,,,,,,,,
26641,5829,1670996,https://www.wsj.com/articles/mexican-peso-emergingmarket-currencies-bounce-back-modestly-1377020671?tesla=y,neutral,Mexican ... Modestly,wsj,2013,0,1,,,,,,,,,,,,,,,,
26642,5830,1671131,https://www.wsj.com/articles/toll-brothers-earnings-home-builders-sales-growth-continues-1377096229?tesla=y,neutral,Toll ... Continues,wsj,2013,0,1,,,,,,,,,,,,,,,,
26643,5831,1671148,https://www.wsj.com/articles/indian-outsourcing-firms-gain-as-rupee-falls-1377107534?tesla=y,joy,Indian ... Falls,wsj,2013,1,1,,,,,,,,,,,,,,,,
26644,5832,1671184,https://www.wsj.com/articles/china-yuan-slightly-stronger-following-central-bank-guidance-1377077957?tesla=y,neutral,China ... Guidance,wsj,2013,0,1,,,,,,,,,,,,,,,,
26645,5833,1671256,https://www.wsj.com/articles/new-zealand-dollar-down-late-as-us-dollar-sees-broad-strength-1377064550?tesla=y,neutral,New ... Strength,wsj,2013,0,1,,,,,,,,,,,,,,,,
26646,5834,1671320,https://www.wsj.com/articles/gap-earnings-profit-sales-outlook-rise-1377205380?tesla=y,joy,Gap ... Slump,wsj,2013,1,1,,,,,,,,,,,,,,,,
26647,5835,1671356,https://www.wsj.com/articles/fortescue-backs-away-from-us4-billion-port-rail-stake-sale-1377160453?tesla=y,fear,Fortescue ... Sale,wsj,2013,-1,1,,,,,,,,,,,,,,,,
26648,5836,1671380,https://www.wsj.com/articles/canadian-dollar-lower-as-weak-data-contribute-to-negative-tone-1377202434?tesla=y,neutral,Canadian ... Tone,wsj,2013,0,1,,,,,,,,,,,,,,,,
26649,5837,1671414,https://www.wsj.com/articles/fed-minutes-deliver-fresh-blow-to-emerging-markets-1377161381?tesla=y,neutral,Fed ... Markets,wsj,2013,0,1,,,,,,,,,,,,,,,,
26650,5838,1671422,https://www.wsj.com/articles/abercrombie-fitch-profit-down-33-issues-dim-outlook-1377174220?tesla=y,sadness,Abercrombie ... Outlook,wsj,2013,-1,1,,,,,,,,,,,,,,,,
26651,5839,1671427,https://www.wsj.com/articles/gamestop-earnings-lower-profit-but-improved-outlook-1377179318?tesla=y,sadness,GameStop ... Outlook,wsj,2013,-1,1,,,,,,,,,,,,,,,,
26652,5840,1671515,https://www.wsj.com/articles/german-gdp-growth-gains-steam-1377249182?tesla=y,neutral,German ... Steam,wsj,2013,0,1,,,,,,,,,,,,,,,,
26653,5841,1671542,https://www.wsj.com/articles/canadian-dollar-strengthens-modestly-after-weak-us-home-sales-data-1377289070?tesla=y,neutral,Canadian ... Data,wsj,2013,0,1,,,,,,,,,,,,,,,,
26654,5842,1671742,https://www.wsj.com/articles/china-construction-banks-net-profit-rises-1377440555?tesla=y,joy,China ... Rises,wsj,2013,1,1,,,,,,,,,,,,,,,,
26655,5843,1671914,https://www.wsj.com/articles/indian-shares-end-slightly-higher-1377521925?tesla=y,neutral,Indian ... Higher,wsj,2013,0,1,,,,,,,,,,,,,,,,
26656,5844,1672044,https://www.wsj.com/articles/tiffany-earnings-jeweler-raises-outlook-as-margins-widen-1377607042?tesla=y,neutral,Tiffany ... Widen,wsj,2013,0,1,,,,,,,,,,,,,,,,
26657,5845,1672051,https://www.wsj.com/articles/australian-miners-cut-dividends-as-commodity-prices-fall-1377598894?tesla=y,neutral,Australian ... Fall,wsj,2013,0,1,,,,,,,,,,,,,,,,
26658,5846,1672138,https://www.wsj.com/articles/woolworths-forecasts-higher-profit-1377684714?tesla=y,joy,Woolworths ... Profit,wsj,2013,1,1,,,,,,,,,,,,,,,,
26659,5847,1672150,https://www.wsj.com/articles/brownforman-earnings-higher-costs-offset-revenue-rise-1377695010?tesla=y,neutral,Brown-Forman ... Rise,wsj,2013,0,1,,,,,,,,,,,,,,,,
26660,5848,1672274,https://www.wsj.com/articles/rongsheng-earnings-shipbuilders-cash-position-weakens-1377703071?tesla=y,sadness,Rongsheng ... Weakens,wsj,2013,-1,1,,,,,,,,,,,,,,,,
