,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,url,emotion,headline,source,yr,sentiment,rel,short_title,full_title,time,url_regex,url_time
0,0,0,26622,5810,1669158,https://www.wsj.com/articles/ralph-lauren-earnings-sales-outlook-disappoints-1375882947?tesla=y,sadness,Ralph ... Disappoints,wsj,2013,-1,1,,,"[{'title': 'Updated Aug. 7, 2013 5:09 pm ET'}]","Aug. 7, 2013",2013-08-07
1,1,1,26623,5811,1669231,https://www.wsj.com/articles/apollo-earnings-firm-swings-to-profit-1375963421?tesla=y,neutral,Apollo ... Profits,wsj,2013,0,1,,,"[{'title': 'Updated Aug. 8, 2013 5:25 pm ET'}]","Aug. 8, 2013",2013-08-08
2,2,2,26624,5812,1669339,https://www.wsj.com/articles/fannie-posts-101-billion-profit-1375968376?tesla=y,neutral,Fannie ... Billion,wsj,2013,0,1,,,"[{'title': 'Updated Aug. 8, 2013 7:57 pm ET'}]","Aug. 8, 2013",2013-08-08
3,3,3,26625,5813,1669451,https://www.wsj.com/articles/china-yuan-falls-vs-dollar-on-selling-from-staterun-banks-1376040473?tesla=y,neutral,China ... Banks,wsj,2013,0,1,,,"[{'title': 'Aug. 9, 2013 5:27 am ET'}]","Aug. 9, 2013",2013-08-09
4,4,4,26626,5814,1669582,https://www.wsj.com/articles/global-infrastructure-partners-explores-brisbane-port-sale-1376034237?tesla=y,neutral,Global ... Sale,wsj,2013,0,1,,,"[{'title': 'Aug. 9, 2013 3:43 am ET'}]","Aug. 9, 2013",2013-08-09
5,5,5,26627,5815,1669719,https://www.wsj.com/articles/canadian-dollar-drifts-lower-amid-lull-in-domestic-data-1376337850?tesla=y,neutral,Canadian ... Data,wsj,2013,0,1,,,"[{'title': 'Aug. 12, 2013 4:04 pm ET'}]","Aug. 12, 2013",2013-08-12
6,6,6,26628,5816,1669729,https://www.wsj.com/articles/brazil-real-closes-weaker-markets-seen-testing-central-bank-1376336831?tesla=y,neutral,Brazil ... Bank,wsj,2013,0,1,,,"[{'title': 'Aug. 12, 2013 3:47 pm ET'}]","Aug. 12, 2013",2013-08-12
7,7,7,26629,5817,1669862,https://www.wsj.com/articles/consumer-spending-belies-dire-forecasts-1376351829?tesla=y,neutral,Consumer ... Forecasts,wsj,2013,0,1,,,"[{'title': 'Aug. 12, 2013 7:57 pm ET'}]","Aug. 12, 2013",2013-08-12
8,8,8,26630,5818,1669907,https://www.wsj.com/articles/canadian-dollar-slips-against-broadly-stronger-us-dollar-1376423759?tesla=y,neutral,Canadian ... Dollar,wsj,2013,0,1,,,"[{'title': 'Aug. 13, 2013 3:55 pm ET'}]","Aug. 13, 2013",2013-08-13
9,9,9,26631,5819,1670016,https://www.wsj.com/articles/german-data-lift-european-stocks-1376425367?tesla=y,neutral,German ... Stocks,wsj,2013,0,1,,,"[{'title': 'Aug. 13, 2013 4:22 pm ET'}]","Aug. 13, 2013",2013-08-13
10,10,10,26632,5820,1670040,https://www.wsj.com/articles/hon-hai-posts-41-net-profit-rise-1376393668?tesla=y,joy,Hon ... 41%,wsj,2013,1,1,,,"[{'title': 'Updated Aug. 13, 2013 10:08 am ET'}]","Aug. 13, 2013",2013-08-13
