,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,url,emotion,headline,source,yr,sentiment,rel,short_title,full_title,neg_full,neu_full,pos_full,our_sentiment,agreement,time,url_regex,url_regex1,url_time,url_time1,has_date,month,has_headline,headline_regex
641,641,631,432272,https://www.nbcnews.com/business/consumer/wal-mart-recalls-card-table-chair-sets-after-finger-amputations-n2726,neutral,Wal-Mart ... Amputations,nbcnews,2014,0,1,"Wal-Mart Recalls Card Table, Chair Sets After Finger Amputations","Wal-Mart Recalls Card Table, Chair Sets After Finger Amputations",0.18394284,1.129280567,-1.407687783,0,1,"[{'title': 'Jan. 2, 2014, 6:13 PM UTC\xa0/\xa0Updated\xa0Jan. 2, 2014, 6:25 PM UTC'}]",,"Jan. 2, 2014",,2014-01-02,1,1.0,1,wal mart recalls card table chair sets after finger amputations n2726
642,642,632,432376,https://www.nbcnews.com/business/markets/stocks-end-mixed-bernanke-commits-fed-low-interest-rates-n3721,fear,Stocks ... Rates,nbcnews,2014,-1,1,Stocks End Mixed as Bernanke Commits Fed to Low Interest Rates,Stocks End Mixed as Bernanke Commits Fed to Low Interest Rates,1.603323579,-0.654064596,-1.082941413,-1,1,"[{'title': 'Jan. 3, 2014, 9:30 PM UTC\xa0/\xa0Updated\xa0Jan. 3, 2014, 11:05 PM UTC'}]",,"Jan. 3, 2014",,2014-01-03,1,1.0,1,stocks end mixed bernanke commits fed low interest rates n3721
643,643,633,432485,https://www.nbcnews.com/business/markets/stocks-rise-opening-markets-await-factory-services-data-n4426,fear,Stocks ... Data,nbcnews,2014,-1,1,Stocks Rise at Opening; Markets Await Factory and Services Data,Stocks Rise at Opening; Markets Await Factory and Services Data,0.806982279,0.13657555,-0.543634534,-1,1,"[{'title': 'Jan. 6, 2014, 2:48 PM UTC\xa0/\xa0Updated\xa0Jan. 6, 2014, 6:46 PM UTC'}]",,"Jan. 6, 2014",,2014-01-06,1,1.0,1,stocks rise opening markets await factory services data n4426
644,644,634,432540,https://www.nbcnews.com/business/markets/stocks-close-lower-ahead-fed-minutes-jobs-report-n4786,neutral,Stocks ... Report,nbcnews,2014,0,1,"Stocks Close Lower Ahead of Fed Minutes, Jobs Report","Stocks Close Lower Ahead of Fed Minutes, Jobs Report",1.441727757,-0.243316621,-0.995251536,-1,0,"[{'title': 'Jan. 6, 2014, 9:39 PM UTC\xa0/\xa0Updated\xa0Jan. 6, 2014, 10:03 PM UTC'}]",,"Jan. 6, 2014",,2014-01-06,1,1.0,1,stocks close lower ahead fed minutes jobs report n4786
645,645,635,432587,https://www.nbcnews.com/business/markets/dow-triple-figure-climb-ahead-earnings-jobless-reports-n5301,neutral,Dow ... Reports,nbcnews,2014,0,1,"Dow in Triple-Figure Climb Ahead of Earnings, Jobless Reports","Dow in Triple-Figure Climb Ahead of Earnings, Jobless Reports",-0.157966271,0.64637804,-0.452910155,0,1,"[{'title': 'Jan. 7, 2014, 5:32 PM UTC\xa0/\xa0Updated\xa0Jan. 8, 2014, 1:08 AM UTC'}]",,"Jan. 7, 2014",,2014-01-07,1,1.0,1,dow triple figure climb ahead earnings jobless reports n5301
646,646,636,432840,https://www.nbcnews.com/business/markets/stocks-edge-upwards-jobs-data-disappoints-n7216,sadness,Stocks ... Disappoints,nbcnews,2014,-1,1,Stocks Edge Upwards as Jobs Data Disappoints,Stocks Edge Upwards as Jobs Data Disappoints,0.929522514,0.494965255,-0.786868453,-1,1,"[{'title': 'Jan. 10, 2014, 2:58 PM UTC'}]",,"Jan. 10, 2014",,2014-01-10,1,1.0,1,stocks edge upwards jobs data disappoints n7216
647,647,637,433028,https://www.nbcnews.com/business/markets/stocks-drop-sharply-talk-fed-slowing-its-stimulus-n8681,fear,Stocks ... Stimulus,nbcnews,2014,-1,1,Stocks Drop Sharply on Talk of Fed Slowing its Stimulus,Stocks Drop Sharply on Talk of Fed Slowing its Stimulus,1.800730228,-0.471249998,-1.453785062,-1,1,"[{'title': 'Jan. 13, 2014, 9:10 PM UTC\xa0/\xa0Updated\xa0Jan. 14, 2014, 4:05 AM UTC'}]",,"Jan. 13, 2014",,2014-01-13,1,1.0,1,stocks drop sharply talk fed slowing its stimulus n8681
648,648,638,433124,https://www.nbcnews.com/business/markets/stocks-rebound-rise-higher-retail-sales-data-n9061,neutral,Stocks ... Data,nbcnews,2014,0,1,Stocks Rebound; Rise on Higher Retail Sales Data,Stocks Rebound; Rise on Higher Retail Sales Data,1.728592873,-0.769889951,-1.115171552,-1,0,"[{'title': 'Jan. 14, 2014, 2:54 PM UTC'}]",,"Jan. 14, 2014",,2014-01-14,1,1.0,1,stocks rebound rise higher retail sales data n9061
649,649,639,433133,https://www.nbcnews.com/business/markets/stocks-close-higher-upbeat-retail-sales-data-n9371,neutral,Stocks ... Data,nbcnews,2014,0,1,Stocks Close Higher on Upbeat Retail Sales Data,Stocks Close Higher on Upbeat Retail Sales Data,-0.305727989,1.372290015,-0.237204358,0,1,"[{'title': 'Jan. 14, 2014, 9:27 PM UTC\xa0/\xa0Updated\xa0Jan. 15, 2014, 3:32 PM UTC'}]",,"Jan. 14, 2014",,2014-01-14,1,1.0,1,stocks close higher upbeat retail sales data n9371
650,650,640,433289,https://www.nbcnews.com/business/markets/un-merry-christmas-best-buy-shares-drop-27-n10746,sadness,Un-Merry ... 27%,nbcnews,2014,-1,1,Un-Merry Christmas: Best Buy Shares Drop 27%,Un-Merry Christmas: Best Buy Shares Drop 27%,1.115896821,-0.285483629,-1.221686482,-1,1,"[{'title': 'Jan. 16, 2014, 4:22 PM UTC'}]",,"Jan. 16, 2014",,2014-01-16,1,1.0,1,un merry christmas best buy shares drop 27 n10746
