,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,url,emotion,headline,source,yr,sentiment,rel,short_title,full_title,neg_full,neu_full,pos_full,our_sentiment,agreement,time,url_regex,url_regex1,url_time,url_time1,has_date,month,has_headline,headline_regex
26622,26622,5810,1669158,https://www.wsj.com/articles/ralph-lauren-earnings-sales-outlook-disappoints-1375882947?tesla=y,sadness,Ralph ... Disappoints,wsj,2013,-1,1,,,0.0,0.0,0.0,0,0,,,,,2013-08-07,1,8.0,0,ralph lauren earnings sales outlook disappoints 1375882947?tesla=y
26623,26623,5811,1669231,https://www.wsj.com/articles/apollo-earnings-firm-swings-to-profit-1375963421?tesla=y,neutral,Apollo ... Profits,wsj,2013,0,1,,,0.0,0.0,0.0,0,0,,,,,2013-08-08,1,8.0,0,apollo earnings firm swings to profit 1375963421?tesla=y
26624,26624,5812,1669339,https://www.wsj.com/articles/fannie-posts-101-billion-profit-1375968376?tesla=y,neutral,Fannie ... Billion,wsj,2013,0,1,,,0.0,0.0,0.0,0,0,,,,,2013-08-08,1,8.0,0,fannie posts 101 billion profit 1375968376?tesla=y
26625,26625,5813,1669451,https://www.wsj.com/articles/china-yuan-falls-vs-dollar-on-selling-from-staterun-banks-1376040473?tesla=y,neutral,China ... Banks,wsj,2013,0,1,,,0.0,0.0,0.0,0,0,,,,,2013-08-09,1,8.0,0,china yuan falls vs dollar on selling from staterun banks 1376040473?tesla=y
26626,26626,5814,1669582,https://www.wsj.com/articles/global-infrastructure-partners-explores-brisbane-port-sale-1376034237?tesla=y,neutral,Global ... Sale,wsj,2013,0,1,,,0.0,0.0,0.0,0,0,,,,,2013-08-09,1,8.0,0,global infrastructure partners explores brisbane port sale 1376034237?tesla=y
26627,26627,5815,1669719,https://www.wsj.com/articles/canadian-dollar-drifts-lower-amid-lull-in-domestic-data-1376337850?tesla=y,neutral,Canadian ... Data,wsj,2013,0,1,,,0.0,0.0,0.0,0,0,,,,,2013-08-12,1,8.0,0,canadian dollar drifts lower amid lull in domestic data 1376337850?tesla=y
26628,26628,5816,1669729,https://www.wsj.com/articles/brazil-real-closes-weaker-markets-seen-testing-central-bank-1376336831?tesla=y,neutral,Brazil ... Bank,wsj,2013,0,1,,,0.0,0.0,0.0,0,0,,,,,2013-08-12,1,8.0,0,brazil real closes weaker markets seen testing central bank 1376336831?tesla=y
26629,26629,5817,1669862,https://www.wsj.com/articles/consumer-spending-belies-dire-forecasts-1376351829?tesla=y,neutral,Consumer ... Forecasts,wsj,2013,0,1,,,0.0,0.0,0.0,0,0,,,,,2013-08-12,1,8.0,0,consumer spending belies dire forecasts 1376351829?tesla=y
26630,26630,5818,1669907,https://www.wsj.com/articles/canadian-dollar-slips-against-broadly-stronger-us-dollar-1376423759?tesla=y,neutral,Canadian ... Dollar,wsj,2013,0,1,,,0.0,0.0,0.0,0,0,,,,,2013-08-13,1,8.0,0,canadian dollar slips against broadly stronger us dollar 1376423759?tesla=y
26631,26631,5819,1670016,https://www.wsj.com/articles/german-data-lift-european-stocks-1376425367?tesla=y,neutral,German ... Stocks,wsj,2013,0,1,,,0.0,0.0,0.0,0,0,,,,,2013-08-13,1,8.0,0,german data lift european stocks 1376425367?tesla=y
26632,26632,5820,1670040,https://www.wsj.com/articles/hon-hai-posts-41-net-profit-rise-1376393668?tesla=y,joy,Hon ... 41%,wsj,2013,1,1,,,0.0,0.0,0.0,0,0,,,,,2013-08-13,1,8.0,0,hon hai posts 41 net profit rise 1376393668?tesla=y
26633,26633,5821,1670191,https://www.wsj.com/articles/new-zealand-dollar-weaker-vs-us-dollar-1376457040?tesla=y,neutral,New ... Dollar,wsj,2013,0,1,,,0.0,0.0,0.0,0,0,,,,,2013-08-14,1,8.0,0,new zealand dollar weaker vs us dollar 1376457040?tesla=y
26634,26634,5822,1670333,https://www.wsj.com/articles/california-sells-55-billion-in-bonds-1376596126?tesla=y,sadness,California ... Bonds,wsj,2013,-1,1,,,0.0,0.0,0.0,0,0,,,,,2013-08-15,1,8.0,0,california sells 55 billion in bonds 1376596126?tesla=y
26635,26635,5823,1670393,https://www.wsj.com/articles/dell-profit-falls-72-sales-flat-1376598384?tesla=y,sadness,Dell ... Flat,wsj,2013,-1,1,,,0.0,0.0,0.0,0,0,,,,,2013-08-15,1,8.0,0,dell profit falls 72 sales flat 1376598384?tesla=y
26636,26636,5824,1670762,https://www.wsj.com/articles/blackstone-realestate-fund-offers-to-buy-hong-kongs-tysan-holdings-for-hk25-billion-1376930200?tesla=y,neutral,Blackstone ... Billion,wsj,2013,0,1,,,0.0,0.0,0.0,0,0,,,,,2013-08-19,1,8.0,0,blackstone realestate fund offers to buy hong kongs tysan holdings for hk25 billion 1376930200?tesla=y
26637,26637,5825,1670808,https://www.wsj.com/articles/saks-earnings-flat-sales-higher-costs-1376917447?tesla=y,sadness,Saks ... Costs,wsj,2013,-1,1,,,0.0,0.0,0.0,0,0,,,,,2013-08-19,1,8.0,0,saks earnings flat sales higher costs 1376917447?tesla=y
26638,26638,5826,1670868,https://www.wsj.com/articles/urban-outfitters-earnings-higher-sales-wider-margins-1376945244?tesla=y,neutral,Urban ... Margins,wsj,2013,0,1,,,0.0,0.0,0.0,0,0,,,,,2013-08-19,1,8.0,0,urban outfitters earnings higher sales wider margins 1376945244?tesla=y
26639,26639,5827,1670870,https://www.wsj.com/articles/canadian-dollar-ends-slightly-lower-in-quiet-trading-1376943794?tesla=y,neutral,Canadian ... Trading,wsj,2013,0,1,,,0.0,0.0,0.0,0,0,,,,,2013-08-19,1,8.0,0,canadian dollar ends slightly lower in quiet trading 1376943794?tesla=y
26640,26640,5828,1670941,https://www.wsj.com/articles/canadian-dollar-weakens-to-2week-low-as-global-growth-concerns-mount-1377031880?tesla=y,fear,Canadian ... Mount,wsj,2013,-1,1,,,0.0,0.0,0.0,0,0,,,,,2013-08-20,1,8.0,0,canadian dollar weakens to 2week low as global growth concerns mount 1377031880?tesla=y
26641,26641,5829,1670996,https://www.wsj.com/articles/mexican-peso-emergingmarket-currencies-bounce-back-modestly-1377020671?tesla=y,neutral,Mexican ... Modestly,wsj,2013,0,1,,,0.0,0.0,0.0,0,0,,,,,2013-08-20,1,8.0,0,mexican peso emergingmarket currencies bounce back modestly 1377020671?tesla=y
26642,26642,5830,1671131,https://www.wsj.com/articles/toll-brothers-earnings-home-builders-sales-growth-continues-1377096229?tesla=y,neutral,Toll ... Continues,wsj,2013,0,1,,,0.0,0.0,0.0,0,0,,,,,2013-08-21,1,8.0,0,toll brothers earnings home builders sales growth continues 1377096229?tesla=y
26643,26643,5831,1671148,https://www.wsj.com/articles/indian-outsourcing-firms-gain-as-rupee-falls-1377107534?tesla=y,joy,Indian ... Falls,wsj,2013,1,1,,,0.0,0.0,0.0,0,0,,,,,2013-08-21,1,8.0,0,indian outsourcing firms gain as rupee falls 1377107534?tesla=y
26644,26644,5832,1671184,https://www.wsj.com/articles/china-yuan-slightly-stronger-following-central-bank-guidance-1377077957?tesla=y,neutral,China ... Guidance,wsj,2013,0,1,,,0.0,0.0,0.0,0,0,,,,,2013-08-21,1,8.0,0,china yuan slightly stronger following central bank guidance 1377077957?tesla=y
26645,26645,5833,1671256,https://www.wsj.com/articles/new-zealand-dollar-down-late-as-us-dollar-sees-broad-strength-1377064550?tesla=y,neutral,New ... Strength,wsj,2013,0,1,,,0.0,0.0,0.0,0,0,,,,,2013-08-21,1,8.0,0,new zealand dollar down late as us dollar sees broad strength 1377064550?tesla=y
26646,26646,5834,1671320,https://www.wsj.com/articles/gap-earnings-profit-sales-outlook-rise-1377205380?tesla=y,joy,Gap ... Slump,wsj,2013,1,1,,,0.0,0.0,0.0,0,0,,,,,2013-08-22,1,8.0,0,gap earnings profit sales outlook rise 1377205380?tesla=y
26647,26647,5835,1671356,https://www.wsj.com/articles/fortescue-backs-away-from-us4-billion-port-rail-stake-sale-1377160453?tesla=y,fear,Fortescue ... Sale,wsj,2013,-1,1,,,0.0,0.0,0.0,0,0,,,,,2013-08-22,1,8.0,0,fortescue backs away from us4 billion port rail stake sale 1377160453?tesla=y
26648,26648,5836,1671380,https://www.wsj.com/articles/canadian-dollar-lower-as-weak-data-contribute-to-negative-tone-1377202434?tesla=y,neutral,Canadian ... Tone,wsj,2013,0,1,,,0.0,0.0,0.0,0,0,,,,,2013-08-22,1,8.0,0,canadian dollar lower as weak data contribute to negative tone 1377202434?tesla=y
26649,26649,5837,1671414,https://www.wsj.com/articles/fed-minutes-deliver-fresh-blow-to-emerging-markets-1377161381?tesla=y,neutral,Fed ... Markets,wsj,2013,0,1,,,0.0,0.0,0.0,0,0,,,,,2013-08-22,1,8.0,0,fed minutes deliver fresh blow to emerging markets 1377161381?tesla=y
26650,26650,5838,1671422,https://www.wsj.com/articles/abercrombie-fitch-profit-down-33-issues-dim-outlook-1377174220?tesla=y,sadness,Abercrombie ... Outlook,wsj,2013,-1,1,,,0.0,0.0,0.0,0,0,,,,,2013-08-22,1,8.0,0,abercrombie fitch profit down 33 issues dim outlook 1377174220?tesla=y
26651,26651,5839,1671427,https://www.wsj.com/articles/gamestop-earnings-lower-profit-but-improved-outlook-1377179318?tesla=y,sadness,GameStop ... Outlook,wsj,2013,-1,1,,,0.0,0.0,0.0,0,0,,,,,2013-08-22,1,8.0,0,gamestop earnings lower profit but improved outlook 1377179318?tesla=y
26652,26652,5840,1671515,https://www.wsj.com/articles/german-gdp-growth-gains-steam-1377249182?tesla=y,neutral,German ... Steam,wsj,2013,0,1,,,0.0,0.0,0.0,0,0,,,,,2013-08-23,1,8.0,0,german gdp growth gains steam 1377249182?tesla=y
26653,26653,5841,1671542,https://www.wsj.com/articles/canadian-dollar-strengthens-modestly-after-weak-us-home-sales-data-1377289070?tesla=y,neutral,Canadian ... Data,wsj,2013,0,1,,,0.0,0.0,0.0,0,0,,,,,2013-08-23,1,8.0,0,canadian dollar strengthens modestly after weak us home sales data 1377289070?tesla=y
26654,26654,5842,1671742,https://www.wsj.com/articles/china-construction-banks-net-profit-rises-1377440555?tesla=y,joy,China ... Rises,wsj,2013,1,1,,,0.0,0.0,0.0,0,0,,,,,2013-08-25,1,8.0,0,china construction banks net profit rises 1377440555?tesla=y
