emotion,headline,url
disgust,Interview ... Executioner,https://abcnews.go.com/TheLaw/interview-executioner/story?id=4015348
fear,THE ... Rise,https://abcnews.go.com/Politics/TheNote/note-rudys-demons-rise/story?id=3935880
sadness,In ... Hurdle,https://abcnews.go.com/US/story?id=3227485&page=1
sadness,'I ... Forever',https://abcnews.go.com/WNT/kiss-forever/story?id=2989920
neutral,Person ... Hudson,https://abcnews.go.com/WN/PersonOfWeek/person-week-jennifer-hudson/story?id=2827252
neutral,Bodies ... Inversus,https://abcnews.go.com/Health/bodies-built-backward-situs-inversus/story?id=2812911
neutral,Finding ... Longevity,https://abcnews.go.com/GMA/ElderCare/story?id=2805247
sadness,Lost ... Cats,https://abcnews.go.com/Health/AmazingAnimals/story?id=2791669&page=1
fear,EXCLUSIVE: ... Case,https://abcnews.go.com/US/LegalCenter/exclusive-da-duke-rape-case-asks-off-case/story?id=2791514
disgust,GRAPHIC ... Statements,https://abcnews.go.com/US/LegalCenter/duke-accusers-contradictory-statements/story?id=2787914
neutral,Prison ... Porn?,https://abcnews.go.com/2020/LegalCenter/prison-time-viewing-porn/story?id=2785054
neutral,Person ... Walsh,https://abcnews.go.com/WN/PersonOfWeek/person-week-navy-corpsman-chris-walsh/story?id=2773722
neutral,What ... Oscars,https://abcnews.go.com/Entertainment/Oscars2007/odds-betting-line-oscars/story?id=2901939
joy,Ryan ... Oscars,https://abcnews.go.com/Nightline/Oscars2007/ryan-gosling-dark-horse-oscars/story?id=2898632
joy,Husband-Wife ... Oscars,https://abcnews.go.com/WNT/Oscars2007/husband-wife-team-rides-sunshine-oscars/story?id=2896411
neutral,Gore ... Oscars,https://abcnews.go.com/Politics/gore-prepares-walk-red-carpet-oscars/story?id=2896408
neutral,Paraglider ... It,https://abcnews.go.com/Technology/paraglider-pulled-miles-high-storm-lives/story?id=2882718
neutral,Adult ... Cells,https://abcnews.go.com/Health/adult-human-brain-manufacture-cells/story?id=2879345
sadness,Living ... Dystrophy,https://abcnews.go.com/Nightline/Health/living-dying-muscular-dystrophy/story?id=2879256
neutral,Oscars: ... Carpet,https://abcnews.go.com/Entertainment/Oscars2008/oscars-preparing-red-carpet/story?id=2879207
neutral,Oscars ... Preparations,https://abcnews.go.com/Entertainment/Oscars2007/oscars-2007-scenes-preparations/story?id=2878730
neutral,READ ... Hill,https://abcnews.go.com/GMA/story?id=2875056&page=1
anger,Revenge ... Path?,https://abcnews.go.com/2020/revenge-path/story?id=2841256
disgust,Curse ... Winners,https://abcnews.go.com/GMA/curse-lottery-winners/story?id=2941589
neutral,Teen ... Purity,https://abcnews.go.com/WNT/teen-girls-date-dad-pledge-purity/story?id=2928607
fear,Pat ... Know?,https://abcnews.go.com/US/pat-tillmans-fictional-heroic-death-bush/story?id=3074651
neutral,Tillman ... Military,https://abcnews.go.com/WNT/pat-tillman-family-blasts-military/story?id=3074300
fear,Cho ... Suggests,https://abcnews.go.com/Health/VATech/cho-schizophrenic-evidence-suggests/story?id=3050483
sadness,Powerball ... Cursed,https://abcnews.go.com/2020/powerball-winner-cursed/story?id=3012631
neutral,Protecting ... Progesterone,https://abcnews.go.com/Health/protecting-brain-progesterone/story?id=3222040
neutral,Bridesmaid ... Prank,https://abcnews.go.com/GMA/story?id=3217531&page=1
neutral,School ... Children,https://abcnews.go.com/Health/school-setting-impact-racial-exclusion-children/story?id=3200868
anger,Four ... Gossiping,https://abcnews.go.com/GMA/women-fired-gossiping/story?id=3199506
neutral,Excerpt: ... Suns',https://abcnews.go.com/GMA/Books/story?id=3197676&page=1
neutral,Who's ... Brothers,https://abcnews.go.com/TheLaw/LegalCenter/daddy-paternity-battle-brothers/story?id=3195632
neutral,The ... Moines,https://abcnews.go.com/Politics/the-note/story?id=3180049
neutral,PM ... Sausage,https://abcnews.go.com/Politics/pm-note/story?id=14876559
joy,Top ... Living,https://abcnews.go.com/Health/story?id=3157222&page=1
neutral,Chris ... Biography,https://abcnews.go.com/2020/ChrisCuomo/chris-cuomos-biography/story?id=3147482
disgust,Sacrificing ... God',https://abcnews.go.com/2020/story?id=3130684&page=1
neutral,Daughter-Dad ... Chastity,https://abcnews.go.com/GMA/daughter-dad-pledge-chastity/story?id=3325449
neutral,Site ... Connections,https://abcnews.go.com/GMA/Parenting/story?id=3313490&page=1
