emotion,headline,url
neutral,Why ... Sherpa,https://www.alternet.org/2018/01/why-silicon-valley-loves-stereotype-sherpa/
fear,The ... Disorder,https://www.alternet.org/2018/01/gaming-disorder-world-health-organization/
neutral,5 ... Year,https://www.alternet.org/2018/01/aca-legal-mandate-needs-become-moral-mandate-2018/
disgust,The ... 2017,https://www.alternet.org/2018/01/10-most-noteworthy-environmental-stories-2017/
fear,Human ... Oceans,https://www.alternet.org/2018/01/human-activities-are-beginning-take-their-toll-depths-oceans/
fear,10 ... Yogurt,https://www.alternet.org/2018/01/10-terrible-things-dairy-industry-doesnt-want-you-know-about-your-milk-cheese-butter/
neutral,This ... Planet,https://www.alternet.org/2018/01/new-years-resolution-makes-difference-your-body-and-planet/
sadness,Poor ... Else,https://www.alternet.org/2018/01/poor-diets-are-killing-more-americans-anything-else/
disgust,Some ... Says,https://www.alternet.org/2018/01/some-bigelow-tea-not-natural-because-it-contains-glyphosate-lawsuit-says/
fear,How ... Cause,https://www.alternet.org/2018/01/beyond-shock-metoo-root-cause-patriarchy/
neutral,How ... Class,https://www.alternet.org/2018/01/what-bitcoin-and-amazon-are-doing-middle-class/
neutral,U.S. ... Homelessness,https://www.alternet.org/2018/01/us-study-finds-1-10-youth-experience-some-form-homelessness/
neutral,Want ... Help,https://www.alternet.org/2018/01/want-avoid-migraines-changing-your-diet-might-help/
joy,Alex ... Theory,https://www.alternet.org/2018/01/alex-jones-floats-delirious-new-star-wars-conspiracy-theory/
fear,The ... Health,https://www.alternet.org/2018/01/rdx-may-be-greatest-threat-uss-health/
neutral,In ... Stay,https://www.alternet.org/2018/01/america-prisoners-money-can-pay-their-way-nicer-stay/
fear,How ... Wilderness,https://www.alternet.org/2018/01/how-chilean-billionaire-could-poison-minnesota-wilderness/
neutral,2017 ... Warming,https://www.alternet.org/2018/01/2017-was-hottest-year-record-without-el-nino-thanks-global-warming/
fear,The ... Catastrophe,https://www.alternet.org/2018/01/christian-parenti-prospect-climate-catastrophe/
neutral,A ... Abolition,https://www.alternet.org/2018/01/case-prison-abolition/
fear,Scientists ... Unmet,https://www.alternet.org/2018/01/scientists-issue-dire-warning-if-goals-paris-climate-accord-go-unmet/
surprise,What ... Marijuana?,https://www.alternet.org/2018/01/what-happens-when-you-suddenly-stop-using-marijuana/
neutral,Kids ... Diet,https://www.alternet.org/2018/01/kids-need-digital-diet/
neutral,200 ... Inventions,https://www.alternet.org/2018/01/two-hundred-years-ago-environmental-and-fuel-crisis-inspired-one-greatest-inventions/
neutral,13 ... 2018,https://www.alternet.org/2018/01/we-can-look-forward-tv-2018/
neutral,Art ... Change,https://www.alternet.org/2018/01/art-2018-will-spotlight-radical-women-and-climate-change/
neutral,These ... Resolutions,https://www.alternet.org/2018/01/these-self-control-tips-could-help-you-stick-new-years-resolutions/
neutral,6 ... For,https://www.alternet.org/2018/01/6-things-trump-actually-deserves-credit/
disgust,Can ... Rhythms?,https://www.alternet.org/2018/01/can-road-salt-and-other-pollutants-disrupt-our-circadian-rhythms/
neutral,Billions ... Vehicles,https://www.alternet.org/2018/01/billions-vw-settlement-boost-push-clean-vehicles/
neutral,Where ... From?,https://www.alternet.org/2018/01/where-do-those-snowfall-totals-news-come/
anger,Costco ... Back,https://www.alternet.org/2018/01/costco-wants-build-largest-chicken-factory-farm-america-and-local-residents-are-fighting-back/
neutral,Mythbusters’ ... (Video),https://www.alternet.org/2018/01/mythbusters-jamie-hyneman-explains-how-cow-poop-can-be-transformed-clean-energy-video/
surprise,Did ... Far?,https://www.alternet.org/2018/01/did-dave-chappelles-metoo-jokes-go-too-far/
fear,"15,000 ... Planet",https://www.alternet.org/2018/01/more-15000-scientists-issue-urgent-warning-humanity-failing-safeguard-planet/
neutral,Trump’s ... Horizon,https://www.alternet.org/2018/01/trumps-offshore-oil-drilling-plans-ignore-lessons-bp-deepwater-horizon/
neutral,More ... Inequality,https://www.alternet.org/2018/01/more-300-women-hollywood-team-against-sexual-abuse-and-inequality/
neutral,Survey: ... Country,https://www.alternet.org/2018/01/new-survey-most-americans-would-slash-military-budget-and-boost-schools/
anger,Trump ... About,https://www.alternet.org/2018/01/trump-and-neocons-are-exploiting-iran-protest-movement-they-know-nothing-about/
neutral,Pharmacists ... Drug,https://www.alternet.org/2018/01/pharmacists-slow-dispense-livesaving-overdose-reversal-drug-naloxone-narcan/
fear,The ... Garner,https://www.alternet.org/2018/01/fallout-police-violence-killing-black-women-erica-garner/
surprise,There’s ... Cuisine,https://www.alternet.org/2018/01/americans-grow-more-conscious-about-their-food-chefs-across-nation-deliver-plant-based-cuisine/
neutral,Let’s ... Slavery,https://www.alternet.org/2018/01/student-debt-slavery-time-level-playing-field/
fear,Trump ... Says,https://www.alternet.org/2018/01/trump-could-wipe-out-human-species-psychiatrist-says/
disgust,Corporate ... It!’,https://www.alternet.org/2018/01/new-global-ceo-pay-comparison-most-dramatic-yet-demolishes-standard-issue-corporate/
anger,Hate ... Year,https://www.alternet.org/2018/01/hate-doesnt-pay-anti-lgbtq-policies-cost-states-billions-every-year/
anger,Mental ... Citizens,https://www.alternet.org/2018/01/mental-health-inc-how-corruption-lax-oversight-and-failed-reforms-endanger-our-most-vulnerable/
fear,Trump ... Interest,https://www.alternet.org/2018/01/trump-now-dangerous-makes-his-mental-health-matter-public-interest/
anger,Israel ... Country,https://www.alternet.org/2018/01/israel-bars-bds-activists-entering-country/
anger,Corporate ... Repeals,https://www.alternet.org/2018/01/corporate-interests-are-stealing-online-identities-and-faking-public-comments-repeal-pro/
neutral,The ... Health,https://www.alternet.org/2018/01/25-best-diet-tips-lose-weight-and-improve-health/
neutral,Activist ... World,https://www.alternet.org/2018/01/activist-organizers-hopes-2018-movements-around-world/
anger,Prisons ... Incarceration,https://www.alternet.org/2018/01/new-jim-crow-book-banned-prisons/
neutral,Is ... Colorado?,https://www.alternet.org/2018/01/plutonium-exposure-behind-high-cancer-rates-near-former-nuclear-weapons-facility/
