emotion,headline,url
neutral,Cruel ... Irony,https://spectator.org/44555_cruel-irony/
neutral,Turning ... Red,https://spectator.org/44390_turning-left-red/
neutral,Why ... One,https://spectator.org/45418_why-toyotas-number-one/
neutral,Big ... Outslicked,https://spectator.org/45355_big-oil-outslicked/
surprise,2008 ... Arrival?,https://spectator.org/45256_2008-camaro-dead-arrival/
fear,Highway ... Robbery,https://spectator.org/45175_highway-robbery/
neutral,Seppuku ... Industry,https://spectator.org/45135_seppuku-us-auto-industry/
surprise,Electric ... Shock,https://spectator.org/45084_electric-shock/
disgust,Alcohol ... Breathalyzers,https://spectator.org/44984_alcohol-nanny-breathalyzers/
anger,Stuck ... 35,https://spectator.org/44903_stuck-35/
sadness,Striking ... Poor,https://spectator.org/44738_striking-it-poor/
neutral,Engine ... Turnoff,https://spectator.org/44655_engine-turnoff/
neutral,Speed ... Senses,https://spectator.org/45931_speed-limit-senses/
neutral,The ... Prosperity,https://spectator.org/45800_cultural-prerequisites-freedom-and-prosperity/
neutral,The ... Democracy,https://spectator.org/45795_nation-state-and-democracy/
neutral,Mandatory ... Cameras?,https://spectator.org/45729_mandatory-back-cameras/
joy,A ... Wedding?,https://spectator.org/45686_big-divorce-and-splashy-wedding/
neutral,We ... Out,https://spectator.org/45650_we-can-work-it-out/
neutral,Safety ... Costs,https://spectator.org/45617_safety-all-costs/
neutral,Fuel ... Costs,https://spectator.org/45582_fuel-economy-all-costs/
neutral,Ban ... Phones?,https://spectator.org/45475_ban-cell-phones/
neutral,The ... Standard,https://spectator.org/45447_corzine-double-standard/
neutral,Who ... Oldsmobile?,https://spectator.org/45993_who-misses-oldsmobile/
neutral,2008: ... Generation,https://spectator.org/45647_2008-battle-generation/
neutral,Book ... Leno,https://spectator.org/45637_book-im-leno/
neutral,What ... Century?,https://spectator.org/45605_what-trial-century/
neutral,The ... Hurrah,https://spectator.org/45570_hippies-last-hurrah/
neutral,Digging ... Pony,https://spectator.org/44437_digging-through-schip-find-hillarys-pony/
neutral,The ... Fidel,https://spectator.org/45924_fool-fidel/
joy,Happy ... Trails,https://spectator.org/45915_happy-trails/
sadness,Bad ... Berger,https://spectator.org/45894_bad-news-berger/
neutral,Ben ... Right,https://spectator.org/45862_ben-so-right/
neutral,He’s ... Are,https://spectator.org/45831_hes-ready-if-you-are/
neutral,Global ... Friend,https://spectator.org/45791_global-warming-our-friend/
neutral,Democrats ... Rescue,https://spectator.org/45768_democrats-rescue/
neutral,Show ... Senators,https://spectator.org/45731_show-trial-senators/
anger,Democrats ... Guilty,https://spectator.org/45701_democrats-found-guilty/
neutral,Picture ... This,https://spectator.org/45669_picture/
neutral,Re: ... Alliterations,https://spectator.org/5958_re-romney-alliterations/
neutral,Bush ... Knows,https://spectator.org/45988_bush-knows/
neutral,Kudlow ... Tonight,https://spectator.org/6009_kudlow-co-tonight/
surprise,The ... A-Team?,https://spectator.org/45970_team/
neutral,I’m ... Waiting,https://spectator.org/6021_im-still-waiting/
neutral,Berger ... Again,https://spectator.org/45956_berger-again/
neutral,Restoring ... More,https://spectator.org/6122_restoring-faith-and-more/
disgust,Escalatophobia ... Escalatophobia,https://spectator.org/45940_escalatophobia/
