emotion,headline,url
fear,Afghanistan ... wedding,https://apnews.com/7ab9da040d43478a8a277348951c91e7
neutral,Polian ... broadcasting,https://apnews.com/7cf48c0fcf0841fc82b8f2c89819b547
sadness,Pilot ... cop,https://apnews.com/3ced57fa29f14a17bf266010294a2692
joy,Syrian ... Eve,https://apnews.com/ca6857f9476f4837992dc6820fdb7df8
fear,Is ... Mora?,https://apnews.com/38a49d102a0d49a3aeea74488fc33c39
joy,Norway’s ... jump,https://apnews.com/1d3dbf8a636f450ca8976c395b2ff9b1
anger,Steelers’ ... Ravens,https://apnews.com/b96077688fbf4fc3a004734f554f75db
disgust,Testing ... bar,https://apnews.com/3dc153f518d34286a542ab10053385dd
neutral,States ... standards,https://apnews.com/fdc0ec8900e14d7497d12386ecef3822
sadness,LeBron ... injuries,https://apnews.com/4c54834eccde445193c43eaa8d1e3694
neutral,Tennessee’s ... Bowl,https://apnews.com/26419ad7b1504a339f96625790d9af13
anger,2 ... plot,https://apnews.com/297c920b27034cbb9ca870fa3b7b7ef2
joy,Russians ... all,https://apnews.com/d9956849093a425f9fa7a903d8d8120b
sadness,Former ... 95,https://apnews.com/97961bf4fe0d4193a7d561cd74965f9d
joy,Boston’s ... a.m.,https://apnews.com/43b7269cd240498b87f1508ad92d8bc8
fear,Gambia ... attempt,https://apnews.com/210d53dc553d4edcb1ab742c8cba2fd8
neutral,First ... places,https://apnews.com/20326dceba744627a5525bda06a1cdae
neutral,Gov’t ... elections,https://apnews.com/25a08afd2687447abdbbda8a6fe3e9b4
sadness,5 ... incidents,https://apnews.com/c0f0660417d4499d95f80c90f98761a9
neutral,Cougar ... US,https://apnews.com/3cc851127b3144a18edcc1a9e50d3b06
neutral,ESPN ... bowls,https://apnews.com/1284303860834803b83a5783c1bc2b3b
sadness,Florida ... warmups,https://apnews.com/878c06568262485da05ad23dcd582cc4
anger,"Jones, ... 182",https://apnews.com/8a7a024c2bf54fe3b4015827247e93f0
neutral,Trust ... teams,https://apnews.com/858c6e80ad89414281f3fccd9b3e1f44
neutral,Survival ... Brom,https://apnews.com/c936977179fe4c229fc791e868d5d03d
neutral,Virginia ... Cuba,https://apnews.com/ca2337c457b24ad491efc72b7e733dcd
joy,George ... Newcastle,https://apnews.com/5a3c5103fffc45d6baa9e6d4221b3619
anger,Former ... advances,https://apnews.com/af2ade99277c4db9a9d81810447c59bc
neutral,West ... manager,https://apnews.com/24ba36a9520a4f59b533a3b673d54f3f
neutral,Jim ... documentary,https://apnews.com/9cfbe0396d7e479e8a534cd11c64c645
neutral,Dominican ... embassy,https://apnews.com/5a77b03f8ad544a8b5672acb52278c7e
sadness,5 ... Europe,https://apnews.com/093af4b68c144cc7a92ddfb920c228c5
anger,Judge: ... law,https://apnews.com/abb781b13ab94c43bf189bd0b7e3115e
sadness,"Villa, ... EPL",https://apnews.com/5dd90cef4f834e44ae5324a822bf368a
sadness,Turnovers ... loss,https://apnews.com/b8d3b8f906f0479ba421bb8f47f10361
