emotion,headline,url
neutral,Gains ... Monday,https://www.bloomberg.com/news/articles/2004-01-01/gains-likely-monday
joy,Some ... Manufacturing,https://www.bloomberg.com/news/articles/2004-01-01/some-new-years-cheer-for-u-dot-s-dot-manufacturing
neutral,Bear ... Perform',https://www.bloomberg.com/news/articles/2004-01-01/bear-stearns-trims-mckesson-to-peer-perform
neutral,Bear ... Perform',https://www.bloomberg.com/news/articles/2004-01-01/bear-stearns-cuts-amerisourcebergen-to-peer-perform
neutral,S&P ... Resources,https://www.bloomberg.com/news/articles/2004-01-01/s-and-p-says-buy-franklin-resources
sadness,Europe ... Gains,https://www.bloomberg.com/news/articles/2004-01-01/europe-stocks-end-with-gains
sadness,Lehman ... Estimates,https://www.bloomberg.com/news/articles/2004-01-01/lehman-cuts-linens-n-things-estimates
neutral,PetroChina ... Boom,https://www.bloomberg.com/news/articles/2004-01-01/petrochina-warms-to-chinas-economic-boom
neutral,The ... Programming,https://www.bloomberg.com/news/articles/2004-01-04/the-changing-face-of-offshore-programming
neutral,Kmart ... Outlook,https://www.bloomberg.com/news/articles/2004-01-04/kmart-climbs-on-profit-outlook
neutral,Handicapping ... Wannabes,https://www.bloomberg.com/news/articles/2004-01-04/handicapping-the-dem-wannabes
neutral,Higher ... Partners,https://www.bloomberg.com/news/articles/2004-01-04/higher-forecast-for-nextel-partners
neutral,Vital ... 5,https://www.bloomberg.com/news/articles/2004-01-04/vital-signs-for-the-week-of-jan-dot-5
neutral,Stocks ... Highs,https://www.bloomberg.com/news/articles/2004-01-04/stocks-finish-at-session-highs
neutral,S&P ... Systems,https://www.bloomberg.com/news/articles/2004-01-04/s-and-p-says-hold-siebel-systems
neutral,Europe ... Higher,https://www.bloomberg.com/news/articles/2004-01-04/europe-stocks-finish-mostly-higher
neutral,Treasuries ... Lower,https://www.bloomberg.com/news/articles/2004-01-04/treasuries-remain-lower
neutral,RBC ... 'Outperform',https://www.bloomberg.com/news/articles/2004-01-04/rbc-capital-upgrades-mentor-graphics-to-outperform
sadness,Goldman ... 'Underperform',https://www.bloomberg.com/news/articles/2004-01-04/goldman-cuts-pacificare-humana-to-underperform
neutral,The ... Profile,https://www.bloomberg.com/news/articles/2004-01-04/the-key-to-a-low-cost-high-profile
neutral,Why ... Roll,https://www.bloomberg.com/news/articles/2004-01-04/why-first-data-is-ready-to-roll
neutral,Odds ... Tuesday,https://www.bloomberg.com/news/articles/2004-01-04/odds-favor-more-gains-tuesday
neutral,Goldman ... Systems,https://www.bloomberg.com/news/articles/2004-01-04/goldman-keeps-in-line-on-siebel-systems
neutral,Stocks ... Higher,https://www.bloomberg.com/news/articles/2004-01-05/stocks-finish-mixed-techs-higher
