emotion,headline,url
sadness,Sundays ... Years,https://www.breitbart.com/politics/2012/01/01/sundays-with-sherrod-celebrating-19-awful-years/
disgust,The ... 2011,https://www.breitbart.com/entertainment/2012/01/01/the-five-worst-movies-of-2011/
neutral,Media ... Float,https://www.breitbart.com/the-media/2012/01/01/media-hypes-occupys-rose-parade-octopus-float/
neutral,Santorum ... Gregory,https://www.breitbart.com/the-media/2012/01/01/santorum-schools-yet-another-msm-journalist-on-obamas-appeasement-this-time-nbcs-david-gregory/
joy,Happy ... Year!,https://www.breitbart.com/the-media/2012/01/01/happy-new-year-2/
disgust,Tour̩ ... Syndrome,https://www.breitbart.com/the-media/2012/01/01/tour-demonstrates-progressive-entitlement-syndrome/
neutral,UI: ... Plates,https://www.breitbart.com/the-media/2012/01/01/ui-fashion-plates/
neutral,1-Jan-12 ... 1942,https://www.breitbart.com/national-security/2012/01/01/1-jan-12-world-view-top-ten-stories-of-the-year-1942/
neutral,'REAMDE' ... Ideologies,https://www.breitbart.com/entertainment/2012/01/01/reamde-review-genre-mashup-explores-character-radical-ideologies/
anger,Thug ... Santorum,https://www.breitbart.com/clips/2012/01/01/thug-activist-glitter-bombs-santorum/
neutral,GOP ... Resolutions,https://www.breitbart.com/clips/2012/01/01/gop-candidates-iowa-voters-voice-resolutions/
neutral,Romney: ... History',https://www.breitbart.com/clips/2012/01/01/romney-obama-as-footnote-in-history/
neutral,Series ... Rut,https://www.breitbart.com/entertainment/2012/01/01/series-finales-show-hollywood-still-in-same-old-rut/
fear,Rose ... Threats,https://www.breitbart.com/clips/2012/01/01/rose-parade-caves-to-occupy-threats/
neutral,US ... Afghanistan,https://www.breitbart.com/clips/2012/01/01/us-troops-ring-in-2012-in-afghanistan/
neutral,Higher ... Class,https://www.breitbart.com/politics/2012/01/01/higher-education-bubble-columbia-to-offer-occupy-101-class/
anger,'Let's ... Kids,https://www.breitbart.com/politics/2012/01/01/lets-move-a-government-initiative-to-lie-to-kids/
neutral,Democrats' ... Accusations,https://www.breitbart.com/politics/2012/01/01/democrats-brain-trust-hit-by-antisemitism-accusations/
neutral,Occupy ... Schools,https://www.breitbart.com/politics/2012/01/01/occupy-movement-comes-to-elementary-schools/
neutral,'Occupy ... Operation,https://www.breitbart.com/politics/2012/01/01/occupy-the-caucus-is-basically-a-one-man-operation/
