emotion,headline,url
neutral,Pocket ... Projector,https://www.buzzfeednews.com/article/peggy/pocket-projector
neutral,Boxee ... Boxee,https://www.buzzfeednews.com/article/peggy/boxee
neutral,Robinette ... Robinette,https://www.buzzfeednews.com/article/expresident/robinette
neutral,Cheney ... Wheelchair,https://www.buzzfeednews.com/article/peggy/cheney-in-a-wheelchair
neutral,This ... all,https://www.buzzfeednews.com/article/peggy/this-e-card-says-it-all
neutral,Chia ... Obama,https://www.buzzfeednews.com/article/peggy/chia-obama
neutral,Red ... iPhone,https://www.buzzfeednews.com/article/yacomink/red-iphone-v
neutral,Gitmo ... Gone,https://www.buzzfeednews.com/article/yacomink/gitmo-gone-v
neutral,Bush's ... Note,https://www.buzzfeednews.com/article/expresident/bushs-last-note
anger,The ... Hiring!,https://www.buzzfeednews.com/article/peggy/the-fbi-is-hiring
anger,iTunes ... DRM,https://www.buzzfeednews.com/article/yacomink/itunes-kills-drm-v
neutral,Free ... Women,https://www.buzzfeednews.com/article/peggy/free-oral-sex-for-louisville-women
sadness,Bhutto’s ... Grief,https://www.buzzfeednews.com/article/peggy/bhuttos-daughter-raps-her-grief
surprise,Whopper ... Sacrifice,https://www.buzzfeednews.com/article/peggy/whopper-sacrifice
neutral,Puppidential ... Debate,https://www.buzzfeednews.com/article/peggy/puppidential-debate
neutral,Obama's ... Wii,https://www.buzzfeednews.com/article/expresident/obamas-wii
neutral,Boomshine ... Boomshine,https://www.buzzfeednews.com/article/expresident/boomshine
neutral,SAYA ... Receptionist,https://www.buzzfeednews.com/article/peggy/saya-the-robot-receptionist
sadness,Kid ... Wii,https://www.buzzfeednews.com/article/peggy/kid-goes-insane-over-his-new-wii
neutral,MacRumors ... Hackers,https://www.buzzfeednews.com/article/expresident/macrumors-hit-by-hackers
neutral,Loud ... Clear,https://www.buzzfeednews.com/article/peggy/loud-n-clear
neutral,Chirac ... Poodle,https://www.buzzfeednews.com/article/peggy/chirac-mauled-by-poodle
neutral,Play ... YouTube,https://www.buzzfeednews.com/article/peggy/play-streetfighter-with-youtube
neutral,Boxxy ... Boxxy,https://www.buzzfeednews.com/article/peggy/boxxy
neutral,Blago ... Facts,https://www.buzzfeednews.com/article/expresident/blago-facts
surprise,The ... World,https://www.buzzfeednews.com/article/peggy/the-best-job-in-the-world
neutral,Spaceship ... Chart,https://www.buzzfeednews.com/article/expresident/spaceship-size-comparison-chart
neutral,Meeblings ... Meeblings,https://www.buzzfeednews.com/article/expresident/meeblings
neutral,Batter-Pee ... Batter-Pee,https://www.buzzfeednews.com/article/yacomink/batter-pee-v
neutral,Klingon ... Keyboard,https://www.buzzfeednews.com/article/peggy/klingon-keyboard
disgust,Nerdy ... [NSFW],https://www.buzzfeednews.com/article/peggy/nerdy-sunbathers-nsfw
neutral,Pee ... Battery,https://www.buzzfeednews.com/article/peggy/pee-powered-battery
joy,Obama's ... Inauguration,https://www.buzzfeednews.com/article/expresident/obamas-lego-inauguration
joy,LeVar ... Song,https://www.buzzfeednews.com/article/peggy/levar-burton-sings-reading-rainbow-theme-song
neutral,Filler ... Filler,https://www.buzzfeednews.com/article/expresident/filler
neutral,Inauguration ... Mashup,https://www.buzzfeednews.com/article/peggy/inauguration-speech-mashup
neutral,Kirsten ... Gillibrand,https://www.buzzfeednews.com/article/peggy/kirsten-gillibrand
neutral,Obama's ... Blackberry,https://www.buzzfeednews.com/article/yacomink/obamas-new-blackberry-v
neutral,The ... Morph,https://www.buzzfeednews.com/article/peggy/the-bush-obama-morph
neutral,French-to-Binary ... Dictionary,https://www.buzzfeednews.com/article/expresident/french-to-binary-dictionary
neutral,Clicky ... Law,https://www.buzzfeednews.com/article/yacomink/clicky-camera-phone-law-v
neutral,Interactive ... Video,https://www.buzzfeednews.com/article/peggy/interactive-jacuzzi-girl-video
neutral,Macintosh ... Game,https://www.buzzfeednews.com/article/expresident/macintosh-dating-game-1983
disgust,George ... Joke,https://www.buzzfeednews.com/article/peggy/george-bush-sr-tells-an-offensive-joke
neutral,Melody ... Morales,https://www.buzzfeednews.com/article/peggy/melody-morales
disgust,Drunk ... Land,https://www.buzzfeednews.com/article/expresident/drunk-super-mario-land
neutral,Beaker ... DC,https://www.buzzfeednews.com/article/peggy/beaker-in-dc
neutral,Electronic ... Future,https://www.buzzfeednews.com/article/expresident/electronic-newspapers-of-the-future
surprise,"Hey, ... Move?",https://www.buzzfeednews.com/article/expresident/hey-did-you-guys-move
neutral,Origin ... Logo,https://www.buzzfeednews.com/article/expresident/origin-of-the-google-chrome-logo
neutral,FLOTUS ... FLOTUS,https://www.buzzfeednews.com/article/peggy/flotus
sadness,Iceland's ... Collapses,https://www.buzzfeednews.com/article/expresident/icelands-government-collapses
disgust,Dating ... Anonymous,https://www.buzzfeednews.com/article/peggy/dating-a-banker-anonymous
neutral,Internet ... Anti-Memes,https://www.buzzfeednews.com/article/peggy/internet-anti-memes
neutral,Everquest ... Secret,https://www.buzzfeednews.com/article/expresident/everquest-secret
neutral,Pwnyoutube.com ... Pwnyoutube.com,https://www.buzzfeednews.com/article/peggy/pwnyoutubecom
joy,Fun ... Text,https://www.buzzfeednews.com/article/peggy/fun-with-predictive-text
neutral,Voice ... Draw,https://www.buzzfeednews.com/article/peggy/voice-draw
neutral,Dr. ... Washington,https://www.buzzfeednews.com/article/yacomink/dr-spaceman-goes-to-washington-v
neutral,Old ... Hero,https://www.buzzfeednews.com/article/yacomink/old-school-guitar-hero-v
neutral,Conspiracy ... Rock,https://www.buzzfeednews.com/article/peggy/conspiracy-rock
neutral,Katamari ... Toy,https://www.buzzfeednews.com/article/yacomink/katamari-toy-v
neutral,The ... Crackulous,https://www.buzzfeednews.com/article/peggy/the-irony-of-crackulous
neutral,l33t ... Grandma,https://www.buzzfeednews.com/article/peggy/l33t-grandma
neutral,Bubble ... Spinner,https://www.buzzfeednews.com/article/expresident/bubble-spinner
neutral,LaserPup ... LaserPup,https://www.buzzfeednews.com/article/peggy/laserpup
neutral,Crossblock ... Crossblock,https://www.buzzfeednews.com/article/expresident/crossblock
neutral,Buy ... Zimbabwean!,https://www.buzzfeednews.com/article/expresident/buy-zimbabwean
neutral,$timator ... $timator,https://www.buzzfeednews.com/article/peggy/timator
neutral,The ... Maestro,https://www.buzzfeednews.com/article/peggy/the-maestro
anger,Ohio ... Obama,https://www.buzzfeednews.com/article/expresident/ohio-christians-against-obama
