emotion,headline,url
disgust,Jewish ... Christians,https://www1.cbn.com/cbnnews/insideisrael/2015/January/Jewish-Cartoonist-Confronts-Holocuast-of-Mideast-Christians
anger,"US, ... Ploy",https://www1.cbn.com/cbnnews/insideisrael/2015/January/US-Israel-Criticize-Palestinian-Pressure-Ploy
joy,"Hello, ... Year",https://www1.cbn.com/cbnnews/world/2015/January/Massive-Celebrations-Around-the-World-Welcome-2015
sadness,Grieving ... This',https://www1.cbn.com/cbnnews/world/2015/January/Grieving-AirAsia-Flight-Families-God-Is-Bigger-than-All-This
neutral,Government ... China,https://www1.cbn.com/cbnnews/world/2015/January/Government-Targets-Christian-Crosses-in-Eastern-China
fear,Air ... Syria,https://www1.cbn.com/cbnnews/world/2015/January/Air-Strikes-Target-ISIS-De-Facto-Capitol-in-Syria
neutral,Body ... 8501,https://www1.cbn.com/cbnnews/world/2015/January/Body-Recovery-Continues-for-AirAsia-Flight-8501
fear,What's ... Year?,https://www1.cbn.com/cbnnews/insideisrael/2015/January/Whats-at-Stake-for-Israels-Future-this-Year
neutral,Power ... Patterns,https://www1.cbn.com/cbnnews/healthscience/2013/April/Power-of-Habit-The-Key-to-Breaking-Harmful-Patterns
neutral,South ... Anonymity,https://www1.cbn.com/cbnnews/world/2015/January/South-Korean-Ebola-Medic-Flown-to-Germany-for-Anonymity
neutral,The ... Numbers,https://www1.cbn.com/cbnnews/world/2015/January/Congress-by-Numbers
fear,Third ... Weapons?,https://www1.cbn.com/cbnnews/world/2015/January/Third-Target-What-If-ISIS-Captures-Chemical-Weapons
neutral,Oversight ... US,https://www1.cbn.com/cbnnews/politics/2015/January/Oversight-Report-DHS-Not-Effectively-Protecting-US
neutral,GOP ... Battles,https://www1.cbn.com/cbnnews/politics/2015/January/GOP-Gears-Up-to-Fight-Obama-amid-Internal-Battles
anger,North ... Sanctions,https://www1.cbn.com/cbnnews/world/2015/January/North-Korea-Blasts-US-Over-Sanctions
neutral,House ... Speaker,https://www1.cbn.com/cbnnews/politics/2015/January/House-Re-elects-John-Boehner-as-Speaker
neutral,Scientists ... Disease,https://www1.cbn.com/cbnnews/healthscience/2015/January/Scientists-Say-Sugar-Could-Be-Source-of-Disease
neutral,God ... Times?,https://www1.cbn.com/cbnnews/world/2015/January/God-Sounding-Alarm-Through-the-Signs-of-the-Times
disgust,Gunmen ... Libya,https://www1.cbn.com/cbnnews/world/2015/January/Gunmen-Kidnap-13-Coptic-Christians-in-Libya
