emotion,headline,url
anger,Mexican ... Dozens,https://www.cbsnews.com/news/mexican-fireworks-blast-kills-dozens/
disgust,Iraq ... Standard,https://www.cbsnews.com/news/iraq-accuses-us-of-double-standard/
neutral,Spare ... Experts,https://www.cbsnews.com/news/spare-death-row-lives-say-experts/
neutral,History's ... Battle,https://www.cbsnews.com/news/historys-footprint-sparks-new-battle/
disgust,Your ... Cocaine,https://www.cbsnews.com/news/your-brain-on-cocaine/
neutral,Startling ... Documents,https://www.cbsnews.com/news/startling-policies-in-n-ireland-documents/
neutral,Welcome ... 2003!,https://www.cbsnews.com/news/welcome-2003/
joy,Pope ... Peace,https://www.cbsnews.com/news/pope-makes-plea-for-mideast-peace/
neutral,Reverse ... Popularity,https://www.cbsnews.com/news/reverse-mortgages-gain-in-popularity/
neutral,Rehnquist's ... Request,https://www.cbsnews.com/news/rehnquists-request/
neutral,Tasty ... Salad,https://www.cbsnews.com/news/tasty-healthy-salad/
anger,Defiant ... U.S.,https://www.cbsnews.com/news/defiant-n-korea-vows-to-confront-us/
neutral,Bush ... Blusters,https://www.cbsnews.com/news/bush-talks-mild-n-korea-blusters/
joy,O.J. ... Spirit,https://www.cbsnews.com/news/oj-simpson-shows-team-spirit/
anger,Pakistani ... Soldier,https://www.cbsnews.com/news/pakistani-guard-shot-us-soldier/
neutral,Officials ... Back,https://www.cbsnews.com/news/officials-want-w-va-surgeons-back/
joy,Edwards ... Bid,https://www.cbsnews.com/news/edwards-launches-white-house-bid/
fear,Terror ... Attack,https://www.cbsnews.com/news/terror-tie-suspected-in-yemen-attack/
neutral,In ... Laws,https://www.cbsnews.com/news/in-with-the-new-laws/
neutral,Wireless ... Insecurity,https://www.cbsnews.com/news/wireless-insecurity/
anger,Surgeons ... Costs,https://www.cbsnews.com/news/surgeons-strike-over-insurance-costs/
anger,Gunshots ... Costs,https://www.cbsnews.com/news/gunshots-trigger-hefty-costs/
neutral,Apes ... Culture,https://www.cbsnews.com/news/apes-aping-apes-pass-down-culture/
fear,U.S. ... Mess,https://www.cbsnews.com/news/us-firms-in-china-missile-tech-mess/
sadness,Improve ... Surgery,https://www.cbsnews.com/news/improve-driving-with-surgery/
neutral,A ... Cross,https://www.cbsnews.com/news/a-black-mark-for-the-red-cross/
neutral,Renaissance ... Scrapbook,https://www.cbsnews.com/news/renaissance-for-the-scrapbook/
neutral,New ... Disease,https://www.cbsnews.com/news/new-drug-for-ms-and-crohns-disease/
neutral,Iraq: ... Oil,https://www.cbsnews.com/news/iraq-its-all-about-oil/
neutral,dd ... dd,https://www.cbsnews.com/news/dd-534955/
neutral,U.S. ... Division,https://www.cbsnews.com/news/us-calls-up-combat-division/
neutral,Mama ... Drivers,https://www.cbsnews.com/news/mama-mia-italys-14-year-old-drivers/
joy,The ... Frog,https://www.cbsnews.com/news/the-demise-of-twains-celebrated-frog/
sadness,Salvation ... Donation,https://www.cbsnews.com/news/salvation-army-shoots-down-donation/
disgust,Massive ... Shrinking,https://www.cbsnews.com/news/massive-ice-sheet-shrinking/
neutral,How ... Salad?,https://www.cbsnews.com/news/how-good-is-your-salad/
neutral,Mexican ... Averted,https://www.cbsnews.com/news/mexican-border-standoff-averted/
neutral,China ... Capsule,https://www.cbsnews.com/news/china-launches-fourth-space-capsule/
neutral,Mississippi's ... Milestone,https://www.cbsnews.com/news/mississippis-cyber-milestone/
disgust,Binge ... Rise,https://www.cbsnews.com/news/binge-drinking-on-the-rise/
neutral,Retired? ... Easy,https://www.cbsnews.com/news/retired-take-it-easy/
sadness,U.S. ... Low,https://www.cbsnews.com/news/us-mining-deaths-hit-record-low/
neutral,Global ... Migration,https://www.cbsnews.com/news/global-warming-kicks-off-a-migration/
neutral,Auto ... Blue,https://www.cbsnews.com/news/auto-industrys-current-color-blue/
fear,Holiday ... Deadly,https://www.cbsnews.com/news/holiday-rice-cakes-prove-deadly/
neutral,Insurance ... Blacklist,https://www.cbsnews.com/news/insurance-industry-blacklist/
neutral,Get ... Dancing,https://www.cbsnews.com/news/get-fit-belly-dancing/
fear,War ... Market,https://www.cbsnews.com/news/war-jitters-spook-stock-market/
neutral,Trade ... $40B,https://www.cbsnews.com/news/trade-deficit-balloons-to-40b/
sadness,They ... Swear,https://www.cbsnews.com/news/they-solemnly-swear/
neutral,Ohio ... 31-24,https://www.cbsnews.com/news/ohio-state-upsets-miami-in-ot-31-24/
fear,Surgeons ... Virginia,https://www.cbsnews.com/news/surgeons-strike-in-west-virginia/
neutral,Sealing ... Drafts,https://www.cbsnews.com/news/sealing-home-drafts/
neutral,Women ... Views,https://www.cbsnews.com/news/women-reveal-body-image-views/
neutral,Looking ... Loud,https://www.cbsnews.com/news/looking-back-at-lance-loud/
neutral,'The ... Reigns,https://www.cbsnews.com/news/the-king-still-reigns/
neutral,Second ... Mraz,https://www.cbsnews.com/news/second-cup-cafe-jason-mraz/
sadness,Claire ... Books,https://www.cbsnews.com/news/claire-danes-hours-not-for-books/
sadness,Arafat ... But...,https://www.cbsnews.com/news/arafat-welcomes-cease-fire-but/
neutral,French ... Tide,https://www.cbsnews.com/news/french-beaches-brace-for-oily-tide/
neutral,A ... Story,https://www.cbsnews.com/news/a-brady-bunch-story/
neutral,Bush ... Plan,https://www.cbsnews.com/news/bush-lays-out-his-stimulus-plan/
fear,Mistaken-Bombing ... Charges,https://www.cbsnews.com/news/mistaken-bombing-pilots-face-charges/
neutral,Orrin ... Likes,https://www.cbsnews.com/news/orrin-hatch-some-lawyers-he-likes/
sadness,Ozzy ... (Again),https://www.cbsnews.com/news/ozzy-and-sharon-get-hitched-again/
neutral,'Separate ... Backslide,https://www.cbsnews.com/news/separate-but-equal-backslide/
neutral,Lott ... Chairmanship,https://www.cbsnews.com/news/lott-in-line-for-panel-chairmanship/
neutral,The ... 2002,https://www.cbsnews.com/news/the-odd-truth-dec-31-2002/
neutral,Few ... Search,https://www.cbsnews.com/news/few-clues-in-laci-peterson-search/
joy,Van ... Away,https://www.cbsnews.com/news/van-dams-glad-monster-is-put-away/
anger,Critics ... Poet,https://www.cbsnews.com/news/critics-question-dyed-in-the-wool-poet/
neutral,U.S. ... Tracking,https://www.cbsnews.com/news/us-pushes-closer-traveler-tracking/
neutral,Pay ... Saving,https://www.cbsnews.com/news/pay-bills-start-saving/
neutral,The ... Vacuums,https://www.cbsnews.com/news/the-latest-in-vacuums/
neutral,Look ... <i>Survivor</I>!,https://www.cbsnews.com/news/look-out-isurvivor-i/
neutral,It's ... Good,https://www.cbsnews.com/news/its-easy-to-look-good/
neutral,Army ... Gulf,https://www.cbsnews.com/news/army-deploys-more-soldiers-to-gulf/
anger,Pakistan ... Outrage,https://www.cbsnews.com/news/pakistan-border-clash-prompts-outrage/
neutral,Taking ... City',https://www.cbsnews.com/news/taking-the-sin-out-of-sin-city/
neutral,Probing ... Link,https://www.cbsnews.com/news/probing-asian-clone-link/
neutral,Your ... Best,https://www.cbsnews.com/news/your-medical-future-mother-knows-best/
neutral,A ... Watchers,https://www.cbsnews.com/news/a-look-at-weight-watchers/
neutral,NYC ... Study,https://www.cbsnews.com/news/nyc-to-undertake-9-11-health-study/
anger,Violence ... Venezuela,https://www.cbsnews.com/news/violence-predicted-in-venezuela/
surprise,Baby's ... Haircut,https://www.cbsnews.com/news/babys-first-haircut/
neutral,The ... 2003,https://www.cbsnews.com/news/the-odd-truth-jan-2-2003-03-01-2003/
neutral,Jesse ... Pro,https://www.cbsnews.com/news/jesse-the-mouth-ventura-turns-pro/
neutral,Andy's ... Nonsense',https://www.cbsnews.com/news/andys-common-nonsense/
neutral,Dialing ... Dollars,https://www.cbsnews.com/news/dialing-for-iyour-i-dollars/
anger,Anti-U.S. ... Thousands,https://www.cbsnews.com/news/anti-us-protests-draw-thousands/
fear,"Storms, ... Europe",https://www.cbsnews.com/news/storms-floods-wreak-havok-in-europe/
neutral,Medicare ... Price,https://www.cbsnews.com/news/medicare-drugs-likely-but-at-a-price/
neutral,Sharpton ... Official,https://www.cbsnews.com/news/sharpton-makes-it-official/
