emotion,headline,url
fear,How ... meltdown,https://edition.cnn.com/2017/01/01/opinions/mariah-carey-meltdown-opinion-robbins/index.html
sadness,Ex-Clinton ... storm',https://edition.cnn.com/2017/01/01/politics/karen-finney-hillary-clinton-state-of-the-union-cnntv/index.html
sadness,William ... dies,https://edition.cnn.com/2017/01/01/entertainment/william-christopher-mash-obit/index.html
sadness,3 ... collision,https://edition.cnn.com/2016/12/31/us/texas-plane-collision/index.html
neutral,21 ... ride,https://edition.cnn.com/2016/12/31/us/california-theme-park-ride-rescue/index.html
neutral,Charlie ... overseas,https://edition.cnn.com/2017/01/01/politics/charlie-crist-tariff-donald-trump-cnntv/index.html
fear,Istanbul ... solutions,https://edition.cnn.com/2017/01/01/opinions/istanbul-attack-turkey-polarized/index.html
sadness,Trump ... farewell,https://edition.cnn.com/2016/12/31/politics/donald-trump-new-years-eve/index.html
neutral,Van ... over',https://edition.cnn.com/2017/01/01/politics/van-jones-hillary-clinton-cnntv-state-of-the-union/index.html
neutral,White ... day,https://edition.cnn.com/2017/01/01/politics/white-house-moving-day-cnntv/index.html
disgust,Vermont ... computer,https://edition.cnn.com/2016/12/30/us/grizzly-steppe-malware-burlington-electric/index.html
sadness,Trump ... enemies',https://edition.cnn.com/2016/12/31/politics/donald-trump-happy-new-year/index.html
neutral,"Blackburn, ... affordable",https://edition.cnn.com/2017/01/01/politics/marsha-blackburn-child-care-ivanka-trump-cnntv/index.html
neutral,4 ... 2017,https://edition.cnn.com/2017/01/01/politics/ip-forecast-2017-stories-to-watch/index.html
anger,Liberal ... hearing,https://edition.cnn.com/2017/01/01/politics/jeff-sessions-confirmation-hearing-liberal-groups-delay/index.html
fear,The ... mistake,https://edition.cnn.com/2017/01/01/opinions/mormon-tabernacle-choir-mistake-reyes/index.html
fear,Trump's ... politics,https://edition.cnn.com/2017/01/01/politics/week-in-politics-trump-russia/index.html
anger,'Stray' ... celebration,https://edition.cnn.com/2017/01/02/us/texas-representative-bullet-hits-head/index.html
neutral,Britney ... beau,https://edition.cnn.com/2017/01/02/entertainment/britney-spears-dating-sam-asghari/index.html
neutral,Federal ... Obamacare,https://edition.cnn.com/2017/01/02/politics/obamacare-transgender-protection/index.html
anger,Mariah ... sabotaged,https://edition.cnn.com/2017/01/02/entertainment/mariah-carey-new-years-eve-dick-clark-productions/index.html
anger,How ... Yiannopoulos,https://edition.cnn.com/2017/01/02/opinions/milo-yiannopoulos-and-trump-profitable-hate-ben-ghiat-opinion/index.html
fear,Myanmar: ... Rohingya,https://edition.cnn.com/2017/01/02/world/myanmar-investigates-brutality-against-rohingya-muslims/index.html
sadness,25 ... Thailand,https://edition.cnn.com/2017/01/02/asia/thailand-highway-crash/index.html
sadness,Alcohol ... says,https://edition.cnn.com/2017/01/02/health/alcohol-abuse-heart-disease-risk/index.html
fear,Democrats ... process,https://edition.cnn.com/2017/01/02/politics/senate-confirmation-hearings-democrats-target/index.html
neutral,Three ... thing,https://edition.cnn.com/2017/01/02/health/twins-born-different-year-new-years-trnd/index.html
neutral,What's ... January,https://edition.cnn.com/2016/12/30/entertainment/netflix-amazon-hulu-streaming-january/index.html
neutral,Obama ... Twitter,https://edition.cnn.com/2017/01/01/politics/obama-tweets-legacy/index.html
neutral,Pelosi's ... look',https://edition.cnn.com/2017/01/02/politics/house-democrats-obamacare-repeal/index.html
fear,Husband ... home,https://edition.cnn.com/2017/01/02/health/burglary-phone-app-trnd/index.html
neutral,'The ... certificate,https://edition.cnn.com/2016/12/30/health/intersex-birth-certificate/index.html
neutral,Hill ... 2017,https://edition.cnn.com/2017/01/02/politics/donald-trump-republicans-congress-2017/index.html
sadness,Billie ... grandmother,https://edition.cnn.com/2017/01/02/entertainment/billie-lourd-instagram-tribute-carrie-fisher-debbie-reynolds/index.html
sadness,South ... Denmark,https://edition.cnn.com/2017/01/02/asia/south-korea-scandal-daughter-arrest/index.html
fear,Why ... priority,https://edition.cnn.com/2017/01/02/opinions/trump-north-korea-priority-opinion/index.html
