emotion,headline,url
neutral,As ... resources,https://www.csmonitor.com/2007/0101/p01s02-wogn.html
neutral,India ... boom,https://www.csmonitor.com/2007/0102/p06s01-wosc.html
fear,Reporters ... Job,https://www.csmonitor.com/2007/0104/p06s02-wogn.html
neutral,World ... World,https://www.csmonitor.com/2007/0104/p07s02-nbgn.html
disgust,Nepal's ... abuse?,https://www.csmonitor.com/2007/0102/p07s02-wosc.html
sadness,Those ... Democrats,https://www.csmonitor.com/2007/0102/p08s01-comv.html
joy,When ... more,https://www.csmonitor.com/2007/0102/p09s01-cogn.html
neutral,Letters ... Letters,https://www.csmonitor.com/2007/0104/p08s01-cole.html
neutral,McMansions ... city,https://www.csmonitor.com/2007/0102/p03s03-ussc.html
sadness,Eileen's ... can,https://www.csmonitor.com/2007/0102/p09s02-cogn.html
neutral,Can ... love?,https://www.csmonitor.com/2007/0102/p14s02-bogn.html
neutral,The ... up,https://www.csmonitor.com/2007/0102/p14s01-bogn.html
neutral,Book ... bits,https://www.csmonitor.com/2007/0102/p15s01-bogn.html
neutral,Saddam ... future,https://www.csmonitor.com/2007/0102/p18s01-hfcs.html
neutral,What ... tableware?,https://www.csmonitor.com/2007/0102/p18s02-hfes.html
joy,A ... Day,https://www.csmonitor.com/2007/0102/p18s03-hfpo.html
joy,A ... difference,https://www.csmonitor.com/2007/0102/p18s04-hfks.html
disgust,Execution ... influence,https://www.csmonitor.com/2007/0102/p10s01-woiq.html
neutral,Etc... ... Etc...,https://www.csmonitor.com/2007/0103/p03s03-nbgn.html
disgust,When ... woman,https://www.csmonitor.com/2007/0102/p17s01-bogn.html
neutral,Next ... property?,https://www.csmonitor.com/2007/0102/p02s01-usju.html
neutral,Consumer ... class,https://www.csmonitor.com/2007/0102/p01s02-woap.html
sadness,Era ... death,https://www.csmonitor.com/2007/0102/p25s01-woiq.html
neutral,Backstory: ... Hollywood,https://www.csmonitor.com/2007/0102/p20s01-almo.html
neutral,USA ... USA,https://www.csmonitor.com/2007/0103/p03s01-nbgn.html
neutral,Why ... 2007,https://www.csmonitor.com/2007/0102/p01s04-usec.html
disgust,Relentless ... bombs,https://www.csmonitor.com/2007/0102/p01s03-usmi.html
disgust,A ... legacy,https://www.csmonitor.com/2007/0102/p01s01-wome.html
neutral,Haiku ... Haiku,https://www.csmonitor.com/2007/0103/p18s03-hfpo.html
neutral,Etc... ... Etc...,https://www.csmonitor.com/2007/0103/p03s03-nbgn.html
fear,Bangkok ... democracy,https://www.csmonitor.com/2007/0103/p04s01-woap.html
neutral,Has ... undone?,https://www.csmonitor.com/2007/0103/p06s01-wome.html
fear,Reporters ... Job,https://www.csmonitor.com/2007/0104/p06s02-wogn.html
fear,A ... path,https://www.csmonitor.com/2007/0103/p18s04-hfes.html
neutral,World ... World,https://www.csmonitor.com/2007/0104/p07s02-nbgn.html
sadness,Himalaya's ... neglect,https://www.csmonitor.com/2007/0103/p07s02-sten.html
neutral,Is ... mayors?,https://www.csmonitor.com/2007/0103/p03s02-uspo.html
disgust,A ... women,https://www.csmonitor.com/2007/0103/p09s01-coop.html
neutral,A ... value,https://www.csmonitor.com/2007/0103/p09s02-coop.html
sadness,An ... work,https://www.csmonitor.com/2007/0103/p14s01-legn.html
surprise,Time ... much?,https://www.csmonitor.com/2007/0103/p16s01-cogn.html
joy,A ... freedom,https://www.csmonitor.com/2007/0103/p18s01-hfcs.html
neutral,Fresh ... out,https://www.csmonitor.com/2007/0103/p18s02-hfes.html
fear,"First, ... Iraq",https://www.csmonitor.com/2007/0103/p08s01-comv.html
sadness,A ... Ford,https://www.csmonitor.com/2007/0103/p08s02-cogn.html
sadness,Darfur ... Somalia?,https://www.csmonitor.com/2007/0103/p02s01-woaf.html
neutral,USA ... USA,https://www.csmonitor.com/2007/0103/p03s01-nbgn.html
neutral,Congress ... way,https://www.csmonitor.com/2007/0103/p01s03-uspo.html
fear,Somalia ... vanish,https://www.csmonitor.com/2007/0103/p01s02-woaf.html
surprise,From ... drums,https://www.csmonitor.com/2007/0103/p01s01-ussc.html
neutral,Backstory: ... House,https://www.csmonitor.com/2007/0103/p20s01-ussc.html
neutral,N. ... influence,https://www.csmonitor.com/2007/0103/p01s04-woap.html
fear,Reporters ... Job,https://www.csmonitor.com/2007/0104/p06s02-wogn.html
neutral,World ... World,https://www.csmonitor.com/2007/0104/p07s02-nbgn.html
neutral,Letters ... Letters,https://www.csmonitor.com/2007/0104/p08s01-cole.html
surprise,What ... YouTube?,https://www.csmonitor.com/2007/0104/p08s02-comv.html
fear,Was ... States?,https://www.csmonitor.com/2007/0104/p09s01-coop.html
sadness,Middle-class ... Dobbs.,https://www.csmonitor.com/2007/0104/p09s02-coop.html
neutral,Atheists ... right,https://www.csmonitor.com/2007/0104/p13s01-lire.html
neutral,Why ... Chinese,https://www.csmonitor.com/2007/0104/p17s01-legn.html
neutral,New ... musicians,https://www.csmonitor.com/2007/0104/p14s01-legn.html
surprise,How ... see,https://www.csmonitor.com/2007/0104/p17s02-stss.html
sadness,The ... grief,https://www.csmonitor.com/2007/0104/p18s01-hfcs.html
joy,The ... Ravel,https://www.csmonitor.com/2007/0104/p18s03-hfes.html
neutral,We ... birds,https://www.csmonitor.com/2007/0104/p18s02-hfes.html
surprise,A ... words,https://www.csmonitor.com/2007/0104/p18s04-hfks.html
neutral,'Made ... backyard,https://www.csmonitor.com/2007/0104/p06s01-wosc.html
neutral,How ... free,https://www.csmonitor.com/2007/0104/p13s02-legn.html
disgust,In ... coca,https://www.csmonitor.com/2007/0104/p05s01-woam.html
anger,In ... mummies,https://www.csmonitor.com/2007/0104/p07s01-alar.html
neutral,Etc... ... Etc...,https://www.csmonitor.com/2007/0105/p03s02-nbgn.html
neutral,USA ... USA,https://www.csmonitor.com/2007/0108/p03s01-nbgn.html
neutral,Bay ... challenge,https://www.csmonitor.com/2007/0104/p02s01-ussc.html
neutral,India ... Muslims,https://www.csmonitor.com/2007/0104/p01s04-wosc.html
neutral,How ... nation,https://www.csmonitor.com/2007/0104/p01s03-woap.html
fear,America's ... squeeze,https://www.csmonitor.com/2007/0104/p01s01-wmgn.html
neutral,For ... list,https://www.csmonitor.com/2007/0104/p01s02-uspo.html
neutral,The ... spell,https://www.csmonitor.com/2007/0104/p03s03-ussc.html
neutral,Backstory: ... lovers,https://www.csmonitor.com/2007/0104/p20s01-alar.html
fear,Reporters ... Job,https://www.csmonitor.com/2007/0108/p06s02-wogn.html
neutral,World ... World,https://www.csmonitor.com/2007/0108/p07s01-nbgn.html
neutral,Letters ... Letters,https://www.csmonitor.com/2007/0108/p08s02-cole.html
neutral,Laptops: ... education?,https://www.csmonitor.com/2007/0105/p08s02-comv.html
neutral,Backsliding ... assassination,https://www.csmonitor.com/2007/0105/p09s02-cods.html
neutral,Will ... 2008?,https://www.csmonitor.com/2007/0105/p09s01-coop.html
neutral,At ... 'threequel',https://www.csmonitor.com/2007/0105/p11s01-almo.html
neutral,2007's ... 'Zoli',https://www.csmonitor.com/2007/0105/p12s01-bogn.html
neutral,The ... creator,https://www.csmonitor.com/2007/0105/p11s03-almo.html
fear,Somalis ... disarm,https://www.csmonitor.com/2007/0105/p06s01-woaf.html
joy,Onstage ... scissors,https://www.csmonitor.com/2007/0105/p12s02-almp.html
surprise,Future ... tense,https://www.csmonitor.com/2007/0105/p16s01-almo.html
neutral,Everyone ... Roses.,https://www.csmonitor.com/2007/0105/p13s01-almp.html
neutral,Movie ... Guide,https://www.csmonitor.com/2007/0105/p16s02-almo.html
neutral,Resolved ... Resolved,https://www.csmonitor.com/2007/0105/p18s01-hfcs.html
neutral,Entertainment ... 2007,https://www.csmonitor.com/2007/0105/p11s02-algn.html
neutral,Israel ... growth,https://www.csmonitor.com/2007/0105/p04s01-wome.html
neutral,How ... goals,https://www.csmonitor.com/2007/0105/p11s04-algn.html
neutral,Etc... ... Etc...,https://www.csmonitor.com/2007/0105/p03s02-nbgn.html
neutral,India's ... 'goddess',https://www.csmonitor.com/2007/0105/p05s01-wosc.html
neutral,A ... meal,https://www.csmonitor.com/2007/0105/p18s03-hfes.html
neutral,Loyalty ... oaths,https://www.csmonitor.com/2007/0105/p18s04-hfes.html
neutral,American ... Poetry,https://www.csmonitor.com/2007/0105/p18s02-hfpo.html
surprise,Oprah's ... more,https://www.csmonitor.com/2007/0105/p01s03-woaf.html
neutral,Four ... race,https://www.csmonitor.com/2007/0105/p01s01-uspo.html
joy,Backstory: ... opera,https://www.csmonitor.com/2007/0105/p20s01-almp.html
surprise,Oprah's ... more,https://www.csmonitor.com/2007/0105/p01s03-woaf.html
neutral,New ... plants,https://www.csmonitor.com/2007/0105/p01s04-wmgn.html
neutral,Pentagon ... Africa,https://www.csmonitor.com/2007/0105/p02s01-usmi.html
neutral,USA ... USA,https://www.csmonitor.com/2007/0108/p03s01-nbgn.html
surprise,What's ... hit.,https://www.csmonitor.com/2007/0105/p03s03-ussc.html
neutral,If ... B?,https://www.csmonitor.com/2007/0105/p01s02-woiq.html
neutral,The ... intelligence,https://www.csmonitor.com/2007/0108/p09s01-coop.html
neutral,Detroit: ... harder,https://www.csmonitor.com/2007/0108/p08s01-comv.html
sadness,Communist ... archbishop,https://www.csmonitor.com/2007/0108/p07s02-woeu.html
neutral,Letters ... Letters,https://www.csmonitor.com/2007/0108/p08s02-cole.html
neutral,How ... tears,https://www.csmonitor.com/2007/0108/p09s02-coop.html
neutral,Like ... nice,https://www.csmonitor.com/2007/0108/p18s02-hfes.html
neutral,Euro ... money,https://www.csmonitor.com/2007/0108/p17s01-cogn.html
neutral,How ... profits,https://www.csmonitor.com/2007/0108/p14s01-wmgn.html
neutral,A ... Worth,https://www.csmonitor.com/2007/0108/p17s02-wmgn.html
neutral,Sufficient ... beautiful,https://www.csmonitor.com/2007/0108/p18s01-hfcs.html
neutral,World ... World,https://www.csmonitor.com/2007/0108/p07s01-nbgn.html
joy,Dow's ... surprise,https://www.csmonitor.com/2007/0108/p12s01-wmgn.html
fear,Reporters ... Job,https://www.csmonitor.com/2007/0108/p06s02-wogn.html
neutral,USA ... USA,https://www.csmonitor.com/2007/0108/p03s01-nbgn.html
fear,Capitol ... Iraq,https://www.csmonitor.com/2007/0108/p03s03-usfp.html
neutral,To ... offsets,https://www.csmonitor.com/2007/0108/p25s02-wmgn.html
fear,A ... Iraq,https://www.csmonitor.com/2007/0108/p06s01-woiq.html
neutral,Backstory: ... lining,https://www.csmonitor.com/2007/0108/p20s01-sten.html
joy,It's ... Hallelujah!,https://www.csmonitor.com/2007/0108/p18s03-hfes.html
neutral,Next ... Behind,https://www.csmonitor.com/2007/0108/p01s01-uspo.html
sadness,As ... marks,https://www.csmonitor.com/2007/0108/p25s01-woeu.html
neutral,An ... Virginia,https://www.csmonitor.com/2007/0108/p01s03-woaf.html
