emotion,headline,url
neutral,Saul ... chairmanship,https://dailycaller.com/2011/01/01/saul-anuzis-steps-up-to-battle-michael-steele-for-rnc-chairmanship/
neutral,Cuomo ... security,https://dailycaller.com/2011/01/01/cuomo-inaugurated-new-york-governor-gets-busy-reducing-security/
neutral,Rep. ... Braun,https://dailycaller.com/2011/01/01/rep-danny-davis-exits-chicago-mayor-race-endorses-moseley-braun/
sadness,Church ... Egypt,https://dailycaller.com/2011/01/01/church-bombing-kills-21-in-egypt/
neutral,Dilma ... president,https://dailycaller.com/2011/01/01/dilma-rousseff-formerly-a-marxist-rebel-sworn-in-as-brazils-first-female-president/
neutral,Study ... friends,https://dailycaller.com/2011/01/01/study-advises-careful-reflection-before-adding-doctors-as-facebook-friends/
neutral,Former ... president,https://dailycaller.com/2011/01/01/former-utah-governor-jon-huntsman-is-likely-running-for-president/
sadness,DC-bound ... erred,https://dailycaller.com/2011/01/01/us-capitol-briefly-evacuated-by-airspace-violation/
neutral,Nikki ... Smith,https://dailycaller.com/2011/01/01/nikki-haley-denies-oprah-interview-with-convicted-murderer-susan-smith/
neutral,Chris ... World,https://dailycaller.com/2011/01/01/chris-christie-says-he-was-away-from-new-jersey-during-blizzard-because-he-promised-his-children-a-trip-to-disney-world/
disgust,Pope ... Christians,https://dailycaller.com/2011/01/01/pope-denounces-abuses-against-christians/
sadness,TheDC ... year,https://dailycaller.com/2011/01/01/thedc-analysis-why-i%e2%80%99m-not-renewing-my-spj-membership-next-year/
neutral,DNC ... nil’,https://dailycaller.com/2011/01/02/dnc-chairman-likelihood-of-obama-primary-challenge-virtually-nil/
anger,Iran ... Gulf,https://dailycaller.com/2011/01/02/iran-says-it-shot-down-two-spy-planes-in-gulf/
neutral,Obama ... ceiling,https://dailycaller.com/2011/01/02/obama-aide-dont-play-chicken-with-debt-ceiling/
disgust,Navy ... carrier,https://dailycaller.com/2011/01/02/us-navy-to-probe-lewd-videos-shown-to-carrier-crew/
neutral,Top ... repeal,https://dailycaller.com/2011/01/02/top-house-republican-predicts-significant-bipartisan-support-for-health-care-law-repeal/
neutral,Healthcare ... [VIDEO],https://dailycaller.com/2011/01/02/healthcare-discussed-video/
neutral,Discussion ... [VIDEO],https://dailycaller.com/2011/01/02/discussion-on-climate-change-video/
disgust,GOPer ... ‘corrupt’,https://dailycaller.com/2011/01/02/goper-calls-obama-administration-%e2%80%98corrupt%e2%80%99/
neutral,Andrew ... account,https://dailycaller.com/2011/01/02/andrew-cuomos-official-website-links-to-parody-twitter-account/
fear,Thousands ... Arkansas,https://dailycaller.com/2011/01/02/thousands-of-birds-fall-from-the-sky-in-arkansas/
joy,Why ... chairman,https://dailycaller.com/2011/01/02/why-im-running-for-rnc-chairman/
sadness,Rock ... conservatism,https://dailycaller.com/2011/01/02/rock-and-roll-suicide-how-allan-bloom-killed-conservatism/
sadness,Gentry ... race,https://dailycaller.com/2011/01/02/gentry-collins-drops-out-of-rnc-chairmanship-race/
sadness,Collins ... race,https://dailycaller.com/2011/01/02/collins-drops-out-of-rnc-race/
neutral,Get ... gas,https://dailycaller.com/2011/01/02/get-ready-for-4-00-gas/
neutral,Senate ... threshold,https://dailycaller.com/2011/01/02/senate-democrats-shouldnt-lower-filibuster-threshold/
neutral,NRO ... Obama,https://dailycaller.com/2011/01/02/nro-new-revised-obama/
neutral,The ... drops,https://dailycaller.com/2011/01/02/the-baby-boomers-medicare-ball-drops/
fear,Magnitude-7.1 ... Chile,https://dailycaller.com/2011/01/02/magnitude-7-1-quake-shakes-southern-chile/
neutral,"Money, ... 2011",https://dailycaller.com/2011/01/02/money-power-greed-a-look-ahead-at-2011/
neutral,Graham: ... candidates,https://dailycaller.com/2011/01/02/graham-romney-leads-possible-2012-gop-candidates-washington-times/
neutral,Alfred ... hero,https://dailycaller.com/2011/01/02/alfred-kahn-was-a-true-american-hero/
sadness,iPhone ... work,https://dailycaller.com/2011/01/02/iphone-alarm-glitch-on-new-years-causes-many-to-oversleep-miss-work/
disgust,ESPN ... ‘asshole’,https://dailycaller.com/2011/01/02/espn-announce-ron-franklin-calls-female-reporter-jeannine-edwards-sweetcakes-asshole/
sadness,Official: ... show,https://dailycaller.com/2011/01/02/official-chuck-berry-felt-ill-before-chicago-show-2/
neutral,Retro ... [SLIDESHOW],https://dailycaller.com/2011/01/02/retro-cheerleaders-at-their-best-slideshow/
neutral,6 ... Redrado,https://dailycaller.com/2011/01/02/6-questions-with-no-reserve-author-martin-redrado/
neutral,House ... law,https://dailycaller.com/2011/01/03/house-gop-sets-up-vote-on-repeal-of-health-care-law/
disgust,A ... nurse,https://dailycaller.com/2011/01/03/a-doctor-is-a-doctor-is-a-nurse/
fear,Dramatic ... forecast,https://dailycaller.com/2011/01/03/dramatic-spike-in-gas-prices-forecast/
disgust,‘Abstinent’ ... STDs,https://dailycaller.com/2011/01/03/abstinent-teens-test-positive-for-stds/
fear,Severed ... Mexico,https://dailycaller.com/2011/01/03/severed-head-hung-from-bridge-in-tijuana-mexico/
neutral,Is ... Venezuela?,https://dailycaller.com/2011/01/03/is-there-an-iranian-missile-base-in-venezuela/
neutral,Average ... 18,https://dailycaller.com/2011/01/03/average-child-may-get-7-radiation-scans-by-age-18/
neutral,Obama ... post,https://dailycaller.com/2011/01/03/obama-said-to-consider-william-daley-for-top-white-house-post/
neutral,Supply-Side ... Obama?,https://dailycaller.com/2011/01/03/supply-side-obama/
fear,Long ... communion,https://dailycaller.com/2011/01/03/long-island-officials-cite-hepatitis-a-risk-from-communion/
neutral,Cuomo ... times,https://dailycaller.com/2011/01/03/cuomo-cuts-his-salary-by-5-percent-in-tough-times/
neutral,RNC ... debate,https://dailycaller.com/2011/01/03/rnc-chairman-candidates-reach-out-to-tea-party-during-daily-caller-sponsored-debate/
fear,The ... Post,https://dailycaller.com/2011/01/03/the-new-york-times-not-so-obvious-war-against-the-washington-post/
neutral,"Cellphones, ... prisons",https://dailycaller.com/2011/01/03/cellphones-though-banned-thrive-in-u-s-prisons/
neutral,Wall ... surge,https://dailycaller.com/2011/01/03/wall-street-starts-new-year-with-a-surge/
neutral,Cummings ... House,https://dailycaller.com/2011/01/03/cummings-wants-agreement-between-issa-and-white-house/
anger,Woman ... page,https://dailycaller.com/2011/01/03/woman-stabs-boyfriend-when-he-wouldnt-let-her-see-his-facebook-page/
disgust,Massive ... River,https://dailycaller.com/2011/01/03/massive-fish-kill-blankets-arkansas-river/
neutral,Japanese ... quit,https://dailycaller.com/2011/01/03/japanese-tax-on-cigarettes-increases-demand-for-drug-to-help-smokers-quit/
neutral,Here’s ... there,https://dailycaller.com/2011/01/03/heres-one-for-all-you-michael-vick-apologists-out-there/
disgust,Cops: ... landfill,https://dailycaller.com/2011/01/03/cops-former-bush-aide-murdered-found-in-landfill/
disgust,Former ... landfill,https://dailycaller.com/2011/01/03/former-us-officials-body-found-in-del-landfill-2/
anger,Fox ... campaign?,https://dailycaller.com/2011/01/03/fox-business-network-tv-spot-a-jab-at-msnbcs-lean-forward-campaign/
neutral,Snapshots ... [SLIDESHOW],https://dailycaller.com/2011/01/03/snapshots-from-the-rnc-debate-slideshow/
fear,The ... merger,https://dailycaller.com/2011/01/03/the-fcc-risks-over-conditioning-the-comcast-nbcu-merger/
neutral,Obama: ... ceiling,https://dailycaller.com/2011/01/03/obama-not-always-a-fan-of-upping-debt-ceiling/
sadness,Fla. ... massager,https://dailycaller.com/2011/01/03/fla-woman-killed-by-her-mechanical-neck-massager/
