emotion,headline,url
neutral,Don't ... war,https://www.dailymail.co.uk/money/news/article-1560320/Dont-mention-the-sunbed-war.html
neutral,Airbus ... dogfight,https://www.dailymail.co.uk/money/news/article-1560321/Airbus-takes-off-for-jumbo-dogfight.html
neutral,End ... Dome,https://www.dailymail.co.uk/money/news/article-1560323/End-of-the-line-for-the-Dome.html
neutral,The ... touch,https://www.dailymail.co.uk/money/saving/article-1560318/The-gentle-touch.html
neutral,Play ... safe,https://www.dailymail.co.uk/money/saving/article-1560319/Play-it-safe.html
neutral,Stormy ... course,https://www.dailymail.co.uk/money/news/article-1560322/Stormy-year-blows-pundits-off-course.html
sadness,The ... setbacks,https://www.dailymail.co.uk/money/news/article-1560344/The-Evening-Standard-writer-on-why-Asias-politicians-must-share-the-blame-for-market-setbacks.html
surprise,Rolls-Royce ... sell-offs,https://www.dailymail.co.uk/money/news/article-1560353/Rolls-Royce-in-16374m-sell-offs.html
neutral,Green ... BioMedica,https://www.dailymail.co.uk/money/news/article-1560355/Green-light-for-Oxford-BioMedica.html
fear,US ... Britain,https://www.dailymail.co.uk/money/news/article-1560345/US-slump-fears-cloud-Britain.html
neutral,The ... losers,https://www.dailymail.co.uk/money/investing/article-1560348/The-Daily-Mail-market-reporter-takes-stock-of-the-years-winners-and-losers.html
neutral,Benjy's ... branches,https://www.dailymail.co.uk/money/news/article-1560340/Benjys-plans-100-new-branches.html
neutral,For ... Accenture,https://www.dailymail.co.uk/money/news/article-1560336/For-Andersen-read-Accenture.html
joy,London ... sparkle,https://www.dailymail.co.uk/money/news/article-1560359/London-house-prices-fail-to-sparkle.html
sadness,Labour ... sell-off,https://www.dailymail.co.uk/money/news/article-1560335/Labour-delays-Dome-sell-off.html
neutral,Regalian ... deal,https://www.dailymail.co.uk/money/news/article-1560333/Regalian-clinches-16369m-deal.html
joy,Solutions ... buy,https://www.dailymail.co.uk/money/news/article-1560352/Solutions-makes-16338m-spot-buy.html
sadness,I've ... Widows,https://www.dailymail.co.uk/money/experts/article-1560360/Ive-lost-faith-in-Widows.html
neutral,Life ... Equitable,https://www.dailymail.co.uk/money/experts/article-1560362/Life-after-Equitable.html
sadness,Computer ... £20m,https://www.dailymail.co.uk/money/news/article-1560358/Computer-group-slumps-16320m.html
neutral,Rum ... Morgan,https://www.dailymail.co.uk/money/news/article-1560327/Rum-do-over-Captain-Morgan.html
neutral,Should ... taxman?,https://www.dailymail.co.uk/money/experts/article-1560367/Should-we-tell-the-taxman.html
neutral,Do ... exist?,https://www.dailymail.co.uk/money/experts/article-1560369/Do-independent-IFAs-really-exist.html
joy,Sheerness ... cheer,https://www.dailymail.co.uk/money/news/article-1560370/Sheerness-jobs-cheer.html
neutral,Escaping ... trap,https://www.dailymail.co.uk/money/experts/article-1560373/Escaping-the-endowment-trap.html
neutral,Pension ... sea,https://www.dailymail.co.uk/money/experts/article-1560375/Pension-by-the-sea.html
fear,Regulator ... Railtrack,https://www.dailymail.co.uk/money/news/article-1560381/Regulator-warns-Railtrack.html
joy,A ... online,https://www.dailymail.co.uk/money/news/article-1560376/A-very-merry-Christmas-online.html
neutral,Mutuals ... mortgages,https://www.dailymail.co.uk/money/mortgageshome/article-1560379/Mutuals-best-for-cheaper-mortgages.html
sadness,New ... shipyard,https://www.dailymail.co.uk/money/news/article-1560377/New-jobs-blow-at-troubled-shipyard.html
surprise,Is ... turn-on?,https://www.dailymail.co.uk/money/experts/article-1560366/Is-Scottish-Power-still-a-turn-on.html
joy,Happy ... euro,https://www.dailymail.co.uk/money/news/article-1560332/Happy-birthday-for-the-euro.html
sadness,Can ... dividends,https://www.dailymail.co.uk/money/experts/article-1560368/Can-I-dodge-tax-on-dividends.html
neutral,Baby ... bouncers,https://www.dailymail.co.uk/money/experts/article-1560364/Baby-bouncers.html
neutral,ISA ... teaser,https://www.dailymail.co.uk/money/experts/article-1560372/ISA-teaser.html
neutral,Beyond ... close,https://www.dailymail.co.uk/money/news/article-1560380/Beyond-the-Footsie-Tues-close.html
neutral,Fuel ... again,https://www.dailymail.co.uk/money/news/article-1560378/Fuel-prices-coming-down-again.html
fear,Wall ... start,https://www.dailymail.co.uk/money/news/article-1560328/Wall-Street-set-for-shaky-start.html
fear,Bombings ... shares,https://www.dailymail.co.uk/money/news/article-1560331/Bombings-hit-Manila-shares.html
sadness,Microchip ... slow,https://www.dailymail.co.uk/money/news/article-1560374/Microchip-sales-to-slow.html
neutral,Premium ... build,https://www.dailymail.co.uk/money/experts/article-1560371/Premium-build.html
neutral,Banks ... machines,https://www.dailymail.co.uk/money/news/article-1560325/Banks-give-in-on-cash-machines.html
neutral,Time ... jobs,https://www.dailymail.co.uk/money/news/article-1560324/Time-gentlemen-for-more-jobs.html
disgust,Soros ... ahead,https://www.dailymail.co.uk/money/news/article-1560326/Soros-sees-nasty-bump-ahead.html
neutral,Aegon ... arm,https://www.dailymail.co.uk/money/news/article-1560330/Aegon-sights-on-Equitable-arm.html
fear,Steel ... threat,https://www.dailymail.co.uk/money/news/article-1560338/Steel-group-faces-strike-threat.html
neutral,Motor ... up,https://www.dailymail.co.uk/money/news/article-1560329/Motor-trade-poised-to-gear-up.html
neutral,New ... work,https://www.dailymail.co.uk/money/news/article-1560342/New-Deal-puts-500000-in-work.html
neutral,French ... week,https://www.dailymail.co.uk/money/news/article-1560339/French-start-35-hour-week.html
neutral,"Where ... £20,000?",https://www.dailymail.co.uk/money/experts/article-1560361/Where-can-I-park-16320000.html
neutral,EasyJet ... chaos,https://www.dailymail.co.uk/money/news/article-1560357/EasyJet-shrugs-off-flight-chaos.html
sadness,LetsBuyit ... 69%,https://www.dailymail.co.uk/money/news/article-1560350/LetsBuyit-shares-plunge-69.html
fear,Warning ... defaults,https://www.dailymail.co.uk/money/news/article-1560349/Warning-of-more-bond-defaults.html
neutral,B&B ... options,https://www.dailymail.co.uk/money/experts/article-1560363/BB-tax-free-options.html
fear,Boardroom ... Manganese,https://www.dailymail.co.uk/money/news/article-1560347/Boardroom-shake-up-at-Manganese.html
sadness,Not ... Signet?,https://www.dailymail.co.uk/money/news/article-1560343/Not-so-merry-Christmas-for-Signet.html
neutral,The ... woes,https://www.dailymail.co.uk/money/news/article-1560341/The-Evening-Standard-City-Editor-on-handy-pointers-to-venture-capital-woes.html
neutral,£8m ... 4imprint,https://www.dailymail.co.uk/money/news/article-1560346/1638m-US-buy-for-4imprint.html
neutral,Historical ... stocks,https://www.dailymail.co.uk/money/experts/article-1560365/Historical-stocks.html
neutral,AOL ... spree,https://www.dailymail.co.uk/money/news/article-1560382/AOL-sees-spending-spree.html
sadness,Axa ... delayed,https://www.dailymail.co.uk/money/saving/article-1560427/Axa-windfall-payments-delayed.html
neutral,Market ... close,https://www.dailymail.co.uk/money/investing/article-1560394/Market-report-Weds-close.html
neutral,Buffett ... league,https://www.dailymail.co.uk/money/news/article-1560383/Buffett-tops-the-rich-league.html
neutral,Byers ... bid,https://www.dailymail.co.uk/money/news/article-1560385/Byers-to-rule-on-Bass-bid.html
neutral,Airbus ... island,https://www.dailymail.co.uk/money/news/article-1560386/Airbus-airport-for-Severn-island.html
neutral,Bank ... merger,https://www.dailymail.co.uk/money/news/article-1560390/Bank-duo-keep-mum-on-merger.html
fear,Warming ... Street,https://www.dailymail.co.uk/money/news/article-1560389/Warming-up-on-the-High-Street.html
neutral,Germans ... glory,https://www.dailymail.co.uk/money/news/article-1560388/Germans-scoop-pensions-glory.html
neutral,Ryanair ... deal,https://www.dailymail.co.uk/money/news/article-1560410/Ryanair-pilots-agree-five-year-deal.html
neutral,Alstom ... deal,https://www.dailymail.co.uk/money/news/article-1560409/Alstom-clinches-Portugese-deal.html
fear,Meggitt ... boardroom,https://www.dailymail.co.uk/money/news/article-1560407/Meggitt-shakes-up-its-boardroom.html
neutral,"Passport, ... tickets…insurance?",https://www.dailymail.co.uk/money/mortgageshome/article-1560406/Passport-tickets8230insurance.html
neutral,EMI ... merger,https://www.dailymail.co.uk/money/news/article-1560411/EMI-plays-down-push-for-merger.html
neutral,Ferrari ... float,https://www.dailymail.co.uk/money/news/article-1560412/Ferrari-may-take-road-to-a-float.html
neutral,Jessops ... picture,https://www.dailymail.co.uk/money/news/article-1560418/Jessops-sees-a-brighter-picture.html
neutral,LibertySurf ... talks,https://www.dailymail.co.uk/money/news/article-1560429/LibertySurf-in-partnership-talks.html
neutral,Americans ... stake,https://www.dailymail.co.uk/money/news/article-1560414/Americans-to-offload-rail-stake.html
sadness,Mac ... banking,https://www.dailymail.co.uk/money/news/article-1560403/Mac-Hale-could-quit-banking.html
neutral,Fed ... rates,https://www.dailymail.co.uk/money/news/article-1560426/Fed-cuts-US-interest-rates.html
joy,Asda ... jobs,https://www.dailymail.co.uk/money/news/article-1560395/Asda-announces-5000-new-jobs.html
neutral,From ... footie,https://www.dailymail.co.uk/money/news/article-1560420/From-the-Footsie-to-the-footie.html
neutral,Warner ... portfolio,https://www.dailymail.co.uk/money/news/article-1560423/Warner-Estates-buys-16341m-portfolio.html
neutral,Deals ... wheels,https://www.dailymail.co.uk/money/bills/article-1560354/Deals-on-wheels.html
neutral,'It's ... ride',https://www.dailymail.co.uk/money/saving/article-1560356/Its-going-to-be-a-helterskelter-ride.html
