emotion,headline,url
fear,Obama ... Owners,https://www.dailywire.com/news/obama-threatens-ignore-congress-pursue-gun-owners-hank-berrien/
neutral,This ... How.,https://www.dailywire.com/news/man-stopped-three-men-breaking-his-home-heres-how-aaron-bandler/
anger,Trump ... Right?,https://www.dailywire.com/news/trump-slams-sanders-tax-plan-sanders-calls-trump-aaron-bandler/
fear,Upstate ... Foiled,https://www.dailywire.com/news/upstate-ny-new-years-eve-terror-plot-foiled-amanda-prestigiacomo/
surprise,Barack ... Funny.,https://www.dailywire.com/news/barack-obama-just-rode-car-jerry-seinfeld-it-was-chase-stephens/
anger,Calls ... Chicago,https://www.dailywire.com/news/calls-grow-rahm-emanuels-ouster-chicago-aaron-bandler/
neutral,Here’s ... Deathbed,https://www.dailywire.com/news/heres-what-obama-says-hell-be-thinking-about-his-amanda-prestigiacomo/
neutral,Did ... Brother-In-Law?,https://www.dailywire.com/news/did-marco-rubio-use-his-power-help-his-scuzzbag-aaron-bandler/
neutral,Congressional ... Deal,https://www.dailywire.com/news/congressional-democrats-think-obama-spying-them-michael-qazvini/
fear,Islamist ... Supremacy’,https://www.dailywire.com/news/isis-propaganda-video-endorses-blacklivesmatter-robert-kraychik/
anger,#CNNRepublicans: ... Hillary,https://www.dailywire.com/news/cnnrepublicans-clintons-personal-issues-not-fair-robert-kraychik/
disgust,Whittle: ... Narcissists’,https://www.dailywire.com/news/whittle-obama-and-hillary-thin-skinned-incompetent-chase-stephens/
disgust,Founder ... Apologizes,https://www.dailywire.com/news/founder-radical-pro-abortion-topless-feminist-amanda-prestigiacomo/
surprise,Obama ... Year?,https://www.dailywire.com/news/obama-did-what-55-times-year-chase-stephens/
joy,Fareed ... America,https://www.dailywire.com/news/fareed-zakaria-cheers-decline-white-america-robert-kraychik/
neutral,Five ... Address,https://www.dailywire.com/news/five-things-marco-rubio-said-during-his-big-robert-kraychik/
neutral,Poll: ... Warming),https://www.dailywire.com/news/poll-guess-what-americans-say-their-biggest-aaron-bandler/
neutral,Why ... America.,https://www.dailywire.com/news/why-does-isis-use-trump-its-videos-because-they-ben-shapiro/
neutral,Former ... Hillary,https://www.dailywire.com/news/former-clinton-staffer-bills-bimbo-eruptions-big-james-barrett/
neutral,MSNBC ... Crawl’,https://www.dailywire.com/news/msnbc-host-admits-trump-makes-our-skin-crawl-amanda-prestigiacomo/
disgust,This ... Home,https://www.dailywire.com/news/armed-intruder-messed-wrong-florida-home-chase-stephens/
neutral,Sanders ... AGAIN,https://www.dailywire.com/news/sanders-comes-hillarys-rescue-again-james-barrett/
disgust,Leftists ... Kindergarteners,https://www.dailywire.com/news/leftists-now-endorsing-drag-shows-targeted-amanda-prestigiacomo/
neutral,Here ... Family,https://www.dailywire.com/news/here-are-five-reasons-you-should-side-hammond-ben-shapiro/
neutral,EXCLUSIVE: ... Obama,https://www.dailywire.com/news/exclusive-mi-rnc-committeeman-introduce-aaron-bandler/
neutral,Ted ... Control,https://www.dailywire.com/news/ted-cruz-raffling-something-awesome-fight-obamas-hank-berrien/
neutral,Check ... Shapiro,https://www.dailywire.com/news/check-out-rush-limbaughs-six-page-interview-ben-daily-wire/
neutral,Here’s ... Office,https://www.dailywire.com/news/heres-what-just-happened-mexican-mayor-day-after-joshua-yasmeh/
neutral,Sweden’s ... Migrants,https://www.dailywire.com/news/swedens-building-berlin-wall-keep-out-muslim-michael-qazvini/
neutral,WATCH: ... Crowd,https://www.dailywire.com/news/watch-stump-trump-duet-wows-crowd-chase-stephens/
disgust,Hillary ... Liars,https://www.dailywire.com/news/hillary-calls-benghazi-victims-families-liars-hank-berrien/
fear,In ... Conservatives’,https://www.dailywire.com/news/defense-doomsday-conservatives-ben-shapiro/
fear,Saudi ... Imminent?,https://www.dailywire.com/news/saudi-arabia-just-cut-ties-iran-so-did-bahrain-and-joshua-yasmeh/
