emotion,headline,url
neutral,testing-survey ... testing-survey,https://www.thedailybeast.com/testing-survey
neutral,President ... McCullough,https://www.thedailybeast.com/president-barack-obamas-lessons-from-harry-truman-david-mccullough
neutral,Travel ... Smoothly,https://www.thedailybeast.com/travel-tips-how-to-make-your-trip-run-smoothly
neutral,Innovation ... 2011,https://www.thedailybeast.com/innovation-and-technology-predictions-for-2011
neutral,Arnold ... Follows,https://www.thedailybeast.com/arnold-schwarzenegger-leaves-california-governorship-jerry-brown-quietly-follows
neutral,Oprah ... Network,https://www.thedailybeast.com/oprah-winfrey-launches-own-network
sadness,China’s ... Problems,https://www.thedailybeast.com/chinas-economic-growth-and-environmental-problems
joy,Highlights ... 2010,https://www.thedailybeast.com/highlights-of-kathy-griffin-and-anderson-cooper-hosting-new-years-eve-2010
fear,Andrew ... Speech,https://www.thedailybeast.com/andrew-cuomos-inauguration-speech
neutral,10 ... 2011,https://www.thedailybeast.com/10-most-effective-diets-for-2011
neutral,Lindsey ... Highlights,https://www.thedailybeast.com/lindsey-graham-on-2012-stephen-carter-on-the-economy-and-more-sunday-talk-highlights
joy,Kirsten ... Road,https://www.thedailybeast.com/kirsten-dunsts-comeback-all-good-things-lars-von-trier-and-on-the-road
fear,Charles ... Obama,https://www.thedailybeast.com/charles-krauthammers-selective-attack-on-president-obama
neutral,Hangover ... Movies,https://www.thedailybeast.com/hangover-part-ii-girl-with-the-dragon-tattoo-more-2011-movies
neutral,Eric ... 2011,https://www.thedailybeast.com/eric-cantor-rahm-emanuel-darrell-issa-more-politicians-to-watch-in-2011
neutral,Most ... 2011,https://www.thedailybeast.com/most-anticipated-books-of-2011
anger,Issa ... Corrupt,https://www.thedailybeast.com/issa-calls-obama-administration-corrupt
fear,Iran's ... Alliance,https://www.thedailybeast.com/irans-nuclear-weapons-could-lead-to-a-saudi-and-pakistan-alliance
neutral,Rep. ... Sunday,https://www.thedailybeast.com/rep-allen-west-on-fox-news-sunday
fear,Egypt’s ... Responsible?,https://www.thedailybeast.com/egypts-church-bombing-was-al-qaeda-responsible
neutral,McLaughlin ... Stars,https://www.thedailybeast.com/mclaughlin-group-on-2011-political-stars
neutral,Ed ... Sources,https://www.thedailybeast.com/ed-henry-talks-about-hawaii-on-reliable-sources
neutral,Lindsey ... Press,https://www.thedailybeast.com/lindsey-graham-talks-lame-duck-policies-on-meet-the-press
neutral,Leslie ... Policy,https://www.thedailybeast.com/leslie-h-gelb-on-the-late-richard-holbrookes-contributions-to-foreign-policy
neutral,Stephen ... Press,https://www.thedailybeast.com/stephen-carter-on-meet-the-press
neutral,Smarter ... 2011,https://www.thedailybeast.com/smarter-in-2011
disgust,Anthony ... Nation,https://www.thedailybeast.com/anthony-weiner-on-face-the-nation
neutral,Midseason ... Preview,https://www.thedailybeast.com/midseason-tv-preview
neutral,Jerry ... California,https://www.thedailybeast.com/jerry-brown-sworn-in-as-governor-of-california
neutral,Animal ... Mysteries,https://www.thedailybeast.com/animal-mysteries
neutral,Civil ... Coast,https://www.thedailybeast.com/civil-war-looms-in-ivory-coast
neutral,Afghan ... Mask',https://www.thedailybeast.com/afghan-women-behind-the-mask
neutral,Deja ... Bachelor',https://www.thedailybeast.com/deja-vu-on-the-bachelor
neutral,George ... Week,https://www.thedailybeast.com/george-clooney-talks-about-omar-al-bashir-on-this-week
joy,Panda ... America,https://www.thedailybeast.com/panda-cow-on-good-morning-america
neutral,30 ... Honolulu,https://www.thedailybeast.com/30-cities-with-worst-smoking-problems-from-memphis-to-honolulu
surprise,Facebook's ... IPO,https://www.thedailybeast.com/facebooks-dollar50-billion-goldman-goldmine-dont-expect-an-ipo
neutral,John ... Power,https://www.thedailybeast.com/john-boehner-tea-party-obama-to-test-new-speakers-power
neutral,Obama's ... FDR's?,https://www.thedailybeast.com/obamas-building-boom-will-his-architecture-legacy-be-as-lasting-as-fdrs
neutral,The ... Rangel,https://www.thedailybeast.com/the-gops-charlie-rangel
neutral,Dancer ... Dance',https://www.thedailybeast.com/dancer-falls-on-live-to-dance
neutral,112th ... Republicans,https://www.thedailybeast.com/112th-congress-a-guide-from-health-care-repeal-to-younger-republicans
neutral,Interview: ... Ledger,https://www.thedailybeast.com/interview-michelle-williams-on-blue-valentine-oscars-and-heath-ledger
sadness,Low ... Falling,https://www.thedailybeast.com/low-sperm-count-why-male-fertility-is-falling
neutral,Jersey ... Vinny,https://www.thedailybeast.com/jersey-shore-catch-up-vinny
neutral,John ... Run,https://www.thedailybeast.com/john-bolton-interview-former-ambassador-mulls-presidential-run
neutral,Iranian ... Family,https://www.thedailybeast.com/iranian-royal-family
sadness,Punjab ... Leader,https://www.thedailybeast.com/punjab-governor-salmaan-taseer-mourning-pakistans-slain-leader
neutral,Rahm ... Campaign,https://www.thedailybeast.com/rahm-emanuel-and-the-politics-of-race-in-chicagos-mayoral-campaign
neutral,Jersey ... Situation,https://www.thedailybeast.com/jersey-shore-catch-up-situation
neutral,Allen ... Books,https://www.thedailybeast.com/allen-shawn-robert-crais-and-other-new-books
neutral,Jersey ... D,https://www.thedailybeast.com/jersey-shore-catch-up-pauly-d
neutral,'Downton ... PBS,https://www.thedailybeast.com/downton-abbey-created-by-julian-fellowes-comes-to-masterpiece-on-pbs
neutral,New ... Caveman,https://www.thedailybeast.com/new-evolution-diet-insulin-and-obesity-how-to-eat-like-a-caveman
neutral,Jersey ... Sammi,https://www.thedailybeast.com/jersey-shore-catch-up-ronnie-and-sammi
joy,Snooki's ... Lingo,https://www.thedailybeast.com/snookis-book-a-shore-thing-and-jersey-shore-lingo
sadness,John ... Landfill,https://www.thedailybeast.com/john-p-wheeler-iii-official-of-george-w-bush-administration-found-murdered-in-delaware-landfill
neutral,Tea ... Stand,https://www.thedailybeast.com/tea-party-foreign-policy-where-they-stand
sadness,Hugh ... Ex-Girlfriend,https://www.thedailybeast.com/hugh-hefner-newly-engaged-responds-to-complaints-from-ex-girlfriend
neutral,Zombie ... Fashion,https://www.thedailybeast.com/zombie-fashion
sadness,Character ... Dead,https://www.thedailybeast.com/character-actor-bill-erwin-dead
neutral,Jersey ... Snooki,https://www.thedailybeast.com/jersey-shore-catch-up-snooki
neutral,Jersey ... Deena,https://www.thedailybeast.com/jersey-shore-catch-up-deena
neutral,Jersey ... Jwoww,https://www.thedailybeast.com/jersey-shore-catch-up-jwoww
sadness,Injured ... GMA,https://www.thedailybeast.com/injured-spider-man-actor-speaks-on-gma
neutral,'Real ... It,https://www.thedailybeast.com/real-housewives-why-teens-love-it
sadness,Paul ... Career,https://www.thedailybeast.com/paul-volckers-resignation-volcker-rule-is-a-sad-end-to-a-brilliant-career
neutral,Robin ... Reviews,https://www.thedailybeast.com/robin-lane-fox-angus-trimble-and-other-tls-reviews
neutral,Michael ... List,https://www.thedailybeast.com/michael-steeles-fate-and-the-republican-partys-2012-punch-list
joy,20 ... slices,https://www.thedailybeast.com/20-healthiest-food-food-items-from-mcdonalds-hamburgers-to-pizza-hut-slices
sadness,Robert ... Exit,https://www.thedailybeast.com/robert-gibbs-resigns-behind-the-white-house-press-secretarys-exit
fear,The ... Disaster,https://www.thedailybeast.com/the-nfls-brett-favre-disaster
neutral,Men ... Crisis,https://www.thedailybeast.com/men-of-a-certain-age-breaking-bad-hung-tvs-midlife-crisis
neutral,"Snooki, ... Premiere",https://www.thedailybeast.com/snooki-pauly-d-deena-and-more-on-jersey-shore-season-3-premiere
neutral,People's ... Awards,https://www.thedailybeast.com/peoples-choice-awards
sadness,John ... Speaker,https://www.thedailybeast.com/john-boehners-10-siblings-hit-washington-for-his-swearing-in-as-speaker
neutral,Robert ... Moments,https://www.thedailybeast.com/robert-gibbs-leaving-white-house-watch-video-of-his-best-moments
sadness,Prince ... Dynasty,https://www.thedailybeast.com/prince-ali-reza-pahlavi-suicide-tragic-end-to-irans-dynasty
neutral,Tea ... News,https://www.thedailybeast.com/tea-party-congress-people-on-world-news
joy,Ben ... Heat,https://www.thedailybeast.com/ben-affleck-my-11-favorite-heist-movies-from-inception-to-heat
joy,Paula ... Comeback,https://www.thedailybeast.com/paula-abduls-live-to-dance-her-comeback
sadness,Ali-Reza ... Family,https://www.thedailybeast.com/ali-reza-pahlavis-death-and-the-tragedy-of-irans-royal-family
neutral,Carole ... Racism,https://www.thedailybeast.com/carole-simpsons-network-battle-scars-an-anchors-fight-against-racism
neutral,Roseanne ... 'GMA',https://www.thedailybeast.com/roseanne-barr-talks-nut-farming-on-gma
neutral,Healthiest ... Food,https://www.thedailybeast.com/healthiest-fast-food
neutral,Chicken ... Recipe,https://www.thedailybeast.com/chicken-liver-pate-a-life-long-obsession-and-recipe
neutral,Liberals ... Filibuster,https://www.thedailybeast.com/liberals-havent-always-opposed-the-filibuster
neutral,Obama’s ... 2011,https://www.thedailybeast.com/obamas-state-of-the-union-2011
neutral,Unlikely ... Matches,https://www.thedailybeast.com/unlikely-courtside-matches
neutral,Blizzard ... Newark,https://www.thedailybeast.com/blizzard-stranded-james-atlas-in-newark
disgust,Lifetime's ... Prostitutes,https://www.thedailybeast.com/lifetimes-the-craigslist-killer-misrepresents-prostitutes
fear,Anonymous ... Author,https://www.thedailybeast.com/anonymous-obama-administration-novel-spurs-speculation-about-author
sadness,Notre ... Aftermath,https://www.thedailybeast.com/notre-dames-shameful-scandal-lizzy-seeberg-suicide-aftermath
disgust,Navy ... McCain,https://www.thedailybeast.com/navy-captains-homophobic-videos-show-us-militarys-problem-says-meghan-mccain
neutral,Stephen ... Afghanistan,https://www.thedailybeast.com/stephen-carter-the-violence-of-peace-excerpt-on-obamas-war-in-afghanistan
neutral,Gwyneth ... Carpetbagger,https://www.thedailybeast.com/gwyneth-paltrow-country-strong-and-the-rise-of-the-country-carpetbagger
neutral,Showtime's ... Nevins,https://www.thedailybeast.com/showtimes-new-mastermind-david-nevins
neutral,Boehner ... News,https://www.thedailybeast.com/boehner-talks-birthers-on-nightly-news
sadness,Why ... Cry?,https://www.thedailybeast.com/why-do-people-cry
neutral,Masterpiece: ... Wooster,https://www.thedailybeast.com/masterpiece-jeeves-and-wooster
disgust,Jon ... Crankiness,https://www.thedailybeast.com/jon-stewart-dissects-john-mccains-crankiness
neutral,Masterpiece: ... Downstairs,https://www.thedailybeast.com/masterpiece-upstairs-downstairs
neutral,John ... More,https://www.thedailybeast.com/john-boehners-gop-headaches-ron-paul-michele-bachmann-more
neutral,Tom ... Challenge,https://www.thedailybeast.com/tom-colicchio-cooks-in-top-chef-quickfire-challenge
neutral,Ted ... 'Today',https://www.thedailybeast.com/ted-williams-on-today
sadness,Michele ... Care,https://www.thedailybeast.com/michele-bachmann-vows-to-repeal-health-care
neutral,WILL ... PAINTINGS,https://www.thedailybeast.com/will-cottons-new-paintings
neutral,Divine ... Dishes,https://www.thedailybeast.com/divine-apple-dishes
joy,Bill ... Moments,https://www.thedailybeast.com/bill-murrays-wackiest-moments
fear,Andrej ... Pejic,https://www.thedailybeast.com/andrej-pejic
disgust,Masterpiece: ... Traffik,https://www.thedailybeast.com/masterpiece-traffik
neutral,Bill ... Staff,https://www.thedailybeast.com/bill-daley-named-white-house-chief-of-staff
neutral,Shanghai ... See,https://www.thedailybeast.com/shanghai-travel-guide-what-to-see
joy,Ted ... Videos,https://www.thedailybeast.com/ted-williams-homeless-uss-enterprise-panda-cow-more-viral-videos
neutral,Defense ... Cuts,https://www.thedailybeast.com/defense-spending-why-the-us-shouldnt-rush-to-make-cuts
neutral,Marissa ... Strategy,https://www.thedailybeast.com/marissa-mayer-and-googles-local-search-strategy
neutral,Longform ... Reads,https://www.thedailybeast.com/longform-journalism-best-weekend-reads
neutral,Homeland ... Airports,https://www.thedailybeast.com/homeland-security-dept-to-extend-body-scans-beyond-airports
joy,David ... House,https://www.thedailybeast.com/david-plouffe-obamas-whiz-kid-returns-to-the-white-house
sadness,Ted ... Voice,https://www.thedailybeast.com/ted-williams-my-time-with-the-homeless-man-with-the-golden-voice
neutral,Ryan ... 'Ellen',https://www.thedailybeast.com/ryan-gosling-wears-a-onesie-on-ellen
neutral,Country ... Picks,https://www.thedailybeast.com/country-strong-downton-abbey-and-more-culture-picks
neutral,Bernie ... Bail,https://www.thedailybeast.com/bernie-madoffs-secretary-annete-bongiorno-out-on-bail
neutral,Brian ... 'Today',https://www.thedailybeast.com/brian-williams-talks-bloomberg-obesity-on-today
neutral,Fight ... Shore',https://www.thedailybeast.com/fight-starts-on-jersey-shore
neutral,Jim ... Fallon',https://www.thedailybeast.com/jim-carrey-runs-on-a-treadmill-on-late-night-with-jimmy-fallon
neutral,William ... Campaign,https://www.thedailybeast.com/william-daley-obama-needs-him-for-2012-reelection-campaign
neutral,Sudan ... Truth,https://www.thedailybeast.com/sudan-elections-the-moment-of-truth
disgust,Goldman's ... Mortgages,https://www.thedailybeast.com/goldmans-facebook-deal-is-worse-than-toxic-mortgages
neutral,Are ... Married?,https://www.thedailybeast.com/are-john-edwards-and-rielle-hunter-getting-married
joy,Bill ... Moments,https://www.thedailybeast.com/bill-murray-crashes-karaoke-and-more-crazy-moments
neutral,'Real ... Party,https://www.thedailybeast.com/real-housewives-of-beverly-hills-make-peace-at-the-white-party
anger,Gabrielle ... Palin,https://www.thedailybeast.com/gabrielle-giffords-shooting-dont-blame-sarah-palin
fear,Richard ... Doomed,https://www.thedailybeast.com/richard-holbrookes-successor-frank-ruggiero-is-doomed
sadness,Rabbi ... Dream,https://www.thedailybeast.com/rabbi-sherre-hirsch-coping-with-the-death-of-the-american-dream
neutral,Gabrielle ... More,https://www.thedailybeast.com/gabrielle-giffords-gunman-myspace-page-youtube-and-more
disgust,Sheriff ... Rhetoric,https://www.thedailybeast.com/sheriff-dupnik-condemns-rhetoric
fear,Jared ... Shooter,https://www.thedailybeast.com/jared-lee-loughner-details-on-gabrielle-giffords-alleged-shooter
surprise,Jeb ... 2012?,https://www.thedailybeast.com/jeb-bush-for-president-in-2016-and-michele-bachmann-in-2012
neutral,11 ... Beaches,https://www.thedailybeast.com/11-best-secret-beaches
fear,Sheriff ... Shooting,https://www.thedailybeast.com/sheriff-addresses-giffords-shooting
neutral,Gabrielle ... Shot,https://www.thedailybeast.com/gabrielle-giffords-arizona-congresswoman-shot
neutral,Gabrielle ... Photos,https://www.thedailybeast.com/gabrielle-giffords-arizona-congresswoman-shot-photos
neutral,A ... It?,https://www.thedailybeast.com/a-new-guide-to-marriage-but-do-we-need-it
neutral,Mila ... Show',https://www.thedailybeast.com/mila-kunis-on-the-late-late-show
surprise,AVN ... Spiegler,https://www.thedailybeast.com/avn-awards-at-porns-biggest-weekend-with-mark-spiegler
neutral,Surgeon ... Health,https://www.thedailybeast.com/surgeon-addresses-giffords-health
neutral,Intern ... Giffords,https://www.thedailybeast.com/intern-daniel-hernandez-talks-about-final-moments-with-giffords
neutral,Smartest ... Teams,https://www.thedailybeast.com/smartest-college-sports-teams
joy,Michelle ... Lunch,https://www.thedailybeast.com/michelle-obama-and-carla-bruni-sarkozys-first-ladies-power-lunch
neutral,The ... Programs,https://www.thedailybeast.com/the-25-smartest-and-dumbest-college-sports-programs
neutral,Southern ... Referendum,https://www.thedailybeast.com/southern-sudans-historic-independence-referendum
neutral,"Masterpiece, ... Greats",https://www.thedailybeast.com/masterpiece-icon-of-pbs-turns-40-downton-abbey-prime-suspect-and-10-other-greats
anger,Gabrielle ... Back,https://www.thedailybeast.com/gabrielle-giffords-shooting-sparks-blame-game-conservatives-push-back
fear,Arizona ... Influence,https://www.thedailybeast.com/arizona-shooting-columnists-debate-palins-influence
neutral,New ... author,https://www.thedailybeast.com/new-orleans-forgotten-slave-revolt-by-dan-rasmussen-american-uprising-author
neutral,Model ... Bender,https://www.thedailybeast.com/model-andrej-pejic-face-of-marc-jacobs-is-fashions-new-gender-bender
sadness,Rick ... Future,https://www.thedailybeast.com/rick-sanchez-on-jon-stewart-being-fired-by-cnn-and-his-future
fear,Arizona ... Speaks,https://www.thedailybeast.com/arizona-shooting-congressman-kent-franks-speaks
neutral,Gabrielle ... Talk,https://www.thedailybeast.com/gabrielle-giffords-arizona-shooting-fallout-and-more-sunday-talk
neutral,Arizona ... Hero,https://www.thedailybeast.com/arizona-shooting-daniel-hernandez-intern-hero
disgust,Arizona ... Rhetoric,https://www.thedailybeast.com/arizona-shooting-dick-durbin-on-toxic-rhetoric
anger,Giffords ... Vote,https://www.thedailybeast.com/giffords-office-vandalized-after-healthcare-vote
joy,Gabrielle ... Kelly,https://www.thedailybeast.com/gabrielle-giffords-marriage-to-astronaut-mark-e-kelly
sadness,Keith ... Palin,https://www.thedailybeast.com/keith-olbermann-responds-to-giffords-shooting-sarah-palin
sadness,Fox ... Victim,https://www.thedailybeast.com/fox-interviews-roxanna-green-mother-of-arizona-shooting-victim
joy,Gabrielle ... Shooting,https://www.thedailybeast.com/gabrielle-giffords-prognosis-hopeful-after-shooting
anger,Gabrielle ... Immigration,https://www.thedailybeast.com/gabrielle-giffords-and-jan-brewer-hatred-ravages-arizona-over-immigration
neutral,The ... Colleges,https://www.thedailybeast.com/the-smartest-and-dumbest-colleges
disgust,John ... Shooting,https://www.thedailybeast.com/john-boehner-condemns-inhuman-arizona-shooting
fear,After ... Siege,https://www.thedailybeast.com/after-giffords-shooting-tea-party-under-siege
fear,Arizona ... Discourse,https://www.thedailybeast.com/arizona-shooting-james-clyburn-on-political-discourse
fear,Arizona ... Speculation,https://www.thedailybeast.com/arizona-shooting-jon-kyl-on-speculation
sadness,Arizona ... More,https://www.thedailybeast.com/arizona-shooting-victims-christina-green-judge-john-roll-and-more
sadness,Poehler ... Heart,https://www.thedailybeast.com/poehler-curator-places-in-my-heart
neutral,Poehler ... Office,https://www.thedailybeast.com/poehler-curator-the-office
neutral,Donald ... President,https://www.thedailybeast.com/donald-trump-is-running-for-president
joy,Gabrielle ... Hope,https://www.thedailybeast.com/gabrielle-giffords-condition-and-latest-signs-of-hope
neutral,Joe ... Back,https://www.thedailybeast.com/joe-scarborough-wants-the-republican-party-back
sadness,Monster ... Son,https://www.thedailybeast.com/monster-of-a-mom-jared-loughner-is-mentally-ill-like-my-son
sadness,Jared ... Punishment,https://www.thedailybeast.com/jared-loughners-mental-health-could-determine-his-punishment
fear,Gabrielle ... Before,https://www.thedailybeast.com/gabrielle-giffords-shooting-the-threats-that-came-before
neutral,Poehler ... Champ,https://www.thedailybeast.com/poehler-curator-the-champ
joy,The ... Solomon,https://www.thedailybeast.com/the-golden-globes-seating-arbiter-judy-solomon
neutral,'The ... PSA,https://www.thedailybeast.com/the-bachelor-kisses-women-in-sexy-psa
disgust,Bill ... (Photos),https://www.thedailybeast.com/bill-daley-to-dick-cheney-best-and-worst-chiefs-staff-photos
sadness,Gabrielle ... Signs,https://www.thedailybeast.com/gabrielle-giffords-shooting-the-missed-warning-signs
neutral,Gabrielle ... Raves,https://www.thedailybeast.com/gabrielle-giffords-shooting-sheriff-clarence-dupniks-probe-wins-liberal-raves
neutral,Report ... 2011,https://www.thedailybeast.com/report-from-ces-whats-hot-in-electronics-for-2011
neutral,After ... Speak,https://www.thedailybeast.com/after-garbrielle-giffords-palins-other-arizona-targets-speak
neutral,Arizona ... That,https://www.thedailybeast.com/arizona-shootings-tell-the-victims-that
neutral,George ... Sudan,https://www.thedailybeast.com/george-clooney-on-obama-dropping-the-ball-in-sudan
fear,Gabrielle ... Spot,https://www.thedailybeast.com/gabrielle-giffords-shooting-proves-the-tea-partys-homegrown-terror-blind-spot
sadness,Bob ... Injury,https://www.thedailybeast.com/bob-woodruff-on-gabrielle-giffords-brain-injury
neutral,Johnny ... 'Today',https://www.thedailybeast.com/johnny-weir-talks-about-coming-out-on-today
disgust,Deadliest ... States,https://www.thedailybeast.com/deadliest-gun-states
neutral,'Sarah ... Mashup,https://www.thedailybeast.com/sarah-palins-alaska-finale-piper-mashup
neutral,Retired ... Shooter,https://www.thedailybeast.com/retired-colonel-describes-wrestling-arizona-shooter
anger,David ... Obama,https://www.thedailybeast.com/david-brock-on-the-right-wing-war-against-obama
sadness,Bad ... Partnerships,https://www.thedailybeast.com/bad-tv-partnerships
neutral,TV ... Reasoner,https://www.thedailybeast.com/tv-partnerships-barbara-walters-and-harry-reasoner
neutral,John ... Security,https://www.thedailybeast.com/john-roll-killing-in-arizona-puts-focus-on-judges-security
neutral,Craziest ... More,https://www.thedailybeast.com/craziest-political-gun-campaign-ads-joe-manchin-pamela-gorman-more
neutral,Marlon ... Franco,https://www.thedailybeast.com/marlon-brandos-lasting-influence-on-ryan-gosling-christian-bale-james-franco
neutral,Obama’s ... Say,https://www.thedailybeast.com/obamas-tucson-memorial-presidential-speechwriters-on-what-he-should-say
fear,Stacy ... Matchmaker',https://www.thedailybeast.com/stacy-kessler-bombs-on-millionaire-matchmaker
