emotion,headline,url
neutral,2007 ... 2,https://www.democracynow.org/2008/1/1/2007_in_review_power_politics_and
fear,Taxi ... Terror”,https://www.democracynow.org/2008/2/1/taxi_to_the_dark_side_oscar
fear,Democratic ... Vote,https://www.democracynow.org/2008/2/1/democratic_presidential_nomination_could_hinge_on
sadness,“Iraq ... Iraq,https://www.democracynow.org/2008/4/1/iraq_has_become_somaliaa_collection_of
anger,EXCLUSIVE…Bush’s ... Story,https://www.democracynow.org/2008/4/1/exclusivebushs_law_eric_lichtblau_on_exposing
anger,Defying ... Ports,https://www.democracynow.org/2008/5/1/defying_employers_anti_war_dockworkers_plan
anger,US ... Raid,https://www.democracynow.org/2008/5/1/us_citizens_lawful_residents_sue_us
fear,May ... Rights,https://www.democracynow.org/2008/5/1/may_day_tens_of_thousands_prepare
fear,Back ... Subversion,https://www.democracynow.org/2008/5/1/back_from_haiti_rev_jesse_jackson
neutral,Amy ... PBS,https://www.democracynow.org/2008/5/1/amy_goodman_in_phoenix_tonight
neutral,Oil ... High,https://www.democracynow.org/2008/7/1/oil_and_gas_drilling_on_public
neutral,Pakistan ... Day,https://www.democracynow.org/2008/7/1/pakistan_military_offensive_in_khyber_region
fear,Colombian ... JFK,https://www.democracynow.org/2008/7/1/colombian_senator_piedad_crdoba_on_negotiating
anger,Dozens ... CO,https://www.democracynow.org/2008/7/1/dozens_of_minutemen_confront_day_laborers
disgust,NYPD ... Ride,https://www.democracynow.org/2008/8/1/i_witness_video_nypd_officer_caught
anger,Israeli ... Demonstration,https://www.democracynow.org/2008/8/1/israeli_troops_kill_two_palestinians_in
neutral,Colorado ... Role,https://www.democracynow.org/2008/8/1/colorado_fusion_center_to_step_up
fear,After ... Paul,https://www.democracynow.org/2008/9/1/democracy_now_s_elizabeth_press_detained
fear,St. ... Convention,https://www.democracynow.org/2008/9/1/st_paul_police_conduct_mass_pre
surprise,In ... Mate,https://www.democracynow.org/2008/9/1/in_surprise_move_mccain_taps_alaska
neutral,“It’s ... RNC,https://www.democracynow.org/2008/9/1/its_chance_for_republicans_to_make
fear,Nearly ... Approaches,https://www.democracynow.org/2008/9/1/nearly_two_million_flee_gulf_coast
