emotion,headline,url
neutral,Still ... us,https://www.economist.com/britain/2008/01/03/still-with-us
disgust,Guarding ... soil,https://www.economist.com/britain/2008/01/03/guarding-british-soil
neutral,Shop-worn ... arguments,https://www.economist.com/europe/2008/01/03/shop-worn-arguments
neutral,Sarkozy's ... ahead,https://www.economist.com/europe/2008/01/03/sarkozys-testing-year-ahead
joy,Tax ... bonanza,https://www.economist.com/europe/2008/01/03/tax-bonanza
fear,"Yo, ... Iran",https://www.economist.com/middle-east-and-africa/2008/01/03/yo-anyone-who-fears-iran
disgust,The ... president,https://www.economist.com/middle-east-and-africa/2008/01/03/the-good-the-bad-and-the-president
fear,Twilight ... murder,https://www.economist.com/middle-east-and-africa/2008/01/03/twilight-robbery-daylight-murder
neutral,Truce ... fiction,https://www.economist.com/asia/2008/01/03/truce-and-fiction
neutral,A ... Modi,https://www.economist.com/asia/2008/01/03/a-la-modi
neutral,"Vote, ... again",https://www.economist.com/asia/2008/01/03/vote-vote-and-vote-again
disgust,Eerie ... silence,https://www.economist.com/asia/2008/01/03/eerie-silence
disgust,Democracy ... denied,https://www.economist.com/asia/2008/01/03/democracy-denied
joy,Counting ... blessings,https://www.economist.com/asia/2008/01/03/counting-thaksins-blessings
sadness,"Camera, ... action",https://www.economist.com/the-americas/2008/01/03/camera-no-action
disgust,Slush ... garbage,https://www.economist.com/the-americas/2008/01/03/slush-and-garbage
neutral,If ... bathroom,https://www.economist.com/the-americas/2008/01/03/if-redemption-fails-you-can-still-use-the-free-bathroom
neutral,The ... itch,https://www.economist.com/united-states/2008/01/03/the-40-year-itch
neutral,American ... pastoral,https://www.economist.com/united-states/2008/01/03/american-pastoral
neutral,The ... tax,https://www.economist.com/united-states/2008/01/03/the-texas-pole-tax
neutral,HP ... sauce,https://www.economist.com/books-and-arts/2008/01/03/hp-sauce
neutral,Off ... track,https://www.economist.com/united-states/2008/01/03/off-track
neutral,Global ... barometer,https://www.economist.com/economic-and-financial-indicators/2008/01/03/global-business-barometer
neutral,A ... mayors,https://www.economist.com/united-states/2008/01/03/a-tale-of-two-mayors
neutral,Dominoes ... skyline,https://www.economist.com/britain/2008/01/03/dominoes-on-the-skyline
fear,The ... before,https://www.economist.com/britain/2008/01/03/the-morning-after-the-night-before
fear,An ... in,https://www.economist.com/books-and-arts/2008/01/03/an-outsider-looking-in
neutral,A ... case,https://www.economist.com/books-and-arts/2008/01/03/a-black-and-white-case
neutral,The ... stratagem,https://www.economist.com/books-and-arts/2008/01/03/the-spiders-stratagem
neutral,Correction: ... cloning,https://www.economist.com/science-and-technology/2008/01/03/correction-human-cloning
neutral,Eyes ... prize,https://www.economist.com/science-and-technology/2008/01/03/eyes-on-the-prize
neutral,How ... forever,https://www.economist.com/science-and-technology/2008/01/03/how-to-live-forever
neutral,An ... myth,https://www.economist.com/finance-and-economics/2008/01/03/an-old-chinese-myth
sadness,The ... Cotonou,https://www.economist.com/finance-and-economics/2008/01/03/the-sun-sets-on-cotonou
neutral,Building ... wealth,https://www.economist.com/finance-and-economics/2008/01/03/building-wealth
disgust,Expressionists ... war,https://www.economist.com/books-and-arts/2008/01/03/expressionists-at-war
neutral,Testing ... waters,https://www.economist.com/finance-and-economics/2008/01/03/testing-the-waters
neutral,And ... alpha,https://www.economist.com/finance-and-economics/2008/01/03/and-god-created-alpha
neutral,Déjà ... vu,https://www.economist.com/finance-and-economics/2008/01/03/deja-vu
neutral,The ... technologist,https://www.economist.com/business/2008/01/03/the-social-technologist
neutral,A ... demand,https://www.economist.com/business/2008/01/03/a-question-of-demand
neutral,Girl ... power,https://www.economist.com/business/2008/01/03/girl-power
anger,How ... customers,https://www.economist.com/business/2008/01/03/how-not-to-annoy-your-customers
neutral,Winging ... it,https://www.economist.com/business/2008/01/03/winging-it
neutral,Whither ... wave?,https://www.economist.com/business/2008/01/03/whither-the-great-wave
joy,The ... away,https://www.economist.com/international/2008/01/03/the-rewards-of-beavering-away
