emotion,headline,url
neutral,Time ... Blackout,https://www.foxnews.com/entertainment/time-warner-cable-and-viacom-reach-deal-avoiding-channel-blackout
anger,Bail ... Some,https://www.foxnews.com/opinion/bail-out-the-msm-why-not-everyone-else-is-getting-some
neutral,Digital ... Sales,https://www.foxnews.com/entertainment/digital-music-downloads-dont-make-up-for-lost-cd-sales
neutral,Democrats ... Senate,https://www.foxnews.com/politics/democrats-could-try-stall-tactics-to-block-burris-from-senate
neutral,Democratic ... Appointment,https://www.foxnews.com/politics/democratic-lawmakers-gird-for-racial-showdown-over-burris-appointment
neutral,TRANSCRIPT: ... Conflict,https://www.foxnews.com/politics/transcript-pres-bush-radio-address-on-gaza-conflict
anger,Report: ... Man,https://www.foxnews.com/politics/report-burris-once-drew-criticism-for-prosecuting-innocent-man
neutral,Challenges ... U.S.,https://www.foxnews.com/opinion/challenges-ahead-in-2009-for-the-big-three-of-geopolitics-russia-china-and-the-u-s
neutral,Obama ... Crises,https://www.foxnews.com/politics/obama-prepares-to-tackle-domestic-and-foreign-crises
neutral,Media ... Obama?,https://www.foxnews.com/politics/media-glare-a-blessing-or-curse-for-obama
anger,Democratic ... Congress,https://www.foxnews.com/transcript/democratic-congressman-fights-automatic-pay-raise-for-congress
neutral,Green ... Limit,https://www.foxnews.com/science/green-goal-of-carbon-neutrality-hits-limit
joy,Original ... Tour,https://www.foxnews.com/entertainment/original-grateful-dead-members-announce-reunion-tour
sadness,Filmmaker ... Rose',https://www.foxnews.com/entertainment/filmmaker-george-butlet-alive-despite-obituary-on-charlie-rose
neutral,Next ... Trillion,https://www.foxnews.com/politics/next-federal-bailout-may-go-to-states-democratic-governors-seek-1-trillion
fear,Military ... Obama,https://www.foxnews.com/politics/military-poll-finds-troops-wary-about-obama
fear,Sen. ... Seat,https://www.foxnews.com/politics/sen-reid-called-gov-blagojevich-to-discuss-filling-obamas-senate-seat
neutral,Transcript: ... Address,https://www.foxnews.com/politics/transcript-weekly-democratic-radio-address
neutral,Transcript: ... Sunday',https://www.foxnews.com/transcript/transcript-george-h-w-bush-on-fox-news-sunday
sadness,'Batman' ... 84,https://www.foxnews.com/entertainment/batman-actor-pat-hingle-dead-at-84
neutral,Transcript: ... Sunday',https://www.foxnews.com/transcript/transcript-steny-hoyer-on-fox-news-sunday
sadness,Gaza ... Gaza,https://www.foxnews.com/entertainment/gaza
neutral,'Barack ... Debate,https://www.foxnews.com/politics/barack-the-magic-negro-cd-raises-saltsmans-profile-ahead-of-rnc-chairmanship-debate
disgust,Israel's ... Gaza,https://www.foxnews.com/opinion/israels-unspoken-goal-in-gaza
anger,Republicans ... Him,https://www.foxnews.com/opinion/republicans-should-support-burris-and-urge-senate-to-seat-him
sadness,Will ... Obama?,https://www.foxnews.com/transcript/will-tabloid-and-paparazzi-attention-hurt-obama
neutral,Recap ... 3,https://www.foxnews.com/transcript/recap-of-saturday-january-3
neutral,What ... Holidays,https://www.foxnews.com/transcript/what-you-may-have-missed-over-the-holidays
fear,Inside ... Life,https://www.foxnews.com/transcript/inside-the-frantic-fight-to-save-jett-travoltas-life
disgust,Democratic ... 2009,https://www.foxnews.com/transcript/democratic-party-off-to-scandalous-start-in-2009
neutral,Rep. ... Stimulus,https://www.foxnews.com/transcript/rep-meeks-no-time-to-quash-economic-stimulus
neutral,Sen. ... Appointment,https://www.foxnews.com/politics/sen-feinstein-breaks-with-democrats-to-back-burris-appointment
neutral,Sources: ... Pick,https://www.foxnews.com/politics/sources-gregoire-will-not-replace-richardson-as-commerce-pick
neutral,Pelosi ... Congress,https://www.foxnews.com/politics/pelosi-elected-speaker-of-111th-congress
neutral,Obama ... Festivities,https://www.foxnews.com/politics/obama-adds-youth-ball-to-inaugural-festivities
sadness,Obama ... Snub,https://www.foxnews.com/politics/obama-apologizes-to-feinstein-over-panetta-snub
anger,Coleman ... Results,https://www.foxnews.com/politics/coleman-files-lawsuit-to-contest-minnesota-senate-recount-results
neutral,Obama ... Process,https://www.foxnews.com/politics/obama-hits-bumpy-road-in-appointment-process
neutral,Bush's ... Reviews,https://www.foxnews.com/politics/bushs-environmental-legacy-draws-mixed-reviews
neutral,Source: ... Experience,https://www.foxnews.com/politics/source-obama-chose-panetta-for-his-washington-experience
neutral,Jeb ... 2010,https://www.foxnews.com/politics/jeb-bush-passes-on-senate-run-in-2010
neutral,Obama's ... Limo,https://www.foxnews.com/politics/obamas-new-ride-heavily-armored-2009-cadillac-limo
neutral,Exclusive: ... Book,https://www.foxnews.com/transcript/exclusive-ann-coulters-first-look-at-controversial-new-book
fear,Obama ... Incentives,https://www.foxnews.com/transcript/obama-facing-criticism-over-proposed-tax-incentives
neutral,Let's ... Minnesota,https://www.foxnews.com/opinion/lets-make-sure-we-get-it-right-in-minnesota
disgust,Dutch ... Aruba,https://www.foxnews.com/transcript/dutch-member-of-parliament-vows-to-root-out-corruption-in-aruba
disgust,War ... Worse,https://www.foxnews.com/transcript/war-on-terror-takes-turn-for-the-worse
neutral,If ... Too?,https://www.foxnews.com/transcript/if-arnold-can-say-ill-be-back-whats-wrong-with-me-saying-it-too
sadness,Dr. ... Pain,https://www.foxnews.com/health/dr-keith-grieving-parents-feel-john-travolta-kelly-prestons-pain
disgust,Larry ... Products,https://www.foxnews.com/entertainment/larry-flynt-sues-nephews-over-inferior-porn-products
neutral,FOX ... Greenberg,https://www.foxnews.com/transcript/fox-news-exclusive-former-aig-ceo-hank-greenberg
neutral,Want ... Incentives,https://www.foxnews.com/opinion/want-to-understand-politics-follow-the-incentives
fear,Economists ... Deficits',https://www.foxnews.com/politics/economists-warn-against-feeding-trillion-dollar-deficits
sadness,Congressional ... 2009,https://www.foxnews.com/politics/congressional-budgeters-project-1-2t-deficit-in-2009
neutral,If ... Fit,https://www.foxnews.com/politics/if-surgeon-general-is-a-spokesman-for-good-health-gupta-may-be-fit
sadness,Army ... Soldiers,https://www.foxnews.com/politics/army-apologizes-for-sending-john-doe-letters-to-families-of-slain-soldiers
neutral,"Reid, ... Alive",https://www.foxnews.com/politics/reid-after-meeting-with-burris-keeps-illinois-senate-appointees-hopes-alive
fear,"Obama, ... Overseer",https://www.foxnews.com/politics/obama-calling-economic-situation-dire-names-fiscal-overseer
neutral,'Everyday ... Tour,https://www.foxnews.com/politics/everyday-americans-invited-to-whistle-stop-tour
neutral,Schedule ... Nominees,https://www.foxnews.com/politics/schedule-of-confirmation-hearings-for-obamas-nominees
anger,Israel ... Palestinians,https://www.foxnews.com/opinion/israel-palestinians
anger,Group ... Extremism,https://www.foxnews.com/politics/group-that-funded-rep-ellisons-pilgrimage-to-mecca-called-a-front-for-extremism
fear,America's ... Time,https://www.foxnews.com/transcript/americas-anti-terror-defense-strategy-is-going-to-change-big-time
sadness,Washington ... Collegial,https://www.foxnews.com/transcript/washington-is-sickeningly-collegial
sadness,Disgraced ... Appeals,https://www.foxnews.com/politics/disgraced-former-sen-craig-drops-further-appeals
neutral,Ann ... Controversy,https://www.foxnews.com/transcript/ann-coulter-on-her-new-book-guilty-today-show-cancellation-controversy
fear,Terrorism ... Hamas,https://www.foxnews.com/transcript/terrorism-expert-new-york-times-siding-with-hamas
neutral,Old ... Plan,https://www.foxnews.com/transcript/old-obama-interview-could-shed-light-on-foreign-policy-plan
anger,Army ... Play,https://www.foxnews.com/transcript/army-sergeants-wife-vanishes-police-suspect-foul-play
neutral,Still ... Business,https://www.foxnews.com/politics/still-the-governor-blago-stays-busy-doing-the-peoples-business
fear,NYPD ... Attack,https://www.foxnews.com/politics/nypd-eyes-disrupting-cell-phones-in-event-of-terrorist-attack
neutral,Looking ... Outsiders',https://www.foxnews.com/entertainment/looking-back-at-the-cast-of-the-outsiders
neutral,Mayors ... Infrastructure,https://www.foxnews.com/politics/mayors-seek-billions-of-dollars-but-not-all-of-it-is-aimed-at-infrastructure
fear,Blagojevich ... Governor,https://www.foxnews.com/politics/blagojevich-whistleblower-had-suspicions-case-would-go-all-the-way-to-the-governor
neutral,FOX ... McCain,https://www.foxnews.com/transcript/fox-news-exclusive-sen-john-mccain
neutral,Is ... Analyzes,https://www.foxnews.com/transcript/is-ann-coulter-helping-or-hurting-conservative-cause-bernie-goldberg-analyzes
neutral,Casey ... Hearing,https://www.foxnews.com/transcript/casey-anthony-attends-court-hearing
neutral,Return ... Palin,https://www.foxnews.com/transcript/return-of-sarah-palin
neutral,RAW ... Report,https://www.foxnews.com/politics/raw-data-summary-of-oversight-panels-bailout-report
neutral,Panetta's ... Say,https://www.foxnews.com/politics/panettas-outsider-status-could-help-cia-analysts-say
neutral,Senate ... Plan,https://www.foxnews.com/politics/senate-democrats-rally-around-obamas-tax-plan
neutral,Is ... America?,https://www.foxnews.com/transcript/is-obamas-spending-proposal-the-right-solution-for-america
neutral,Illinois ... Signature,https://www.foxnews.com/politics/illinois-high-court-burris-appointment-valid-without-whites-signature
neutral,Burris ... Signature,https://www.foxnews.com/politics/burris-appointment-dispute-extends-to-whites-signature
disgust,Alleged ... Record',https://www.foxnews.com/transcript/alleged-babysitter-suing-casey-anthony-goes-on-the-record
neutral,After ... Senate,https://www.foxnews.com/politics/after-impeachment-blagojevichs-fate-lies-with-illinois-senate
