emotion,headline,url
neutral,Kohl's ... donations,https://www.theguardian.com/world/2000/jan/01/germany.johnhooper
neutral,Y2K ... operation,https://www.theguardian.com/business/2000/jan/01/2
neutral,Sir ... Radzinowicz,https://www.theguardian.com/news/2000/jan/01/guardianobituaries
neutral,Big ... horizons,https://www.theguardian.com/business/2000/jan/01/columnists.observerbusiness
fear,City ... recede,https://www.theguardian.com/technology/2000/jan/01/y2k.business
neutral,Massimo ... Taibi,https://www.theguardian.com/football/2000/jan/01/newsstory.sport3
neutral,Gérard ... Houllier,https://www.theguardian.com/football/2000/jan/01/newsstory.sport2
neutral,David ... Mellor,https://www.theguardian.com/football/2000/jan/01/newsstory.sport4
neutral,Nicolas ... Anelka,https://www.theguardian.com/football/2000/jan/01/newsstory.sport1
neutral,They ... television,https://www.theguardian.com/football/2000/jan/01/newsstory.sport6
neutral,Our ... 2000,https://www.theguardian.com/theguardian/2000/jan/01/guardianletters3
neutral,Date ... lines,https://www.theguardian.com/theguardian/2000/jan/01/guardianletters1
neutral,Hopes ... millennium,https://www.theguardian.com/theguardian/2000/jan/01/guardianletters
surprise,Shocked ... throwing,https://www.theguardian.com/sport/2000/jan/01/cricket1
neutral,No ... Tuesday,https://www.theguardian.com/books/2000/jan/01/books.guardianreview21
neutral,Dream ... on...,https://www.theguardian.com/books/2000/jan/01/books.guardianreview14
neutral,Classical ... Classical,https://www.theguardian.com/books/2000/jan/01/books
neutral,Mouse ... trap,https://www.theguardian.com/books/2000/jan/01/books.guardianreview12
neutral,Steaming ... in,https://www.theguardian.com/travel/2000/jan/01/guardiansaturdayreview
neutral,Dance ... Dance,https://www.theguardian.com/books/2000/jan/01/books.guardianreview8
anger,The ... belly,https://www.theguardian.com/film/2000/jan/01/1
neutral,Films ... Films,https://www.theguardian.com/film/2000/jan/01/2
joy,The ... age,https://www.theguardian.com/theguardian/2000/jan/01/guardianletters2
neutral,Hussain ... firepower,https://www.theguardian.com/sport/2000/jan/01/cricket
neutral,A ... remember,https://www.theguardian.com/news/2000/jan/01/1
joy,Theatre ... Theatre,https://www.theguardian.com/culture/2000/jan/01/1
disgust,Memoirs ... make,https://www.theguardian.com/books/2000/jan/01/books.guardianreview
neutral,After ... bolted,https://www.theguardian.com/books/2000/jan/01/books.guardianreview1
neutral,Visual ... arts,https://www.theguardian.com/books/2000/jan/01/books.guardianreview5
neutral,Pop ... Pop,https://www.theguardian.com/books/2000/jan/01/books.guardianreview6
joy,The ... longest,https://www.theguardian.com/books/2000/jan/01/books.guardianreview2
joy,Great ... Met,https://www.theguardian.com/books/2000/jan/01/books.guardianreview4
neutral,Check ... account,https://www.theguardian.com/books/2000/jan/01/books.guardianreview11
neutral,Now ... business,https://www.theguardian.com/business/2000/jan/01/bradfordbingleybusiness
sadness,Diary: ... harpsichord,https://www.theguardian.com/books/2000/jan/01/books.guardianreview20
neutral,The ... century,https://www.theguardian.com/football/2000/jan/01/newsstory.sport5
sadness,How ... strife,https://www.theguardian.com/uk/2000/jan/01/northernireland.freedomofinformation
neutral,Castaways: ... Hebrides,https://www.theguardian.com/uk/2000/jan/01/1
neutral,Harrison ... unit,https://www.theguardian.com/uk/2000/jan/01/vikramdodd
neutral,In ... brief,https://www.theguardian.com/uk/2000/jan/01/2
fear,Police ... murderer,https://www.theguardian.com/uk/2000/jan/01/vikramdodd1
neutral,Charles ... nationalists,https://www.theguardian.com/uk/2000/jan/01/monarchy
neutral,Still ... coming,https://www.theguardian.com/world/2000/jan/01/jamesmeek
fear,Worry ... attack,https://www.theguardian.com/uk/2000/jan/01/3
sadness,Railtrack ... sabotaged,https://www.theguardian.com/uk/2000/jan/01/johnezard
anger,Blunders ... stranded,https://www.theguardian.com/uk/2000/jan/01/stuartmillar
neutral,A ... Diary,https://www.theguardian.com/uk/2000/jan/01/ruralaffairs.countrydiary
neutral,End ... era,https://www.theguardian.com/world/2000/jan/01/1
neutral,New ... figures,https://www.theguardian.com/business/2000/jan/01/dowjones.nasdaq
fear,Boris ... go,https://www.theguardian.com/world/2000/jan/01/russia.comment
fear,Revellers ... fire,https://www.theguardian.com/uk/2000/jan/01/mattwells
neutral,Leaders ... communism,https://www.theguardian.com/world/2000/jan/01/russia2
neutral,Airline ... freed,https://www.theguardian.com/world/2000/jan/01/3
sadness,Rebel ... again,https://www.theguardian.com/world/2000/jan/01/russia
neutral,'My ... faces',https://www.theguardian.com/world/2000/jan/01/russia1
fear,Global ... recede,https://www.theguardian.com/technology/2000/jan/01/y2k.internationalnews
neutral,Rachel ... agent,https://www.theguardian.com/football/2000/jan/01/newsstory.sport8
neutral,Ron ... Atkinson,https://www.theguardian.com/football/2000/jan/01/newsstory.sport
neutral,Prince ... Day,https://www.theguardian.com/uk/2000/jan/01/ruralaffairs.millennium
neutral,Pope ... push,https://www.theguardian.com/world/2000/jan/01/catholicism.religion
neutral,Putin ... now,https://www.theguardian.com/world/2000/jan/01/russia.iantraynor2
sadness,Scholes ... surgery,https://www.theguardian.com/football/2000/jan/01/newsstory.sport7
neutral,The ... were,https://www.theguardian.com/world/2000/jan/01/population.uk
neutral,News ... brief,https://www.theguardian.com/world/2000/jan/01/2
sadness,President ... out,https://www.theguardian.com/world/2000/jan/01/russia.iantraynor
joy,A ... power,https://www.theguardian.com/world/2000/jan/01/russia.iantraynor1
joy,Jubilation ... home,https://www.theguardian.com/world/2000/jan/01/suzannegoldenberg
neutral,A ... today,https://www.theguardian.com/world/2000/jan/01/population.uk1
neutral,Ten ... 2000,https://www.theguardian.com/sport/2000/jan/02/cricket7
sadness,Caddick ... cold,https://www.theguardian.com/sport/2000/jan/02/cricket6
neutral,Half ... record,https://www.theguardian.com/sport/2000/jan/02/cricket5
neutral,Barmy ... Town,https://www.theguardian.com/sport/2000/jan/02/cricket4
neutral,Paperbacks ... Paperbacks,https://www.theguardian.com/books/2000/jan/02/1
neutral,Lesser ... skipper,https://www.theguardian.com/sport/2000/jan/02/cricket3
fear,Quick ... world,https://www.theguardian.com/sport/2000/jan/02/cricket
neutral,Donald ... England,https://www.theguardian.com/sport/2000/jan/02/matchreportscricket.cricket
neutral,A ... touch,https://www.theguardian.com/sport/2000/jan/02/cricket2
neutral,Both ... bar,https://www.theguardian.com/sport/2000/jan/02/cricket1
sadness,England ... day,https://www.theguardian.com/sport/2000/jan/02/cricket10
anger,I'm ... Shoaib,https://www.theguardian.com/sport/2000/jan/02/cricket8
neutral,Sink ... down,https://www.theguardian.com/sport/2000/jan/02/cricket11
neutral,South ... slopie?,https://www.theguardian.com/sport/2000/jan/02/cricket9
neutral,'Without ... Wars',https://www.theguardian.com/film/2000/jan/02/3
neutral,Sounds ... poetry,https://www.theguardian.com/books/2000/jan/02/poetry
anger,Lee ... India,https://www.theguardian.com/sport/2000/jan/02/matchreportscricket.cricket1
neutral,Back ... future,https://www.theguardian.com/theguardian/2000/jan/02/guardianletters
sadness,Museum's ... stolen,https://www.theguardian.com/uk/2000/jan/02/tonythompson.theobserver
joy,The ... cometh,https://www.theguardian.com/film/2000/jan/02/1
neutral,Doing ... again,https://www.theguardian.com/film/2000/jan/02/spikelee
neutral,Dogma ... Dogma,https://www.theguardian.com/film/2000/jan/02/philipfrench
neutral,Belle ... jours,https://www.theguardian.com/film/2000/jan/02/francoistruffaut.worldcinema
fear,Killer ... scare,https://www.theguardian.com/news/2000/jan/02/food.foodanddrink
neutral,Have ... party?,https://www.theguardian.com/money/2000/jan/02/cash.theobserver
anger,Take ... horns,https://www.theguardian.com/money/2000/jan/02/personalfinancenews.business1
sadness,Stars ... most,https://www.theguardian.com/money/2000/jan/02/personalfinancenews.business2
neutral,Whose ... tops?,https://www.theguardian.com/money/2000/jan/02/personalfinancenews.business
neutral,Enslaved ... state,https://www.theguardian.com/books/2000/jan/02/society
neutral,Scorecard ... Scorecard,https://www.theguardian.com/sport/2000/jan/02/cricket12
neutral,Aroma ... therapy,https://www.theguardian.com/books/2000/jan/02/adammarsjones
neutral,Big ... lunch,https://www.theguardian.com/football/2000/jan/02/newsstory.sport3
neutral,Let ... arise,https://www.theguardian.com/world/2000/jan/02/millennium.uk17
disgust,A ... infuriate,https://www.theguardian.com/books/2000/jan/02/classics.grahamgreene
neutral,Kremlin's ... coronation,https://www.theguardian.com/world/2000/jan/02/russia.comment
fear,Gene ... killer,https://www.theguardian.com/science/2000/jan/02/genetics.medicaladvicefortravellers
disgust,Tsar ... crook,https://www.theguardian.com/world/2000/jan/02/russia.theobserver
fear,India's ... surrender,https://www.theguardian.com/world/2000/jan/02/terrorism
neutral,Beyond ... belief,https://www.theguardian.com/world/2000/jan/02/religion.uk
fear,Victory ... dearly,https://www.theguardian.com/world/2000/jan/02/russia.chechnya
anger,Samaritans ... calls,https://www.theguardian.com/uk/2000/jan/02/sarahryle.theobserver
neutral,Cock-fighting? ... please,https://www.theguardian.com/uk/2000/jan/02/hunting.ruralaffairs
fear,United ... threat,https://www.theguardian.com/football/2000/jan/02/newsstory.sport9
sadness,Computer ... guest,https://www.theguardian.com/technology/2000/jan/02/y2k.theobserver
neutral,King ... co-op,https://www.theguardian.com/football/2000/jan/02/newsstory.sport4
sadness,United ... much,https://www.theguardian.com/football/2000/jan/02/newsstory.sport6
neutral,Bank ... fixtures,https://www.theguardian.com/football/2000/jan/02/newsstory.sport
fear,Kohl ... catastrophe,https://www.theguardian.com/world/2000/jan/02/germany.theobserver
neutral,Can ... century?,https://www.theguardian.com/business/2000/jan/02/efinance.personalfinancenews
