emotion,headline,url
anger,Fur ... Back,https://www.huffpost.com/entry/fur-is-back_b_37579
sadness,Ford's ... Era,https://www.huffpost.com/entry/fords-passing-the-end-of-_b_37572
fear,"Well, ... Over!",https://www.huffpost.com/entry/well-that-nightmare-is-ov_b_37562
neutral,No ... Apple,https://www.huffpost.com/entry/no-wrongdoing-at-apple-sa_b_37557
neutral,Some ... Please.,https://www.huffpost.com/entry/some-leadership-for-new-o_b_37556
joy,My ... Mom),https://www.huffpost.com/entry/my-new-years-eve-dream-ab_b_37567
sadness,New ... Monopolies,https://www.huffpost.com/entry/new-years-resolution-brea_b_37539
fear,Howard ... Now?,https://www.huffpost.com/entry/howard-dean-in-december-2_b_37538
neutral,Just ... Know,https://www.huffpost.com/entry/just-so-theyll-know-we-kn_b_37536
neutral,Gerald ... Moment,https://www.huffpost.com/entry/gerald-fords-national-mom_b_37563
neutral,Ode ... 2006,https://www.huffpost.com/entry/ode-to-2006_b_37564
neutral,Hanging ... Thread,https://www.huffpost.com/entry/hanging-by-a-thread_b_37547
surprise,Who ... Goes...?,https://www.huffpost.com/entry/who-knows-where-the-time-_b_37541
neutral,"Hello, ... Hear",https://www.huffpost.com/entry/hello-2007-new-years-reso_b_37340
neutral,Dennis ... Joke,https://www.huffpost.com/entry/dennis-miller-is-the-joke_b_37544
fear,Struggling ... Equality,https://www.huffpost.com/entry/struggling-with-john-edwa_b_37549
neutral,R.I.P ... Number,https://www.huffpost.com/entry/rip-spec-dustin-donica-30_b_37546
anger,25% ... Insane,https://www.huffpost.com/entry/25-of-the-country-is-cert_b_37581
disgust,Disgraceful ... Disgraceful,https://www.huffpost.com/entry/disgraceful_b_37568
neutral,<em>Dreamgirls</em> ... Soars,https://www.huffpost.com/entry/dreamgirls-soars_b_37565
neutral,The ... 2006,https://www.huffpost.com/entry/the-real-reason-you-were-_b_37553
surprise,"Oh, ... Saddam",https://www.huffpost.com/entry/oh-my-saddam_b_37554
neutral,First ... Dead,https://www.huffpost.com/entry/first-try-at-an-online-mo_b_37545
surprise,2007: ... Reform?,https://www.huffpost.com/entry/2007-the-year-of-health-c_b_37605
fear,Believe ... Enter,https://www.huffpost.com/entry/believe-it-or-not-in-amer_b_37603
neutral,De ... bonum,https://www.huffpost.com/entry/de-mortius-nihil-nisi-bon_b_37599
fear,The ... Rebels,https://www.huffpost.com/entry/the-fear-of-them-calling-_b_37620
sadness,The ... Ship,https://www.huffpost.com/entry/the-white-house-dumps-ano_b_37619
neutral,Log ... Message,https://www.huffpost.com/entry/log-cabin-republicans-new_b_37622
fear,How ... Debacle,https://www.huffpost.com/entry/how-to-realize-when-a-war_b_37618
anger,Cheney ... Clinton!,https://www.huffpost.com/entry/cheney-slams-gop-and-prai_b_37646
neutral,The ... Bush,https://www.huffpost.com/entry/the-good-shepherd-somethi_b_37560
neutral,Black ... Turn,https://www.huffpost.com/entry/black-culture-has-taken-a_b_37604
neutral,"Do ... Market?""",https://www.huffpost.com/entry/do-democrats-have-the-cou_b_37621
neutral,Live ... Spring,https://www.huffpost.com/entry/live-spring_b_37624
neutral,Pelosi ... Hours,https://www.huffpost.com/entry/pelosi-needs-an-agenda-fo_b_37651
fear,Got ... Fear,https://www.huffpost.com/entry/got-milk-got-hormones-exp_b_37566
neutral,High ... Debate,https://www.huffpost.com/entry/high-broderism-reaches-th_b_37639
surprise,Why ... Much,https://www.huffpost.com/entry/why-bushs-suits-bug-me-so_b_37631
anger,Iraq: ... Now,https://www.huffpost.com/entry/iraq-why-we-went-why-we-s_b_37638
neutral,Ladies ... Hang,https://www.huffpost.com/entry/ladies-and-gentlemen-star_b_37627
neutral,Smile! ... Camera,https://www.huffpost.com/entry/smile-youre-on-hidden-cam_b_37632
neutral,Movin' ... On,https://www.huffpost.com/entry/movin-on_b_37594
neutral,Got ... 2007,https://www.huffpost.com/entry/got-optimism-the-edge-ann_b_37592
neutral,Miracle ... Impact,https://www.huffpost.com/entry/miracle-in-the-desert-an-_b_37596
neutral,Forna ... Scolds,https://www.huffpost.com/entry/forna-v-scolds_b_37615
neutral,Billie ... Ever,https://www.huffpost.com/entry/billie-jean-king-now-more_b_37629
neutral,Speaking ... Punditry,https://www.huffpost.com/entry/speaking-of-pathetic-pund_b_37640
neutral,In ... Word,https://www.huffpost.com/entry/in-2007-you-are-as-good-a_b_37580
joy,Hands ... FMLA!,https://www.huffpost.com/entry/hands-off-my-fmla_b_37623
neutral,D.C. ... Players,https://www.huffpost.com/entry/dc-notes-swearing-in-week_b_37718
neutral,100 ... Change,https://www.huffpost.com/entry/100-hours-mark-the-change_b_37699
joy,D.C. ... Affair,https://www.huffpost.com/entry/dc-notes-pelosi-celebrati_b_37767
neutral,Reporting ... Priority,https://www.huffpost.com/entry/reporting-from-washington_b_37839
neutral,D.C. ... Majority,https://www.huffpost.com/entry/dc-notes-welcome-to-the-d_b_37823
neutral,Senate ... Congress,https://www.huffpost.com/entry/senate-democrats-first-te_b_37818
neutral,Backwards ... Speaker,https://www.huffpost.com/entry/backwards-and-in-high-hee_b_37840
neutral,Changing ... Guard,https://www.huffpost.com/entry/changing-of-the-guard_b_37822
neutral,First ... First,https://www.huffpost.com/entry/first-things-first_1_b_37865
joy,Celebrate ... Moment,https://www.huffpost.com/entry/celebrate-ellisons-oath-o_b_37790
neutral,Minimum ... Hours,https://www.huffpost.com/entry/minimum-wage-increase-in-_b_37795
surprise,D.C. ... Huh?),https://www.huffpost.com/entry/dc-notes-wes-clark-is-ste_b_37837
neutral,Priorities ... Congress,https://www.huffpost.com/entry/priorities-for-the-110th-_b_37870
neutral,Bringing ... Reality,https://www.huffpost.com/entry/bringing-the-hopes-of-ste_b_37833
neutral,Bush's ... Resistance,https://www.huffpost.com/entry/bushs-strategy-of-massive_b_37946
neutral,Manhattan ... January,https://www.huffpost.com/entry/manhattan-in-january_b_37910
neutral,Memo ... Rights,https://www.huffpost.com/entry/memo-to-democrats-reverse_b_37943
