emotion,headline,url
anger,I ... Day,https://www.jacobinmag.com/2016/01/antonio-gramsci-new-years-day
fear,Story ... Foretold,https://www.jacobinmag.com/2016/01/brazil-samarco-rio-doce-disaster-vale-pt-neoliberalism-rousseff-dilma-lula
neutral,The ... Revolution,https://www.jacobinmag.com/2016/01/nepal-liberal-constitution-maoists-protests-monarchy
anger,Injustice ... All?,https://www.jacobinmag.com/2016/01/malheur-militia-movement-oregon-hammond-bundy-waco
neutral,The ... Much,https://www.jacobinmag.com/2016/01/yanis-varoufakis-interview-jeremy-corbyn-greece-eurozone-tsipras
sadness,Rebel ... Cause,https://www.jacobinmag.com/2016/01/hunger-games-review-capitalism-revolution-mockingjay-suzanne-collins
joy,A ... Day,https://www.jacobinmag.com/2016/01/bundy-retraction-whoops
neutral,The ... Finance,https://www.jacobinmag.com/2016/01/hillary-clinton-finance-reform-short-termism-capitalism-stocks-buybacks
neutral,Logged ... In,https://www.jacobinmag.com/2016/01/huws-sharing-economy-crowdsource-precarity-uber-workers
neutral,The ... You,https://www.jacobinmag.com/2016/01/federal-reserve-interest-rate-increase-janet-yellen-inflation-unemployment
neutral,Memories ... Ventimiglia,https://www.jacobinmag.com/2016/01/refugee-migrant-crisis-ventimiglia-france-italy-national-front
neutral,An ... Win,https://www.jacobinmag.com/2016/01/olin-wright-real-utopias-socialism-capitalism-gramsci-lenin-luxemburg
neutral,The ... Benjamin,https://www.jacobinmag.com/2016/01/walter-benjamin-anarchism-surrealism-marxism-theses
neutral,Debating ... Clinton,https://www.jacobinmag.com/2016/01/hillary-bill-clinton-president-my-turn-review-henwood-pollitt
neutral,No ... Ground,https://www.jacobinmag.com/2016/01/oregon-malheur-standoff-militia-ammon-cliven-bundy
neutral,The ... Friedrichs,https://www.jacobinmag.com/2016/01/friedrichs-public-sector-unions-abood-right-to-work
neutral,The ... Sweden,https://www.jacobinmag.com/2016/01/sweden-democrats-jimmie-akesson-far-right-europe
fear,Golden ... Trial,https://www.jacobinmag.com/2016/01/golden-dawn-fascist-nazi-trials-pavlos-fyssas-murder-greece
neutral,Sanders ... Trump,https://www.jacobinmag.com/2016/01/bernie-sanders-trump-populism-marche-corbyn-politics
neutral,The ... Generals,https://www.jacobinmag.com/2016/01/aung-san-suu-kyi-myanmar-burma-elections-military-generals
fear,Why ... Trumpism,https://www.jacobinmag.com/2016/01/obama-state-union-2016-final-donald-trump-unions-workers
fear,The ... Haiti,https://www.jacobinmag.com/2016/01/haiti-revolution-toussaint-louverture-cuba-aponte-rebellion-jacobins
neutral,Revisiting ... Being,https://www.jacobinmag.com/2016/01/robespierre-rousseau-religion-separation-church-state-kim-davis
neutral,Ellen ... (1942–2016),https://www.jacobinmag.com/2016/01/ellen-meiksins-wood-origins-capitalism-democracy-york-obituary
disgust,Workers ... State,https://www.jacobinmag.com/2016/01/china-strikes-unions-labor-protest-repression-communist-party
neutral,Remembering ... Wood,https://www.jacobinmag.com/2016/01/ellen-wood-obituary-chibber-retreat-from-class-origins-of-capitalism-marxist
anger,When ... Wrong,https://www.jacobinmag.com/2016/01/revenant-review-leonardo-dicaprio-alejandro-gonzalez-inarritu-hugh-glass
neutral,The ... Clinton,https://www.jacobinmag.com/2016/01/hillary-clinton-president-my-turn-feminism-welfare-reform-haiti
neutral,The ... Fantasy,https://www.jacobinmag.com/2016/01/tiny-house-movement-nation-tumbleweed-environment-consumerism
sadness,Feeling ... Power,https://www.jacobinmag.com/2016/01/quebec-couillard-liberal-party-strikes-common-front-austerity-public-sector-agreement
neutral,The ... Intellectuals,https://www.jacobinmag.com/2016/01/ellen-meiksins-wood-gramsci-socialism-capitalism-intellectuals-postmodernism-identity
fear,The ... Earth,https://www.jacobinmag.com/2016/01/david-bowie-obituary-berlin-trilogy-brecht
neutral,Affirmative ... Roots,https://www.jacobinmag.com/2016/01/supreme-court-scalia-fisher-texas-bakke-affirmative-action-civil-rights
neutral,The ... UBI,https://www.jacobinmag.com/2016/01/universal-basic-income-switzerland-finland-milton-friedman-kathi-weeks
fear,Bangladesh’s ... Capitalism,https://www.jacobinmag.com/2016/01/bangladesh-rana-plaza-rmg-garment-industry-climate-change-environment
neutral,The ... Scientist,https://www.jacobinmag.com/2016/01/richard-levins-obituary-biological-determinism-dialectics
disgust,"Bile, ... Bernie",https://www.jacobinmag.com/2016/01/bernie-sanders-hillary-clinton-democratic-primary-president-caucus
sadness,Snow ... Socialism,https://www.jacobinmag.com/2016/01/blizzard-snow-storm-northeast-socialism-capitalism
neutral,Bernie ... Clinton,https://www.jacobinmag.com/2016/01/bernie-sanders-clinton-outsider-house-democratic-president-primary-socialist
neutral,Meet ... Louise,https://www.jacobinmag.com/2016/01/vox-bernie-sanders-single-payer-ezra-klein-matt-yglesias
sadness,Austerity ... Unbroken,https://www.jacobinmag.com/2016/01/greece-syriza-tsipras-varoufakis-austerity-eurozone
fear,The ... Crisis,https://www.jacobinmag.com/2016/01/refugees-europe-merkel-germany-migrants-france-emergency
neutral,Become ... Designer,https://www.jacobinmag.com/2016/01/become-a-jacobin-designer
surprise,Clinton’s ... Firewall?,https://www.jacobinmag.com/2016/01/hillary-clinton-black-voters-bernie-sanders-iowa-new-hampshire-election
neutral,Flint’s ... Line,https://www.jacobinmag.com/2016/01/flint-lead-water-crisis-michigan-snyder-emergency-contamination
