emotion,headline,url
neutral,Media ... Jones,https://www.motherjones.com/media/2000/03/media-jones-10/
neutral,Interview ... McCain,https://www.motherjones.com/media/2000/02/interview-john-mccain-2/
neutral,You ... Jones,https://www.motherjones.com/politics/2000/01/you-cant-hide-mother-jones/
neutral,MoJo ... Reads,https://www.motherjones.com/politics/2000/02/mojo-must-reads-0-3/
neutral,Bush ... Balks,https://www.motherjones.com/politics/2000/02/bush-balks/
neutral,The ... Girls,https://www.motherjones.com/media/2000/05/indigo-girls/
neutral,What’s ... It?,https://www.motherjones.com/politics/2000/02/whats-mumia-got-do-it/
neutral,"Mumia, ... Con",https://www.motherjones.com/politics/2000/02/mumia-pro-and-con-0/
neutral,Terry ... Gross,https://www.motherjones.com/media/2000/07/terry-gross/
surprise,The ... Awards,https://www.motherjones.com/politics/2000/03/durst-awards/
anger,DC ... Nice,https://www.motherjones.com/politics/2000/04/dc-cops-protesters-make-nice/
neutral,So ... chair’,https://www.motherjones.com/politics/2000/04/so-long-old-sparky-hello-death-chair/
neutral,Save ... dogs?,https://www.motherjones.com/politics/2000/04/save-dogs/
neutral,Closet ... Kevorkians,https://www.motherjones.com/politics/2000/05/closet-kevorkians/
neutral,Dying ... cure,https://www.motherjones.com/politics/2000/05/dying-cure/
fear,My ... Kalashnikov,https://www.motherjones.com/politics/2000/05/my-first-kalashnikov-2/
neutral,Free ... weapons,https://www.motherjones.com/politics/2000/06/free-trade-weapons/
neutral,Laramie’s ... Areas,https://www.motherjones.com/politics/2000/06/laramies-gray-areas/
neutral,So ... moos,https://www.motherjones.com/politics/2000/06/so-rare-it-moos/
neutral,Save ... animals!,https://www.motherjones.com/politics/2000/06/save-tasty-animals/
joy,Feds’ ... Quiz,https://www.motherjones.com/politics/2000/06/feds-fun-foreigners-quiz/
fear,Border ... Brink,https://www.motherjones.com/politics/2000/06/border-hospitals-brink/
neutral,Global ... video,https://www.motherjones.com/politics/2000/07/global-warming-live-video/
sadness,Big ... Loss,https://www.motherjones.com/politics/2000/07/big-tobaccos-big-loss/
disgust,Cute ... menaces,https://www.motherjones.com/politics/2000/07/cute-widdle-menaces/
surprise,Out ... Senate?,https://www.motherjones.com/politics/2000/07/out-streets-senate/
fear,What ... you,https://www.motherjones.com/politics/2000/07/what-you-cant-smell-can-kill-you/
neutral,Shadowing ... Conventions,https://www.motherjones.com/politics/2000/07/shadowing-conventions/
neutral,Bush’s ... lite,https://www.motherjones.com/politics/2000/07/bushs-identity-politics-lite/
neutral,The ... FAQ,https://www.motherjones.com/politics/2000/07/gop-convention-faq/
anger,Violent ... Kids,https://www.motherjones.com/politics/2000/07/violent-media-good-kids-1/
neutral,The ... deception,https://www.motherjones.com/politics/2000/07/green-plastic-deception/
disgust,Industry ... favor,https://www.motherjones.com/politics/2000/07/industry-buying-judicial-favor/
neutral,The ... Veep,https://www.motherjones.com/politics/2000/07/man-who-would-be-veep/
surprise,War ... convention,https://www.motherjones.com/politics/2000/07/war-games-la-convention/
neutral,One ... Presidency,https://www.motherjones.com/politics/2000/07/one-chicken-bone-presidency/
neutral,One ... drugs,https://www.motherjones.com/politics/2000/07/one-four-american-prisoners-drugs/
disgust,Conspiracy ... Polluters,https://www.motherjones.com/politics/2000/07/conspiracy-polluters/
neutral,Tribal ... Politics,https://www.motherjones.com/politics/2000/07/tribal-politics/
sadness,Better ... Red,https://www.motherjones.com/politics/2000/07/better-dead-red/
neutral,Maybe ... Libertarian,https://www.motherjones.com/politics/2000/07/maybe-kens-libertarian/
neutral,Group ... Philly,https://www.motherjones.com/politics/2000/07/group-hug-philly/
neutral,Black ... profits,https://www.motherjones.com/politics/2000/06/black-products-white-profits/
neutral,Clergy ... ExxonMobil,https://www.motherjones.com/politics/2000/06/clergy-vs-exxonmobil/
disgust,Abortion ... Sea,https://www.motherjones.com/politics/2000/06/abortion-sea/
neutral,Endangered ... espresso,https://www.motherjones.com/politics/2000/06/endangered-espresso/
disgust,Whale ... Navy,https://www.motherjones.com/politics/2000/06/whale-carnage-and-navy/
neutral,Nigerian ... Shell,https://www.motherjones.com/politics/2000/06/nigerian-court-shell-out-shell/
neutral,US ... market,https://www.motherjones.com/politics/2000/06/us-army-aims-target-market/
neutral,George ... Application,https://www.motherjones.com/politics/2000/06/george-w-bush-running-mate-application/
surprise,It’s ... World,https://www.motherjones.com/politics/2000/06/its-small-world/
neutral,Let ... lock-up,https://www.motherjones.com/politics/2000/06/let-em-knock-lock/
anger,Online ... Line,https://www.motherjones.com/politics/2000/06/online-free-speech-line/
neutral,Is ... country?,https://www.motherjones.com/politics/2000/06/there-doctor-country/
neutral,One ... this,https://www.motherjones.com/politics/2000/05/one-four-scots-cant-read/
anger,Bailed ... down,https://www.motherjones.com/politics/2000/05/bailed-out-and-gunned-down/
neutral,W’s ... Plan,https://www.motherjones.com/politics/2000/05/ws-secret-social-security-plan/
anger,Smoke ... Loan,https://www.motherjones.com/politics/2000/05/smoke-joint-lose-your-loan/
neutral,Don’t ... vein!,https://www.motherjones.com/politics/2000/05/dont-miss-vein/
neutral,Padlock ... Door!,https://www.motherjones.com/politics/2000/05/padlock-revolving-door/
joy,Vatican: ... home!,https://www.motherjones.com/politics/2000/05/vatican-homos-stay-home/
neutral,Legislators’ ... jobs,https://www.motherjones.com/politics/2000/05/legislators-day-jobs/
neutral,Selling ... Shopaholism,https://www.motherjones.com/politics/2000/05/selling-cure-shopaholism/
neutral,Denver: ... state,https://www.motherjones.com/politics/2000/05/denver-mile-high-police-state/
neutral,www.we’re-secretly-racists.com ... www.we’re-secretly-racists.com,https://www.motherjones.com/politics/2000/05/wwwwere-secretly-racistscom/
neutral,Nicaraguans: ... how,https://www.motherjones.com/politics/2000/05/nicaraguans-no-abortion-no-how/
neutral,General ... Assault,https://www.motherjones.com/politics/2000/05/general-electrics-global-assault/
neutral,Creationism’s ... anymore,https://www.motherjones.com/politics/2000/05/creationisms-not-just-kansas-anymore/
neutral,Downstream ... Effects,https://www.motherjones.com/politics/2000/05/downstream-effects/
neutral,You ... them,https://www.motherjones.com/politics/2000/05/you-dont-have-worship-trees-protect-them/
neutral,Tutors ... holes,https://www.motherjones.com/politics/2000/05/tutors-try-fill-affirmative-action-holes/
neutral,Moving ... Movement?,https://www.motherjones.com/politics/2000/04/moving-toward-movement/
neutral,Soft ... Cash,https://www.motherjones.com/politics/2000/04/soft-money-hard-cash/
neutral,Monkey ... McNuggets,https://www.motherjones.com/politics/2000/04/monkey-mcnuggets/
neutral,What ... Won,https://www.motherjones.com/politics/2000/04/what-weve-won/
neutral,The ... SUVs,https://www.motherjones.com/politics/2000/04/planet-loves-suvs/
joy,The ... shut-out,https://www.motherjones.com/politics/2000/04/great-debate-shut-out/
neutral,Militant ... March,https://www.motherjones.com/politics/2000/04/militant-marketing-march/
neutral,Smashing ... World?,https://www.motherjones.com/politics/2000/04/smashing-windows-better-world/
