emotion,headline,url
anger,Healy ... RNC,https://www.nationalreview.com/corner/healy-slams-priebus-e-mail-rnc-brian-bolduc/
neutral,Listen ... 5,https://www.nationalreview.com/podcasts/derb-radio/listen-john-derbyshire-trial-michael-khodorkovsky-hugh-hefners-latest-wedding/
neutral,Auld ... Syne,https://www.nationalreview.com/human-exceptionalism/auld-lang-syne-wesley-j-smith/
neutral,Ron ... Revisited,https://www.nationalreview.com/corner/ron-paul-revisited-matthew-shaffer/
neutral,Shortcut ... Redemption,https://www.nationalreview.com/2011/01/shortcut-redemption-jonah-goldberg/
neutral,FPOD&D ... FPOD&D,https://www.nationalreview.com/corner/fpodd-jonah-goldberg/
neutral,Twenty ... Eleven,https://www.nationalreview.com/corner/twenty-eleven-john-j-miller/
neutral,Global ... Arizona,https://www.nationalreview.com/planet-gore/global-warming-strikes-arizona-greg-pollowitz/
neutral,Roger ... R.I.P.,https://www.nationalreview.com/corner/roger-milliken-rip-john-j-miller/
neutral,Polar ... Camera,https://www.nationalreview.com/planet-gore/polar-bear-vs-spy-camera-greg-pollowitz/
neutral,Tere ... Titanicule!,https://www.nationalreview.com/corner/tere-tulemast-titanicule-andrew-stuttaford/
joy,Happy ... Year?,https://www.nationalreview.com/corner/happy-new-year-andrew-stuttaford/
neutral,Will ... World?’,https://www.nationalreview.com/planet-gore/will-electric-cars-change-world-greg-pollowitz/
neutral,Traveling ... Traveling,https://www.nationalreview.com/the-agenda/traveling-reihan-salam/
neutral,Priebus: ... Spigot?,https://www.nationalreview.com/corner/priebus-spendthrift-or-spigot-brian-bolduc/
fear,NHS ... Breakdown,https://www.nationalreview.com/human-exceptionalism/nhs-meltdown-head-midwife-says-maternity-care-verge-breakdown-wesley-j/
neutral,The ... Ezralanche,https://www.nationalreview.com/corner/ezralanche-jonah-goldberg/
neutral,Obamacare: ... Directives,https://www.nationalreview.com/human-exceptionalism/obamacare-end-life-counseling-regulation-leads-articles-advance/
neutral,Free ... Newsletters,https://www.nationalreview.com/david-calling/free-nro-newsletters-nro-staff/
anger,Norcross ... Priebus,https://www.nationalreview.com/corner/norcross-defends-priebus-brian-bolduc/
disgust,Pining ... Warming,https://www.nationalreview.com/planet-gore/pining-warming-greg-pollowitz/
neutral,Harvard ... Funding,https://www.nationalreview.com/human-exceptionalism/harvard-stem-cell-advisory-board-chair-bemoans-democratic-messiness/
fear,Californian ... Wisely,https://www.nationalreview.com/corner/californian-activist-warns-rnc-choose-wisely-brian-bolduc/
neutral,McLarty ... Wagner,https://www.nationalreview.com/corner/mclarty-picks-wagner-brian-bolduc/
neutral,Who’s ... Collins.,https://www.nationalreview.com/the-campaign-spot/whos-next-rnc-chairman-not-gentry-collins-jim-geraghty/
neutral,Scripture ... Class,https://www.nationalreview.com/corner/scripture-class-john-derbyshire/
neutral,re: ... Reading,https://www.nationalreview.com/corner/re-winter-reading-john-j-miller/
surprise,"Surprise, ... Surprise",https://www.nationalreview.com/bench-memos/surprise-surprise-gary-marx/
neutral,A ... RGA,https://www.nationalreview.com/the-campaign-spot/key-mcdonnell-man-moves-rga-jim-geraghty/
fear,Gary ... Bid,https://www.nationalreview.com/corner/gary-johnson-mulls-presidential-bid-brian-bolduc/
sadness,Public ... Rumblings,https://www.nationalreview.com/exchequer/public-pension-rumblings-kevin-d-williamson/
neutral,Story ... Decade,https://www.nationalreview.com/corner/story-new-decade-stanley-kurtz/
disgust,Ouch ... Ouch,https://www.nationalreview.com/corner/ouch-michael-potemra/
joy,Great ... Song,https://www.nationalreview.com/corner/great-song-michael-potemra/
neutral,Global ... Health,https://www.nationalreview.com/human-exceptionalism/global-warming-hysteria-resorting-nudity-not-good-sign-political-health/
fear,Fiscal ... Roundup,https://www.nationalreview.com/corner/fiscal-armageddon-roundup-kevin-d-williamson/
neutral,On ... Page,https://www.nationalreview.com/corner/home-page-matthew-shaffer-35/
fear,State ... System,https://www.nationalreview.com/human-exceptionalism/state-death-panels-consequence-single-payer-medicaid-system-wesley-j/
neutral,Krauthammer’s ... Take,https://www.nationalreview.com/corner/krauthammers-take-nro-staff-388/
neutral,Steele’s ... Intensify,https://www.nationalreview.com/corner/steeles-woes-intensify-brian-bolduc/
neutral,Marriage ... Update,https://www.nationalreview.com/bench-memos/marriage-debate-update-matthew-j-franck/
neutral,State ... Single-Payer,https://www.nationalreview.com/corner/state-death-panels-attributable-single-payer-wesley-j-smith/
neutral,2012: ... Libertarian?,https://www.nationalreview.com/2011/01/2012-year-libertarian-brian-bolduc/
neutral,A ... Self-Destruction,https://www.nationalreview.com/corner/story-political-self-destruction-stanley-kurtz/
neutral,Hughes ... Priebus,https://www.nationalreview.com/corner/hughes-hits-priebus-brian-bolduc/
sadness,Gentry ... Race,https://www.nationalreview.com/corner/gentry-collins-drops-out-rnc-race-brian-bolduc/
neutral,Bill ... Season,https://www.nationalreview.com/2011/01/bill-donohue-man-our-season-kathryn-jean-lopez/
neutral,It’s ... Money,https://www.nationalreview.com/2011/01/its-about-more-money-michael-barone/
neutral,‘The ... Mustache’,https://www.nationalreview.com/2011/01/man-mustache-jay-nordlinger/
neutral,‘Civil ... Wild,https://www.nationalreview.com/2011/01/civil-rights-gone-wild-hans-von-spakovsky/
fear,The ... Immigration,https://www.nationalreview.com/2011/01/manhattan-project-illegal-immigration-victor-davis-hanson/
neutral,Rep. ... List,https://www.nationalreview.com/corner/rep-issas-hit-list-daniel-foster/
neutral,The ... Isolationism,https://www.nationalreview.com/2011/01/new-isolationism-alvin-s-felzenberg-alexander-b-gray/
neutral,Reps. ... Cino,https://www.nationalreview.com/corner/reps-lummis-schmidt-endorse-cino-brian-bolduc/
surprise,re: ... Obama,https://www.nationalreview.com/corner/re-my-secret-meeting-president-obama-kathryn-jean-lopez/
neutral,Cino ... Plank,https://www.nationalreview.com/corner/cino-releases-fourth-plank-brian-bolduc/
neutral,Yes ... Not,https://www.nationalreview.com/the-campaign-spot/yes-we-can-no-he-kaine-not-jim-geraghty/
neutral,In ... Rubio,https://www.nationalreview.com/the-campaign-spot/unlikely-scenario-gop-nominee-should-run-rubio-jim-geraghty/
neutral,Casino ... Casino,https://www.nationalreview.com/corner/casino-peter-robinson/
neutral,Detroit ... More,https://www.nationalreview.com/corner/detroit-no-more-jonah-goldberg/
neutral,Alex ... Then?,https://www.nationalreview.com/the-campaign-spot/alex-x-mooney-will-you-please-run-now-then-jim-geraghty/
neutral,Winter ... Reading,https://www.nationalreview.com/corner/winter-reading-yuval-levin/
neutral,RNC ... RNC,https://www.nationalreview.com/corner/rnc-kathryn-jean-lopez/
neutral,The ... American,https://www.nationalreview.com/planet-gore/crying-indian-vs-litigious-native-american-greg-pollowitz/
neutral,An ... Business,https://www.nationalreview.com/corner/austere-ascendancy-and-straight-business-daniel-foster/
anger,Reaction ... Debate,https://www.nationalreview.com/corner/reaction-rnc-debate-brian-bolduc/
neutral,Gettin’ ... Presidential,https://www.nationalreview.com/corner/gettin-presidential-jay-nordlinger/
fear,What ... East,https://www.nationalreview.com/corner/what-do-about-anti-christian-violence-middle-east-nina-shea/
neutral,Toomey ... Gravity’,https://www.nationalreview.com/corner/toomey-looks-move-center-gravity-robert-costa/
neutral,Some ... Year,https://www.nationalreview.com/david-calling/some-estonian-new-year-david-pryce-jones/
neutral,China ... Eugenics,https://www.nationalreview.com/human-exceptionalism/china-population-control-leads-eugenics-wesley-j-smith/
neutral,The ... Employment,https://www.nationalreview.com/corner/census-and-growth-federal-government-employment-veronique-de-rugy/
neutral,Why ... Ceiling,https://www.nationalreview.com/corner/why-republicans-will-get-lot-exchange-raising-debt-ceiling-daniel-foster/
neutral,More ... .,https://www.nationalreview.com/the-campaign-spot/more-thoughts-rnc-chair-debate-jim-geraghty/
neutral,Obamacare ... Set,https://www.nationalreview.com/corner/obamacare-repeal-vote-set-daniel-foster/
neutral,WikiLeaks ... Whaling,https://www.nationalreview.com/the-feed/wikileaks-cables-suggest-whale-wars-kooks-are-causing-more-whaling-greg-pollowitz/
neutral,Supply-Side ... Obama?,https://www.nationalreview.com/2011/01/supply-side-obama-larry-kudlow/
neutral,Obama ... Staff?,https://www.nationalreview.com/corner/obama-considering-daley-chief-staff-daniel-foster/
neutral,Not ... “Radical”,https://www.nationalreview.com/exchequer/not-pell-grants-defining-radical-kevin-d-williamson/
fear,The ... Debate,https://www.nationalreview.com/2011/01/rnc-debate-jim-geraghty/
neutral,Pawlentycare’s ... Minuses,https://www.nationalreview.com/critical-condition/pawlentycares-pluses-and-minuses-john-r-graham/
neutral,Steele ... Territories,https://www.nationalreview.com/2011/01/steele-defends-funding-territories-brian-bolduc/
neutral,Obama ... Again,https://www.nationalreview.com/phi-beta-cons/obama-does-it-again-george-leef/
neutral,A ... IX,https://www.nationalreview.com/phi-beta-cons/primer-current-state-title-ix-allison-kasic/
joy,Thanks! ... Thanks!,https://www.nationalreview.com/corner/thanks-jonah-goldberg-5/
sadness,The ... America,https://www.nationalreview.com/corner/recession-hits-organizing-america-daniel-foster/
joy,Happy ... Year,https://www.nationalreview.com/corner/happy-new-year-kathryn-jean-lopez-2/
neutral,Obama: ... Ceiling,https://www.nationalreview.com/corner/obama-not-always-fan-upping-debt-ceiling-katrina-trinko/
joy,Take ... Holiday,https://www.nationalreview.com/corner/take-roman-holiday-kathryn-jean-lopez/
neutral,Why ... Explains.,https://www.nationalreview.com/the-campaign-spot/why-hold-rnc-chair-debate-grover-norquist-explains-jim-geraghty/
neutral,Congress ... 2011,https://www.nationalreview.com/corner/congress-should-take-its-time-education-reform-2011-douglas-holtz-eakin/
neutral,More ... Ban,https://www.nationalreview.com/planet-gore/more-stalled-drilling-gulf-despite-lifting-ban-greg-pollowitz/
joy,The ... New,https://www.nationalreview.com/phi-beta-cons/start-something-new-thomas-shakely/
neutral,A ... Future,https://www.nationalreview.com/exchequer/view-future-kevin-d-williamson/
anger,Attacks ... Escalate,https://www.nationalreview.com/corner/attacks-egypts-copts-escalate-paul-marshall/
neutral,Priebus ... Supporters,https://www.nationalreview.com/corner/priebus-picks-two-more-supporters-brian-bolduc/
joy,Something ... Havana,https://www.nationalreview.com/the-feed/something-smells-havana-greg-pollowitz/
disgust,NYC’s ... Mayor,https://www.nationalreview.com/corner/nycs-rubbish-mayor-andrew-stuttaford/
neutral,Don’t ... History,https://www.nationalreview.com/phi-beta-cons/dont-get-phd-history-jane-s-shaw/
