emotion,headline,url
sadness,23 ... Fire,https://www.nbcnews.com/news/world/23-dead-17-missing-after-indonesian-ferry-catches-fire-n702091
joy,Finding ... Billion,https://www.nbcnews.com/pop-culture/movies/finding-dory-success-box-office-goes-hits-record-11-4-n702131
neutral,Trump ... Hacks,https://www.nbcnews.com/politics/politics-news/trump-says-u-s-intel-i-want-them-be-sure-n701961
sadness,Big ... Predictions,https://www.nbcnews.com/storyline/2016-year-in-review/big-data-s-big-misses-2016-was-bad-year-predictions-n701996
fear,Pope ... World,https://www.nbcnews.com/news/world/pope-francis-new-year-address-says-terrorism-casts-bloodstain-over-n702001
neutral,Cologne ... Year,https://www.nbcnews.com/news/world/cologne-police-detain-100s-african-men-over-new-year-n702031
neutral,Meet ... 1/1/17,https://www.nbcnews.com/meet-the-press/meet-press-1-1-17-n702006
neutral,Texas ... Protections,https://www.nbcnews.com/news/us-news/texas-judge-halts-federal-transgender-protections-n701916
sadness,"Queen, ... Cold",https://www.nbcnews.com/news/world/queen-90-misses-new-year-church-service-due-heavy-cold-n701981
neutral,North ... Launch,https://www.nbcnews.com/news/world/north-korea-s-leader-hints-long-range-missile-test-launch-n702036
sadness,New ... Dead,https://www.nbcnews.com/news/world/new-years-attack-istanbul-nightclub-leaves-39-dead-n701926
anger,Pipeline ... Game,https://www.nbcnews.com/storyline/dakota-pipeline-protests/pipeline-protesters-deliver-high-flying-stunt-during-vikings-game-n702116
neutral,2017 ... Them,https://www.nbcnews.com/business/consumer/2017-new-year-s-resolutions-most-popular-how-stick-them-n701891
sadness,At ... Nightclub,https://www.nbcnews.com/news/world/least-35-killed-shooting-turkey-nightclub-n701941
neutral,New ... Drinks,https://www.nbcnews.com/news/us-news/new-year-s-day-brings-laws-regulating-phones-guns-soft-n699986
fear,Turkey ... Nightclub,https://www.nbcnews.com/news/world/chilling-video-shows-gunman-opening-fire-outside-istanbul-nightclub-n702121
joy,New ... Minutes,https://www.nbcnews.com/news/world/new-year-celebrations-around-world-2-minutes-n702011
neutral,Minimum ... 2017,https://www.nbcnews.com/news/us-news/minimum-wages-will-rise-nearly-two-dozen-states-2017-n700831
fear,President ... Attack,https://www.nbcnews.com/news/world/president-obama-briefed-turkey-attack-n701951
neutral,New ... Abuse,https://www.nbcnews.com/news/us-news/new-illinois-law-enlists-hairstylists-prevent-domestic-abuse-n702016
fear,WNBA ... Says,https://www.nbcnews.com/news/sports/wnba-players-were-near-site-istanbul-attack-coach-says-n702066
sadness,Mariah ... Happens',https://www.nbcnews.com/news/us-news/mariah-carey-shrugs-new-year-s-eve-lip-synch-meltdown-n701976
sadness,Actor ... 84,https://www.nbcnews.com/pop-culture/tv/actor-william-christopher-m-s-h-chaplain-dead-84-n701956
fear,Istanbul ... 39,https://www.nbcnews.com/news/world/istanbul-nightclub-attack-manhunt-launched-terrorist-who-killed-39-n701971
fear,Suicide ... Airport,https://www.nbcnews.com/news/world/suicide-car-bomb-kills-3-outside-somalia-s-mogadishu-airport-n702326
sadness,Expelled ... Moscow,https://www.nbcnews.com/news/world/expelled-russian-diplomats-arrive-moscow-n702211
neutral,7 ... More,https://www.nbcnews.com/pop-culture/lifestyle/7-rules-social-etiquette-use-2017-cut-down-oversharing-more-n702316
joy,LAPD's ... Parade,https://www.nbcnews.com/news/latino/lapd-s-1st-latina-commander-cancer-survivor-marches-rose-bowl-n701011
neutral,Lawsuit: ... Food',https://www.nbcnews.com/news/us-news/lawsuit-dude-ranch-owner-asked-chef-black-people-food-n702386
neutral,The ... Them),https://www.nbcnews.com/mach/space/5-biggest-questions-about-universe-how-we-re-trying-answer-n702051
anger,Federal ... Case,https://www.nbcnews.com/news/asian-america/federal-judge-rules-new-jersey-town-discriminated-years-denied-mosque-n702296
neutral,Asian ... Parade,https://www.nbcnews.com/news/asian-america/asian-american-pacific-islander-themed-floats-included-annual-rose-parade-n702271
