emotion,headline,url
neutral,While ... N.H.,https://www.newsmax.com/insidecover/mccain-rises-in-nh/2008/01/01/id/337602/
neutral,Club ... Huckabee,https://www.newsmax.com/insidecover/club-for-growth-huckabee/2008/01/01/id/337603/
neutral,NY ... Bogus,https://www.newsmax.com/insidecover/ny-times--global-warming/2008/01/01/id/322525/
neutral,Obama: ... Bush,https://www.newsmax.com/insidecover/obama--hillary-just-like/2008/01/01/id/322526/
neutral,Key ... Unions,https://www.newsmax.com/us/n-h-same-sex-unions/2008/01/01/id/322527/
joy,Ron ... Million,https://www.newsmax.com/insidecover/ron-paul-$20-million/2008/01/01/id/322528/
fear,Grassley: ... Mistake,https://www.newsmax.com/insidecover/grassley-giuliani-mistake/2008/01/01/id/322529/
joy,Good ... Ahead!,https://www.newsmax.com/finance/davidfrazier/good-times-ahead/2008/01/01/id/323883/
neutral,Financial ... Year,https://www.newsmax.com/finance/davidmarotta/financial-help-new-year/2008/01/02/id/324425/
sadness,Scrooge's ... Nester,https://www.newsmax.com/finance/davidmarotta/fezziwig-is-a-nester/2009/12/12/id/341593/
neutral,McCain ... Poll,https://www.newsmax.com/insidecover/mccain-national-poll/2008/01/02/id/322545/
neutral,Ron ... Poll,https://www.newsmax.com/insidecover/newsmax-poll-leaders/2008/01/02/id/322544/
disgust,Huckabee ... Advice,https://www.newsmax.com/insidecover/huckabee-rejects-rollins/2008/01/02/id/322543/
joy,Pakistan ... Everyone,https://www.newsmax.com/koch/pakistan/2008/01/02/id/322540/
neutral,No ... Iowa,https://www.newsmax.com/insidecover/iowa/2008/01/02/id/322539/
anger,Benazir ... Death,https://www.newsmax.com/hostetter/benazir-bhutto/2008/01/02/id/322537/
anger,9/11 ... Tapes,https://www.newsmax.com/newsfront/kean-hamilton-cia-tapes/2008/01/02/id/322535/
neutral,Election ... Way,https://www.newsmax.com/johnleboutillier/2008/2008/01/02/id/322533/
neutral,Latest ... Lead,https://www.newsmax.com/insidecover/latestpoll-romney-obam/2008/01/02/id/322536/
neutral,Democratic ... Iowa,https://www.newsmax.com/lowellponte/iowa/2008/01/02/id/322534/
neutral,David ... Deal,https://www.newsmax.com/hirsen/writers-strike/2008/01/02/id/322532/
neutral,Pakistan ... Spiral,https://www.newsmax.com/deborchgrave/pakistan/2008/01/02/id/322531/
neutral,Democrats ... Change,https://www.newsmax.com/brennan/democrats/2008/01/02/id/322538/
fear,Will ... 2008?,https://www.newsmax.com/navrozov/china-threat/2008/01/03/id/322553/
neutral,U.S. ... Victim,https://www.newsmax.com/kentimmerman/iran-victim-verdict/2008/01/03/id/337404/
neutral,Libyan ... Department,https://www.newsmax.com/international/shalgam-rice-state/2008/01/03/id/322555/
anger,Bush ... Agents,https://www.newsmax.com/ruddy/border-agents/2008/01/03/id/322551/
neutral,Hollywood ... II,https://www.newsmax.com/hirsen/hollywood-rewind-2007/2008/01/03/id/322554/
neutral,Futures ... Nominee,https://www.newsmax.com/insidecover/futures-market-shows-hill/2008/01/03/id/322549/
sadness,Wead ... Ahead,https://www.newsmax.com/newsfront/republican-nominee/2008/01/03/id/322542/
fear,U.S. ... Inbound,https://www.newsmax.com/us/u-s--warning--dangerous-e/2008/01/03/id/322550/
neutral,Weather ... Billion,https://www.newsmax.com/insidecover/weather-channel-for-sale/2008/01/03/id/322548/
disgust,Huckabee ... Power,https://www.newsmax.com/insidecover/huckabee-entrusts-fate-to/2008/01/03/id/322547/
anger,Lawmakers ... Condemned,https://www.newsmax.com/insidecover/ackerman-christmas/2008/01/03/id/322552/
neutral,Zogby: ... Lead,https://www.newsmax.com/insidecover/zogby--obama-moves-into/2008/01/03/id/322546/
neutral,Hillary ... Ahead,https://www.newsmax.com/insidecover/hillary-admits--more-work/2008/01/04/id/322566/
neutral,Futures ... NH,https://www.newsmax.com/insidecover/futures-market-picks-obam/2008/01/04/id/322565/
neutral,LeBoutillier ... Win,https://www.newsmax.com/insidecover/leboutillier-predicted-ob/2008/01/04/id/322564/
neutral,Analysis: ... Opposite,https://www.newsmax.com/johnleboutillier/obama/2008/01/04/id/322561/
neutral,Cheap ... Again!,https://www.newsmax.com/finance/davidfrazier/cheap-stocks-no/2008/01/04/id/323882/
neutral,Huckabee ... Fluke,https://www.newsmax.com/ronaldkessler/huckabee-fluke/2008/01/04/id/322560/
neutral,Bill ... Kid,https://www.newsmax.com/insidecover/hillary-comeback-kid/2008/01/04/id/322562/
neutral,Hillary ... Ropes,https://www.newsmax.com/morris/hillary-is-out/2008/01/04/id/322559/
neutral,Zogby ... Romney,https://www.newsmax.com/insidecover/mccain-romney-nh-zogby/2008/01/04/id/322558/
sadness,Why ... Lost,https://www.newsmax.com/newsfront/hillary-lost/2008/01/04/id/322556/
neutral,President-Elect ... Obama,https://www.newsmax.com/ruddy/barack-obama/2008/01/04/id/322557/
