emotion,headline,url
neutral,China ... Why,https://www.newsmax.com/finance/streettalk/china-forex-reserves/2009/01/02/id/327404/
disgust,GOP ... Senate,https://www.newsmax.com/insidecover/coleman-franken-recount/2009/01/02/id/327419/
neutral,Madoff ... Bite,https://www.newsmax.com/farber/madoff-scandal-sec/2009/01/02/id/327418/
neutral,Senate ... Entry,https://www.newsmax.com/politics/burris-blagojevich-senate/2009/01/02/id/327416/
sadness,Blues ... Holidays,https://www.newsmax.com/us/holiday-blues-depression/2009/01/02/id/327415/
neutral,Chief ... Too,https://www.newsmax.com/insidecover/roberts-congress-raises/2009/01/02/id/327414/
neutral,Obama ... Only,https://www.newsmax.com/politics/obama-military-ball/2009/01/02/id/327413/
disgust,Housing ... Says,https://www.newsmax.com/finance/streettalk/fitch-housing-worse/2009/01/02/id/327411/
fear,Military ... Obama,https://www.newsmax.com/insidecover/military-poll-obama/2009/01/02/id/327412/
neutral,Most ... Republicans,https://www.newsmax.com/insidecover/moderates-us-senate/2009/01/02/id/327409/
neutral,Bush ... House,https://www.newsmax.com/newsfront/bush-ban-meeting/2009/01/02/id/327408/
neutral,Corzine ... Stimulus,https://www.newsmax.com/finance/streettalk/corzine-stimulus/2009/01/02/id/327410/
neutral,Shilling: ... 2009,https://www.newsmax.com/finance/streettalk/shilling-stocks-down/2009/01/02/id/327406/
neutral,For ... Exile',https://www.newsmax.com/insidecover/inaugural-obama-gop/2009/12/12/id/341725/
neutral,Simple ... Safety,https://www.newsmax.com/us/safety-security-drugs/2009/01/02/id/327407/
sadness,Muslim ... D.C.,https://www.newsmax.com/us/muslims-airtran-dc/2009/01/02/id/327399/
fear,Obama's ... 20,https://www.newsmax.com/reagan/reagan-obama-congress/2009/01/02/id/327401/
surprise,A ... Bailout?,https://www.newsmax.com/insidecover/newspaper-bailout/2009/01/02/id/327400/
fear,In ... Cash,https://www.newsmax.com/finance/streettalk/airlines-cash/2009/01/02/id/327403/
anger,Israel ... Weapons,https://www.newsmax.com/newsfront/israel-gaza-mosque/2009/01/02/id/327397/
sadness,Claiborne ... Dies,https://www.newsmax.com/politics/senator-pell-dies/2009/01/02/id/327396/
sadness,Laffer: ... Disastrous,https://www.newsmax.com/finance/streettalk/laffer-obama-energy/2009/01/02/id/327405/
fear,Hamas ... Everywhere',https://www.newsmax.com/newsfront/hamas/2009/01/02/id/327398/
neutral,Bove: ... Trap,https://www.newsmax.com/finance/streettalk/bove-liquidity-trap/2009/01/02/id/327402/
disgust,Carville ... Streak,https://www.newsmax.com/insidecover/carville-predictions/2009/01/03/id/327422/
disgust,Palestinian ... U.S.,https://www.newsmax.com/newsfront/palestinian-abbas-un/2009/01/03/id/327423/
neutral,Schumer ... Minnesota,https://www.newsmax.com/insidecover/schumer-franken-senate/2009/01/04/id/327428/
neutral,Candidates ... Debate,https://www.newsmax.com/ronaldkessler/rnc-chairman-debate/2009/01/04/id/327425/
sadness,Blagojevich ... Isolated,https://www.newsmax.com/newsfront/blagojevich-allies/2009/01/04/id/327427/
fear,Israel: ... Rockets,https://www.newsmax.com/newsfront/hamas-chinese-rockets/2009/01/04/id/327429/
neutral,Terry ... Gov.,https://www.newsmax.com/politics/mcauliffe-virginia-gov/2009/01/04/id/327430/
neutral,Obama's ... King,https://www.newsmax.com/insiderreport/earmarks-king/2009/01/04/id/337481/
neutral,Former ... Jordan,https://www.newsmax.com/insidecover/bolton-israel-two-states/2009/01/05/id/327434/
