emotion,headline,url
neutral,Rift ... Future,https://www.npr.org/2013/01/01/168031524/rift-with-china-clouds-solar-industrys-future
neutral,What ... You?,https://www.npr.org/2013/01/01/168393850/what-does-senate-budget-deal-mean-for-you
neutral,Senate ... Deal,https://www.npr.org/2013/01/01/168393842/senate-ushers-in-new-year-with-fiscal-cliff-deal
neutral,Hobby ... Mandate,https://www.npr.org/2013/01/01/168397486/hobby-lobby-plans-to-defy-health-care-mandate
neutral,Justice ... Cops,https://www.npr.org/2013/01/01/168364843/justice-wants-banks-to-be-quasi-cops
neutral,What ... 2013,https://www.npr.org/sections/health-shots/2013/01/08/168344168/what-the-health-law-will-bring-in-2013
neutral,U.S. ... 2012,https://www.npr.org/2013/01/01/168393846/business-news
neutral,The ... Monument,https://www.npr.org/2013/01/01/167988928/the-slow-carving-of-the-crazy-horse-monument
neutral,Inside ... Hikes,https://www.npr.org/sections/thetwo-way/2013/01/01/168419337/inside-the-budget-compromise-bill-tax-cuts-and-tax-hikes
neutral,New ... States,https://www.npr.org/2013/01/01/168348945/new-year-brings-minimum-wage-hikes-in-10-states
neutral,Rep. ... House,https://www.npr.org/2013/01/01/168402897/fiscal-cliff-measure-heads-to-the-house
neutral,Can ... Laughter?,https://www.npr.org/2013/01/01/168387783/can-an-algorithm-discover-the-key-to-laughter
fear,'Fiscal ... Obama,https://www.npr.org/2013/01/01/168389678/fiscal-cliff-statement-from-president-obama
neutral,Calendar ... Delivered,https://www.npr.org/2013/01/01/168393848/the-last-word-in-business
neutral,House ... Compromise,https://www.npr.org/2013/01/01/168412759/house-prepares-to-take-up-senate-budget-compromise
neutral,"Drinks, ... 2013",https://www.npr.org/sections/thesalt/2013/01/01/168343452/drinks-diets-and-meat-hits-of-2012-predictions-for-2013
neutral,"Sinema, ... Arizona'",https://www.npr.org/sections/itsallpolitics/2013/01/08/168362011/sinema-first-openly-bisexual-member-of-congress-represents-changing-arizona
neutral,House ... Legislation,https://www.npr.org/sections/thetwo-way/2013/01/01/168400575/ball-in-boehners-court-after-senate-approves-fiscal-cliff-deal
neutral,School ... Bucket,https://www.npr.org/2013/01/01/168397105/school-hopes-bucket-list-would-kick-the-bucket
neutral,Mayor ... Toss,https://www.npr.org/2013/01/01/168396757/mayor-settles-council-election-tie-with-coin-toss
fear,How ... Classrooms,https://www.npr.org/2013/01/01/168345173/-how-deferred-action-will-affect-classrooms
neutral,The ... Documentary,https://www.npr.org/2013/01/01/168345175/the-hobbit-filmmaker-turns-to-crime-documentary
neutral,Hip-Hopping ... Harp,https://www.npr.org/2013/01/01/168345177/hip-hopping-with-a-harp
joy,The ... Event,https://www.npr.org/2013/01/01/168412763/the-rose-parades-evolution-into-a-cultural-event
neutral,The ... Document,https://www.npr.org/2013/01/01/168412765/the-emancipation-proclamation-a-public-document
joy,Peace ... Life',https://www.npr.org/2013/01/01/168346591/peace-pilgrims-28-year-walk-for-a-meaningful-way-of-life
neutral,2013's ... Passwords,https://www.npr.org/2013/01/01/168417039/2013s-new-laws-govern-driverless-cars-employee-passwords
fear,Brazil's ... 'Crackland',https://www.npr.org/2013/01/01/168072712/brazils-drug-epidemic-welcome-to-crackland
