emotion,headline,url
neutral,INSIDERS ... ‘05,https://nypost.com/2005/01/01/insiders-out-big-executive-stock-sales-bode-ill-for-05/
sadness,U.S. ... MISSIONS,https://nypost.com/2005/01/01/u-s-digs-deep-to-save-living-bush-makes-350m-aid-pledge-logjams-block-mercy-missions/
neutral,IT ... ANNIVERSARY,https://nypost.com/2005/01/01/it-seems-like-auld-times-crowds-pack-square-on-bashs-100th-anniversary/
neutral,FINAL ... FAREWELL,https://nypost.com/2005/01/01/final-curtain-for-jerry-stars-bid-orbach-farewell/
neutral,DIRE ... HOLE:THOMPSON,https://nypost.com/2005/01/01/dire-debt-apple-in43b-holethompson/
disgust,MIKE’S ... CARE,https://nypost.com/2005/01/01/mikes-sick-claim-poor-get-better-care/
neutral,NEW ... HURDLE,https://nypost.com/2005/01/01/new-help-on-2012-hurdle/
neutral,YEAR ... FICTION,https://nypost.com/2005/01/01/year-of-despair-small-comfort-its-fiction/
neutral,WAKE ... YOU,https://nypost.com/2005/01/01/wake-up-the-first-day-of-the-year-is-waiting-for-you/
neutral,LILLY ... PAPERS,https://nypost.com/2005/01/01/lilly-is-livid-over-pilfered-prozac-papers/
neutral,CANAL ... CURSE,https://nypost.com/2005/01/01/canal-probe-dredges-up-gov-aides-coarse-curse/
disgust,TRAGIC ... FALL,https://nypost.com/2005/01/01/tragic-drunk-death-fatal-fish-tank-fall/
anger,‘HIT-RUN’ ... KIN,https://nypost.com/2005/01/01/hit-run-driver-panicked-kin/
anger,GRANDMA ... B’KLYN,https://nypost.com/2005/01/01/grandma-strangled-in-bklyn/
anger,S.I. ... HURT,https://nypost.com/2005/01/01/s-i-pedestrian-killed-wife-hurt/
neutral,MODEL ... MIRACLE,https://nypost.com/2005/01/01/model-holds-out-hope-for-miracle/
neutral,HOTHEADS ... TRIO,https://nypost.com/2005/01/01/hotheads-stab-hot-spot-trio/
neutral,‘05 ... REJOICE,https://nypost.com/2005/01/01/05-alive-times-sq-throngs-rejoice/
neutral,PILOTS ... ASSAULTS,https://nypost.com/2005/01/01/pilots-in-laser-alert-warning-on-deliberate-ray-assaults/
neutral,CHARITY ... UNDELIVERED,https://nypost.com/2005/01/01/charity-chaos-lifesaving-supplies-piling-up-undelivered/
neutral,COUNTRYWIDE ... CHSAA,https://nypost.com/2005/01/01/countrywide-props-for-chsaa/
neutral,HERM ... IFFY,https://nypost.com/2005/01/01/herm-says-flu-makes-quincy-iffy/
neutral,HOLIDAY ... GRAMPS,https://nypost.com/2005/01/01/holiday-hope-for-lovelorn-gramps/
neutral,STEPH: ... KIDD-ING,https://nypost.com/2005/01/01/steph-im-the-best-knicks-pg-isnt-kidd-ing/
neutral,JETS ... OWN,https://nypost.com/2005/01/01/jets-relish-chance-to-earn-spot-on-their-own/
anger,GLASS ... FRONT,https://nypost.com/2005/01/01/glass-kicking-nets-need-extreme-makeover-up-front/
neutral,DIRE ... COMPTROLLER,https://nypost.com/2005/01/01/dire-debt-load-apple-in-43b-hole-comptroller/
anger,BURNED ... DUMPSTER,https://nypost.com/2005/01/01/burned-body-in-dumpster/
neutral,GUNMAN ... SHOOT-UP,https://nypost.com/2005/01/01/gunman-in-gas-pump-shoot-up/
anger,LASER ... BUSTED,https://nypost.com/2005/01/01/laser-pointer-busted/
neutral,CITY’S ... ‘63,https://nypost.com/2005/01/01/citys-04-slays-least-since-63/
neutral,MANY ... HELP,https://nypost.com/2005/01/01/many-are-hoping-to-fly-over-and-help/
neutral,COPS ... ‘GRINCHES’,https://nypost.com/2005/01/01/cops-bust-gift-card-grinches/
neutral,RIFLEMAN ... BAG,https://nypost.com/2005/01/01/rifleman-in-the-bag/
sadness,THOUSANDS ... MISSING,https://nypost.com/2005/01/01/thousands-of-americans-still-missing/
neutral,"MOM, ... NIGHTMARE",https://nypost.com/2005/01/01/mom-kid-ok-after-hostage-nightmare/
neutral,‘LANGFUHR’ ... STRAIGHT,https://nypost.com/2005/01/01/langfuhr-wins-third-straight/
neutral,RJ ... MAN,https://nypost.com/2005/01/01/rj-says-jasons-the-man/
neutral,TINO ... THRILLED,https://nypost.com/2005/01/01/tino-home-again-and-thrilled/
neutral,AULD ... AGENDA,https://nypost.com/2005/01/01/auld-lang-sign-beltran-question-tops-yanks-2005-agenda/
neutral,ACCORSI ... FUTURE,https://nypost.com/2005/01/01/accorsi-sees-bright-future/
neutral,"SHOCKEY, ... OUT",https://nypost.com/2005/01/01/shockey-toomer-to-sit-out/
neutral,YANK$ ... ROSTER,https://nypost.com/2005/01/01/yank-present-daunting-roster/
sadness,JAMAL: ... WORRY,https://nypost.com/2005/01/01/jamal-nets-no-worry/
neutral,TOP ... CHARM,https://nypost.com/2005/01/02/top-cats-two-and-a-half-men-struts-into-ranks-of-tvs-best-sitcoms-twos-a-charm/
neutral,‘05 ... COMEBACKS,https://nypost.com/2005/01/02/05-redemption-stories-martha-time-warner-and-others-ready-for-comebacks/
disgust,HOW ... SLIM,https://nypost.com/2005/01/02/how-not-to-look-fat-fat-clothes-made-slim/
neutral,ECONOMISTS ... HIKE,https://nypost.com/2005/01/02/economists-criticize-n-y-wage-hike/
neutral,‘05 ... STORIES,https://nypost.com/2005/01/02/05-redemption-stories/
anger,FIGHTING ... BUCK$,https://nypost.com/2005/01/02/fighting-spiritworth-big-buck/
neutral,MODEL ... BEHAVIOR,https://nypost.com/2005/01/02/model-behavior/
neutral,ON ... MONTHS,https://nypost.com/2005/01/02/on-with-the-shows-all-new-seasons-of-paris-kiefer-and-the-donald-top-the-list-of-hot-viewing-for-the-winter-months/
neutral,RAW ... ‘RWANDA’,https://nypost.com/2005/01/02/raw-tune-jean-says-turmoil-in-haiti-inspired-music-of-rwanda/
neutral,GROOVIN’ ... 2005,https://nypost.com/2005/01/02/groovin-cds-to-rock-to-in-2005/
disgust,MIRED ... DIARIES,https://nypost.com/2005/01/02/mired-in-a-blog-companies-struggle-with-employees-web-diaries/
neutral,DESPERATELY ... DELIVERY,https://nypost.com/2005/01/02/desperately-needed-supplies-sitting-at-airports-as-rains-aftershocks-halt-delivery/
neutral,BLASTS ... 2-8,https://nypost.com/2005/01/02/blasts-from-the-post-a-look-back-at-great-moments-in-sports-jan-2-8/
neutral,WHAT ... NOW,https://nypost.com/2005/01/02/what-shows-to-watch-right-now/
neutral,JASON ... ‘BOARD’,https://nypost.com/2005/01/02/jason-wont-let-vince-get-board/
neutral,PEAK ... GYM,https://nypost.com/2005/01/02/peak-sneaks-sporty-shoes-that-arent-meant-for-the-gym/
