emotion,headline,url
sadness,A ... Swells),https://www.nytimes.com/2006/01/01/realestate/a-mad-decision-to-move-in-together-the-music-swells.html
joy,With ... Prayer,https://www.nytimes.com/2006/01/01/movies/with-a-screenplay-and-a-prayer.html
sadness,Alan ... Systems,https://www.nytimes.com/2006/01/01/us/alan-m-voorhees-is-dead-at-83-designed-transportation-systems.html
disgust,Good ... Helvetica,https://www.nytimes.com/2006/01/01/movies/good-film-shame-about-the-helvetica.html
sadness,Julius ... Importer,https://www.nytimes.com/2006/01/01/nyregion/julius-wile-dies-at-91-wine-importer.html
neutral,Justice ... Program,https://www.nytimes.com/2006/01/01/politics/justice-deputy-resisted-parts-of-spy-program.html
neutral,Mayor's ... Problems,https://www.nytimes.com/2006/01/01/nyregion/mayors-popularity-endures-despite-his-citys-problems.html
neutral,Maybe ... Fishing,https://www.nytimes.com/2006/01/01/business/yourmoney/maybe-the-stock-pickers-have-gone-fishing.html
neutral,Master ... Game,https://www.nytimes.com/2006/01/01/books/review/master-of-the-game.html
neutral,Tucson: ... Spa,https://www.nytimes.com/2006/01/01/travel/tucson-jw-marriott-starr-pass-resort-spa.html
neutral,Marisa ... Anderson,https://www.nytimes.com/2006/01/01/fashion/weddings/marisa-mclaughlin-samuel-anderson.html
anger,Coach ... Accusations,https://www.nytimes.com/2006/01/01/sports/othersports/coach-suspended-amid-accusations.html
neutral,2006 ... Yesterday,https://www.nytimes.com/2006/01/01/weekinreview/2006-is-so-yesterday.html
neutral,With ... M.V.P.,https://www.nytimes.com/2006/01/01/sports/football/with-95yard-touchdown-run-barber-makes-his-case-for-mvp.html
joy,Allocating ... Co-op,https://www.nytimes.com/2006/01/01/realestate/allocating-shares-in-a-coop.html
anger,Man ... Murder,https://www.nytimes.com/2006/01/01/nyregion/man-charged-with-murder.html
neutral,Amelia ... Sanders,https://www.nytimes.com/2006/01/01/fashion/weddings/amelia-kahaney-gabriel-sanders.html
neutral,Making ... Issues,https://www.nytimes.com/2006/01/01/weekinreview/making-a-push-on-pocketbook-issues.html
neutral,Katharine ... Hill,https://www.nytimes.com/2006/01/01/fashion/weddings/katharine-wilson-thomas-hill.html
neutral,Making ... 2006,https://www.nytimes.com/2006/01/01/opinion/making-poverty-history-in-2006.html
neutral,Inside ... List,https://www.nytimes.com/2006/01/01/books/review/inside-the-list.html
sadness,Syrian ... Treason,https://www.nytimes.com/2006/01/01/world/middleeast/syrian-critic-is-accused-of-treason.html
neutral,Why ... Matter,https://www.nytimes.com/2006/01/01/opinion/why-slaveera-barriers-to-black-literacy-still-matter.html
neutral,Why ... Indeed,https://www.nytimes.com/2006/01/01/travel/why-not-indeed.html
joy,Why ... Evolved,https://www.nytimes.com/2006/01/01/opinion/why-im-happy-i-evolved.html
sadness,Robbing ... Hits,https://www.nytimes.com/2006/01/01/business/yourmoney/robbing-peter-to-pay-pauls-cause-when-disaster-hits.html
neutral,Rider ... Prose,https://www.nytimes.com/2006/01/01/books/review/rider-of-the-purple-prose.html
neutral,Resolved ... Travel,https://www.nytimes.com/2006/01/01/travel/resolved-for-2006-finding-new-ways-to-travel.html
sadness,Guatemala ... Vengeance,https://www.nytimes.com/2006/01/01/world/guatemala-bleeds-in-vise-of-gangs-and-vengeance.html
surprise,Guess ... Tubes,https://www.nytimes.com/2006/01/01/weekinreview/guess-whats-in-the-new-test-tubes.html
neutral,Aid ... Retail?,https://www.nytimes.com/2006/01/01/education/aid-lets-smaller-colleges-ask-why-pay-for-ivy-league-retail.html
anger,Gunmen ... Jobs,https://www.nytimes.com/2006/01/01/world/middleeast/gunmen-take-over-palestinian-office-in-gaza-seeking-jobs.html
neutral,New ... Monday,https://www.nytimes.com/2006/01/01/nyregion/new-years-day-is-legally-observed-on-monday.html
joy,His ... Friends,https://www.nytimes.com/2006/01/01/books/review/his-brilliant-friends.html
fear,The ... Limits,https://www.nytimes.com/2006/01/01/weekinreview/the-army-faced-with-its-limits.html
neutral,My ... You,https://www.nytimes.com/2006/01/01/fashion/sundaystyles/my-resolutions-for-you.html
neutral,Mr. ... Encore,https://www.nytimes.com/2006/01/01/opinion/mr-bloombergs-encore.html
neutral,Movies ... TV,https://www.nytimes.com/2006/01/01/arts/television/movies-on-tv.html
