emotion,headline,url
neutral,Murtha: ... purchases,https://www.politico.com/story/2009/06/murtha-may-expand-tanker-purchases-024141
anger,W.H. ... funds,https://www.politico.com/story/2009/06/wh-says-it-would-veto-f-22-funds-024171
neutral,'Locker' ... Iraq,https://www.politico.com/story/2009/07/locker-opens-window-on-iraq-024547
neutral,"Blackwater, ... brass",https://www.politico.com/story/2009/07/blackwater-behind-the-brass-025140
sadness,AP ... Marine,https://www.politico.com/story/2009/09/ap-explains-picture-of-dying-marine-026762
surprise,Calm ... war,https://www.politico.com/story/2009/09/calm-then-sudden-death-in-afghan-war-026763
anger,Fighter ... ruckus,https://www.politico.com/story/2009/09/fighter-prompts-k-street-ruckus-027408
neutral,Pentagon ... models,https://www.politico.com/story/2009/02/pentagon-pushes-for-newer-models-018563
fear,Lynn ... Senate,https://www.politico.com/story/2009/02/lynn-nomination-stalls-in-senate-018688
neutral,Lynn ... Senate,https://www.politico.com/story/2009/02/lynn-confirmed-by-the-senate-018750
neutral,Congress ... contractors,https://www.politico.com/story/2009/02/congress-looks-to-clean-up-contractors-018736
anger,Pols ... excess,https://www.politico.com/story/2009/02/pols-denounce-new-helicopter-excess-019333
neutral,Growing ... past,https://www.politico.com/story/2009/02/growing-military-budget-a-thing-of-the-past-019370
fear,Missile ... ahead,https://www.politico.com/story/2009/03/missile-backers-see-danger-ahead-019626
neutral,Contractors ... areas,https://www.politico.com/story/2009/03/contractors-look-for-growth-areas-020183
neutral,Leniency ... leaker,https://www.politico.com/story/2009/06/leniency-for-aipac-leaker-023671
neutral,Department ... Gates,https://www.politico.com/story/2009/01/department-of-defense-robert-gates-017241
sadness,Pentagon ... cut,https://www.politico.com/story/2009/01/pentagon-service-means-pay-cut-018123
neutral,Dodd ... bill,https://www.politico.com/story/2009/11/dodd-to-unveil-financial-regulation-bill-029335
neutral,'The ... D.C.,https://www.politico.com/story/2009/11/the-bloomberg-way-comes-to-dc-029526
neutral,Summers: ... U.S.,https://www.politico.com/story/2009/12/summers-firms-should-help-us-030036
neutral,Can ... pay?,https://www.politico.com/story/2009/08/can-wh-clean-up-executive-pay-026327
neutral,Deficit ... trillion,https://www.politico.com/story/2009/08/deficit-projection-grows-by-2-trillion-026421
neutral,Winds ... Street?,https://www.politico.com/story/2009/08/winds-shifting-for-wall-street-026487
neutral,Arena ... seat?,https://www.politico.com/story/2009/09/arena-digest-deficits-back-seat-or-front-seat-026614
anger,Frank: ... guy',https://www.politico.com/story/2009/09/frank-chris-dodd-no-stupid-guy-026990
fear,Whodunit? ... dollar,https://www.politico.com/story/2009/10/whodunit-sneak-attack-on-us-dollar-028091
neutral,VIDEO: ... video,https://www.politico.com/story/2009/10/video-this-week-in-video-028679
neutral,Obama ... agency,https://www.politico.com/story/2009/06/obama-to-create-new-agency-023790
neutral,Frank ... admin,https://www.politico.com/story/2009/06/frank-says-alls-well-with-admin-023533
neutral,Arena ... helpful?,https://www.politico.com/story/2009/06/arena-digest-are-financial-regulations-helpful-023851
anger,A ... books,https://www.politico.com/story/2009/06/a-push-to-open-the-pentagons-books-024156
anger,Sanford ... too,https://www.politico.com/story/2009/06/sanford-betrayed-fiscals-too-024333
sadness,W.H. ... far,https://www.politico.com/story/2009/07/wh-foreclosure-plan-a-bust-so-far-025095
anger,House ... banks,https://www.politico.com/story/2009/07/house-dems-wage-pr-war-on-banks-025272
disgust,Obama ... cash,https://www.politico.com/story/2009/07/obama-camp-labors-to-return-bad-cash-025420
neutral,W.H. ... lunch,https://www.politico.com/story/2009/07/wh-makes-ceos-pay-for-lunch-025627
sadness,W.H. ... budget,https://www.politico.com/story/2009/05/wh-seeks-17b-in-cuts-in-2010-budget-022195
neutral,5 ... stressful,https://www.politico.com/story/2009/05/5-ways-wh-made-tests-less-stressful-022241
neutral,Stress ... $75B,https://www.politico.com/story/2009/05/stress-tests-show-banks-need-75b-022245
neutral,3 ... fate,https://www.politico.com/story/2009/05/3-trustees-to-decide-aigs-fate-022437
anger,Union ... Street,https://www.politico.com/story/2009/06/union-leaders-target-wall-street-023248
neutral,FSTC ... Roundtable,https://www.politico.com/story/2009/06/fstc-fuses-with-financial-services-roundtable-023349
neutral,VIDEO ... Copenhagen,https://www.politico.com/story/2009/12/video-blogging-from-copenhagen-030297
surprise,Does ... Obama?,https://www.politico.com/story/2009/12/does-world-expect-too-much-of-obama-030369
neutral,POLITICO ... Hertzog,https://www.politico.com/story/2009/12/politico-q-a-brian-hertzog-030383
neutral,A ... environmentalist,https://www.politico.com/story/2009/07/a-natural-environmentalist-024754
fear,A ... call,https://www.politico.com/story/2009/07/a-personal-wake-up-call-024749
neutral,Waxman's ... learned,https://www.politico.com/story/2009/07/waxmans-book-shows-lessons-learned-024836
joy,Greens ... Sotomayor,https://www.politico.com/story/2009/07/greens-energetic-about-sotomayor-024930
anger,Farm ... bill,https://www.politico.com/story/2009/07/farm-lobby-divided-over-climate-bill-025525
neutral,Clean ... steam,https://www.politico.com/story/2009/08/clean-energy-loan-picks-up-steam-025882
neutral,New ... campaign,https://www.politico.com/story/2009/10/new-twist-in-astroturf-coal-campaign-028319
neutral,Ag. ... greens,https://www.politico.com/story/2009/10/ag-nomination-steams-greens-028722
neutral,The ... movement,https://www.politico.com/story/2009/12/the-muscle-of-the-movement-030062
neutral,Stimulus ... enviros,https://www.politico.com/story/2009/02/stimulus-changes-may-roil-enviros-018451
anger,"Senators, ... bank",https://www.politico.com/story/2009/02/senators-greens-spar-over-energy-bank-018796
neutral,Clinton ... Grid,https://www.politico.com/story/2009/02/clinton-and-gore-talk-smart-grid-019194
