emotion,headline,url
neutral,Don't ... Yet,https://reason.com/2006/01/01/dont-ask-yet-2/
neutral,Kentucky ... Days,https://reason.com/2006/01/01/kentucky-school-days-2/
neutral,Balance ... Sheet,https://reason.com/2006/01/01/balance-sheet-94/
neutral,Artifact: ... Power,https://reason.com/2006/01/01/artifact-virtual-people-power/
surprise,Editor's ... Picture,https://reason.com/2006/01/01/editors-note-the-really-big-pi/
joy,Giving ... Store,https://reason.com/2006/01/01/giving-away-the-store-to-get-a-2/
neutral,Data: ... Rich,https://reason.com/2006/01/01/data-treat-the-rich/
anger,Rant: ... Helmets,https://reason.com/2006/01/01/rant-critics-in-blue-helmets/
neutral,From ... Miller,https://reason.com/2006/01/01/from-bob-woodward-to-judith-mi-2/
neutral,Geena ... President,https://reason.com/2006/01/01/geena-davis-is-not-my-presiden-2/
neutral,25 ... Reason,https://reason.com/2006/01/01/25-years-ago-in-reason-27/
fear,Mistakes ... Made,https://reason.com/2006/01/01/mistakes-will-be-made-2/
sadness,"Sorry, ... Number",https://reason.com/2006/01/01/sorry-wrong-number-3/
neutral,Byrd ... Watching,https://reason.com/2006/01/01/byrd-watching-2/
neutral,"Takings, ... 2",https://reason.com/2006/01/01/takings-take-2-2/
sadness,Stop ... Music,https://reason.com/2006/01/01/stop-the-music-2/
neutral,Scare ... Quotes,https://reason.com/2006/01/01/scare-quotes-2/
neutral,Sarbanes-Oxley ... Press,https://reason.com/2006/01/01/sarbanes-oxley-vs-the-free-pre-2/
neutral,The ... Out,https://reason.com/2006/01/01/the-tsars-come-out-2/
neutral,The ... Sharer,https://reason.com/2006/01/01/the-secret-sharer-2/
disgust,Soundbite: ... Methods,https://reason.com/2006/01/01/soundbite-unscientific-methods/
fear,Who's ... Enhancement?,https://reason.com/2006/01/01/whos-afraid-of-human-enhanceme-2/
neutral,"I, ... T-Shirt",https://reason.com/2006/01/01/i-t-shirt-2/
neutral,Totalitarian ... Busybodies,https://reason.com/2006/01/01/totalitarian-busybodies-2/
neutral,The ... Persuader,https://reason.com/2006/01/01/the-gentle-persuader-3/
neutral,You ... Careful,https://reason.com/2006/01/01/you-can-be-too-careful-2/
neutral,The ... Cradle,https://reason.com/2006/01/01/the-books-that-rock-the-cradle-2/
neutral,That ... Cachet,https://reason.com/2006/01/01/that-chemo-cachet-2/
sadness,So ... Different,https://reason.com/2006/01/01/so-this-is-the-new-year-and-i/
neutral,Quotes ... Quotes,https://reason.com/2006/01/01/quotes-115/
surprise,Do ... Sexy?,https://reason.com/2006/01/02/do-ya-think-im-sexy/
neutral,Expert ... Aren't,https://reason.com/2006/01/02/expert-predictions-often-arent/
sadness,Curse ... Opportunities,https://reason.com/2006/01/02/curse-missed-opportunities/
neutral,Crystal ... 2006,https://reason.com/2006/01/02/crystal-ball-2006/
neutral,How ... Stories,https://reason.com/2006/01/03/how-it-may-become-necessary-to/
neutral,Kill ... Hi,https://reason.com/2006/01/03/kill-that-hi/
disgust,Ambivalence ... Immigrants,https://reason.com/2006/01/03/ambivalence-about-illegal-immi/
neutral,Mr. ... Says,https://reason.com/2006/01/03/mr-churchill-says/
neutral,Outsourcing ... Hall,https://reason.com/2006/01/03/outsourcing-city-hall/
neutral,Vol. ... 1,https://reason.com/2006/01/03/vol-9-no-1/
neutral,Doesn't ... 2?,https://reason.com/2006/01/03/doesnt-1-divided-by-1-2-divide/
neutral,The ... Shortage,https://reason.com/2006/01/03/the-educated-man-shortage/
neutral,"Attn, ... Follow",https://reason.com/2006/01/03/attn-big-apple-reasonoids-ron/
disgust,Blow ... Eyes,https://reason.com/2006/01/03/blow-smoke-in-their-eyes/
neutral,Monopoly ... Settlers,https://reason.com/2006/01/03/monopoly-vs-settlers/
anger,Wanted—Dangerous ... Ideas,https://reason.com/2006/01/03/wanted-dangerous-ideas/
neutral,Give ... Hurts,https://reason.com/2006/01/03/give-till-it-hurts-2/
neutral,One ... Edition),https://reason.com/2006/01/03/one-more-reason-to-love-rhode/
neutral,Abramoff ... Begin,https://reason.com/2006/01/03/abramoff-cops-a-plea-let-the-h/
neutral,Medical ... Apply,https://reason.com/2006/01/04/medical-marijuana-users-need-n/
sadness,As ... Dying,https://reason.com/2006/01/04/as-he-lay-dying-2/
sadness,I've ... Sleepless,https://reason.com/2006/01/04/ive-got-the-pill-to-drive-myse/
disgust,Punditry ... Profit,https://reason.com/2006/01/04/punditry-for-politics-and-prof/
sadness,Sharon ... Stroke,https://reason.com/2006/01/04/sharon-suffers-stroke/
neutral,Braindead ... Dead,https://reason.com/2006/01/04/braindead-vs-actual-dead/
surprise,"""Congratulations! ... libertarian""",https://reason.com/2006/01/04/congratulations-youre-not-a-li/
neutral,Federalist ... Federalist,https://reason.com/2006/01/04/federalist-vs-federalist/
neutral,One ... Edition),https://reason.com/2006/01/04/one-more-reason-to-love-vermon/
neutral,Sandy ... Eternal,https://reason.com/2006/01/04/sandy-springs-eternal/
neutral,.001—Good ... Work!,https://reason.com/2006/01/04/001-good-enough-for-government/
neutral,Neo-cons ... Letters,https://reason.com/2006/01/04/neo-cons-get-letters/
surprise,The ... Music,https://reason.com/2006/01/05/the-sound-of-music/
neutral,Truth—the ... Propaganda?,https://reason.com/2006/01/05/truth-the-best-propaganda/
disgust,Fellatious ... Theology,https://reason.com/2006/01/05/fellatious-theology/
disgust,Really ... Edition),https://reason.com/2006/01/05/really-bad-coverage-of-the-mla/
neutral,Data ... Mining,https://reason.com/2006/01/05/data-mining/
joy,The ... Me,https://reason.com/2006/01/05/the-exquisite-pain-of-making-e/
neutral,View ... Ward,https://reason.com/2006/01/05/view-from-the-9th-ward/
neutral,Medical ... Numbered,https://reason.com/2006/01/05/medical-marijuanas-days-are-nu/
neutral,Hiding ... Sight,https://reason.com/2006/01/05/hiding-in-plain-sight/
neutral,Prescriptions ... Disaster,https://reason.com/2006/01/06/prescriptions-for-disaster/
neutral,Mark ... Beasts,https://reason.com/2006/01/06/mark-of-the-beasts/
neutral,Battle ... Burners,https://reason.com/2006/01/06/battle-of-the-bunsen-burners/
joy,A ... Abramoff,https://reason.com/2006/01/06/a-favor-from-don-abramoff/
neutral,Did ... Meth?,https://reason.com/2006/01/06/did-they-molest-the-meth/
neutral,"Attn, ... Wine!",https://reason.com/2006/01/06/attn-nyc-reasonoids-bailey-deb/
neutral,Pat ... Again,https://reason.com/2006/01/06/pat-robertson-speaks-in-tongue/
neutral,Who ... Kennedy?,https://reason.com/2006/01/06/who-killed-the-kennedy/
disgust,Smoking ... N.J.,https://reason.com/2006/01/06/smoking-bans-in-dc-and-nj/
neutral,Who ... Abramoff?,https://reason.com/2006/01/06/who-is-jack-abramoff/
fear,Stop ... Again,https://reason.com/2006/01/06/stop-me-before-i-gamble-again/
neutral,Wheels ... Slowly,https://reason.com/2006/01/06/wheels-of-justice-grind-too-sl/
neutral,Pat ... loon,https://reason.com/2006/01/07/pat-may-be-a-loon-but-hes-our/
neutral,Smarten ... Friday,https://reason.com/2006/01/09/smarten-up-on-public-schools-t/
neutral,Beyond ... Marijuana,https://reason.com/2006/01/09/beyond-medical-marijuana/
disgust,When ... Paradise,https://reason.com/2006/01/09/when-strangers-judge-paradise/
neutral,"Attn, ... 10!",https://reason.com/2006/01/09/attn-nyc-reasonoids-ron-bailey-3/
disgust,"Dammit, ... Doctors",https://reason.com/2006/01/09/dammit-theyre-policemen-not-do/
neutral,Charlotte ... Approves,https://reason.com/2006/01/09/charlotte-allen-approves/
joy,If ... Immigrant,https://reason.com/2006/02/01/if-you-enjoyed-your-christmast/
neutral,The ... Revolutionaries,https://reason.com/2006/02/01/the-eccentric-revolutionaries-2/
fear,The ... Silence,https://reason.com/2006/02/01/the-grounds-of-silence/
neutral,Mark ... Sawyer,https://reason.com/2006/02/01/mark-twain-vs-tom-sawyer-2/
neutral,Persian ... Letters,https://reason.com/2006/02/01/persian-letters-2/
neutral,Hold ... News,https://reason.com/2006/02/01/hold-the-good-news-2/
neutral,America's ... Policy,https://reason.com/2006/02/01/americas-criminal-immigration-2/
neutral,Good ... Migrations,https://reason.com/2006/02/01/good-migrations-2/
neutral,Couch ... Subsidies,https://reason.com/2006/02/01/couch-potato-subsidies-2/
surprise,Blowing ... Steam,https://reason.com/2006/02/01/blowing-off-steam-2/
neutral,The ... Show,https://reason.com/2006/02/01/the-truman-show/
neutral,The ... Edition),https://reason.com/2006/02/01/the-songs-all-sound-the-same-s/
disgust,The ... Environmentalism,https://reason.com/2006/02/01/the-age-of-corporate-environme-2/
neutral,Which ... Again?,https://reason.com/2006/02/01/which-way-does-that-slippery-s/
neutral,Were ... Retroactively?,https://reason.com/2006/02/01/were-bushs-policies-so-effecti/
neutral,"Attn, ... Think)",https://reason.com/2006/02/01/attn-dc-reasonoids-size-matter/
neutral,A ... Dreams,https://reason.com/2006/02/01/a-little-poison-now-and-then-t/
neutral,For ... E-letters,https://reason.com/2006/02/01/for-zods-sake-subscribe-to-the/
neutral,"The ... Struggle""",https://reason.com/2006/02/01/the-gibberish-of-genuine-strug/
neutral,Citizens' ... Agency,https://reason.com/2006/02/01/citizens-intelligence-agency/
neutral,There ... cop,https://reason.com/2006/02/01/there-wouldnt-be-no-trouble-ex/
sadness,Zoned ... Out,https://reason.com/2006/02/01/zoned-out-5/
neutral,"Twinkle, ... Kaine",https://reason.com/2006/02/01/twinkle-twinkle-killer-kaine/
disgust,Smears ... Cyberspace,https://reason.com/2006/02/01/smears-in-cyberspace-2/
anger,Six ... Barriers,https://reason.com/2006/02/01/six-reasons-to-kill-farm-subsi/
neutral,The ... Science,https://reason.com/2006/02/01/the-politics-of-science/
disgust,"Blood, ... Entertainment",https://reason.com/2006/02/01/blood-guts-and-entertainment-2/
neutral,Fruit ... Use,https://reason.com/2006/02/01/fruit-use-2/
neutral,Mini ... Moguls,https://reason.com/2006/02/01/mini-media-moguls-2/
neutral,DUI ... Judgment,https://reason.com/2006/02/01/dui-judgment-2/
neutral,Outsource ... Locally,https://reason.com/2006/02/01/outsource-locally-2/
neutral,Artifact: ... Moose,https://reason.com/2006/02/01/artifact-the-case-of-the-invis/
anger,The ... Sedition,https://reason.com/2006/02/01/the-war-on-sedition-2/
disgust,Oiling ... Justice,https://reason.com/2006/02/01/oiling-the-machinery-of-justic/
neutral,Contributors ... Contributors,https://reason.com/2006/02/01/contributors-109/
neutral,Letters ... Letters,https://reason.com/2006/02/01/letters-318/
sadness,Paging ... Elders,https://reason.com/2006/02/01/paging-joycelyn-elders/
sadness,Happiness ... Taxes,https://reason.com/2006/02/01/happiness-ishigher-taxes-2/
neutral,Full ... SOTU,https://reason.com/2006/02/01/full-text-of-sotu/
neutral,Better ... Around,https://reason.com/2006/02/01/better-not-shop-around-2/
sadness,Getting ... Hosed,https://reason.com/2006/02/02/getting-hosed-2/
disgust,A ... Meddling,https://reason.com/2006/02/02/a-family-friendly-smoke-free-a/
neutral,GOP ... EVER,https://reason.com/2006/02/02/gop-4-ever/
disgust,First ... Welch)…,https://reason.com/2006/02/02/first-they-came-for-the-urine/
surprise,Reason ... Town,https://reason.com/2006/02/02/reason-writers-around-town-144/
neutral,Boehner's ... Ark,https://reason.com/2006/02/02/boehners-ark/
anger,"""We ... Unanswered""",https://reason.com/2006/02/02/we-cannot-let-this-reprehensib/
anger,Blasphemy ... here,https://reason.com/2006/02/02/blasphemy-in-denmark-and-here/
neutral,"Reading, ... Heteronormativity",https://reason.com/2006/02/02/reading-writing-and-heteronorm/
disgust,The ... Censorship,https://reason.com/2006/02/02/the-virtues-of-chinese-censors/
sadness,Police ... Sheehan,https://reason.com/2006/02/02/police-apologize-to-cindy-shee/
neutral,A ... STOP,https://reason.com/2006/02/02/a-tradition-of-a-century-and-a/
disgust,Beating ... Addiction,https://reason.com/2006/02/03/beating-oil-addiction/
neutral,The ... Muhammad,https://reason.com/2006/02/03/the-mountain-comes-to-muhammad/
disgust,Alcohol ... Planet,https://reason.com/2006/02/03/alcohol-saves-the-planet/
neutral,The ... Armed,https://reason.com/2006/02/03/the-prophet-armed/
neutral,Gangs ... Jersey,https://reason.com/2006/02/03/gangs-of-new-jersey/
surprise,Dems ... Politics,https://reason.com/2006/02/03/dems-rapidly-becoming-the-minn/
neutral,Brokeback ... Future,https://reason.com/2006/02/03/brokeback-to-the-future/
fear,Things ... Homicide,https://reason.com/2006/02/03/things-that-could-drive-me-to/
neutral,Congress' ... College,https://reason.com/2006/02/03/congress-message-to-the-nation/
neutral,"More ... Addiction""",https://reason.com/2006/02/03/more-on-the-us-oil-addiction/
neutral,Voter ... Drugs,https://reason.com/2006/02/03/voter-guide-for-critics-of-the/
anger,Prophet ... Shore,https://reason.com/2006/02/03/prophet-on-the-burning-shore/
fear,Horrible ... News,https://reason.com/2006/02/03/horrible-news/
neutral,Further ... Bamboozlement,https://reason.com/2006/02/04/further-foggy-bottom-bamboozle/
anger,I ... it,https://reason.com/2006/02/05/i-was-so-offended-by-it-that-i/
neutral,Innovation ... Jillette,https://reason.com/2006/02/05/innovation-is-jillette/
fear,"Attn, ... 14",https://reason.com/2006/02/05/attn-dc-reasonoids-ronald-bail/
neutral,Are ... Power?,https://reason.com/2006/02/05/are-lefties-re-embracing-nucul/
anger,Fire ... Beirut,https://reason.com/2006/02/05/fire-in-beirut/
surprise,Michael ... Results!,https://reason.com/2006/02/05/michael-young-gets-results/
anger,"Cartoon ... it!""",https://reason.com/2006/02/05/cartoon-logic-or-all-the-other/
neutral,WTO ... Tomorrow,https://reason.com/2006/02/06/wto-biotech-ruling-expected-to/
