emotion,headline,url
neutral,His ... Bag,https://slate.com/human-interest/2009/01/the-overeducated-store-clerk-s-dilemma.html
joy,2008: ... Riddance,https://slate.com/news-and-politics/2009/01/no-truce-in-gaza-market-lost-6-9-trillion-in-2008.html
joy,Welcome ... Astronomy!,https://slate.com/technology/2009/01/welcome-to-the-international-year-of-astronomy.html
neutral,American ... astrology,https://slate.com/technology/2009/01/american-public-media-promotes-astrology.html
anger,Mike ... job,https://slate.com/technology/2009/01/mike-griffin-s-wife-pleads-for-his-job.html
neutral,Vote ... Account,https://slate.com/news-and-politics/2009/01/tips-for-budding-politicians-on-how-to-avoid-embarrassment-on-facebook.html
neutral,Well ... Cryovacked,https://slate.com/human-interest/2009/01/the-story-of-the-cow-from-four-legged-co-worker-to-shrink-wrapped-cutlet.html
neutral,Reading ... Fundamental,https://slate.com/human-interest/2009/01/how-to-help-your-child-learn-to-read.html
neutral,Two ... year,https://slate.com/technology/2009/01/two-interviews-for-the-new-year.html
neutral,Pitadolia ... Pitadolia,https://slate.com/technology/2009/01/pitadolia.html
joy,Huge ... news!,https://slate.com/technology/2009/01/huge-doctor-who-news.html
neutral,Pareitileia ... Pareitileia,https://slate.com/technology/2009/01/pareitileia.html
anger,Fight ... vaccination!,https://slate.com/technology/2009/01/fight-harder-for-vaccination.html
joy,Repost: ... Resolution,https://slate.com/technology/2009/01/repost-my-new-year-s-resolution.html
neutral,Black ... Song,https://slate.com/news-and-politics/2009/01/what-s-in-the-new-york-times-magazine-the-economist-time-vanity-fair-and-the-nation.html
neutral,tk ... tk,https://slate.com/business/2009/01/tk.html
anger,Israel ... Leader,https://slate.com/news-and-politics/2009/01/israel-carries-out-first-targeted-assassination-since-saturday-and-steps-up-cease-fire-talks.html
surprise,The ... Who!,https://slate.com/technology/2009/01/the-new-doctor-who.html
neutral,Carnival ... #85,https://slate.com/technology/2009/01/carnival-of-space-85.html
neutral,Was ... Thrush?,https://slate.com/news-and-politics/2009/01/a-fray-editor-bids-farewell.html
neutral,Spit ... “Madoff”,https://slate.com/business/2009/01/palm-beach-s-ultrarich-say-madoff-s-name-and-then-spit.html
neutral,Brief ... Guantanamo?,https://slate.com/news-and-politics/2009/01/obama-faces-tough-call-on-al-marri-the-contest-to-rule-the-rnc-heats-up.html
disgust,Does ... fat?,https://slate.com/technology/2009/01/does-this-perihelion-make-my-sun-look-fat.html
neutral,Evolution ... robots,https://slate.com/technology/2009/01/evolution-of-robots.html
