emotion,headline,url
sadness,A ... Gloom,https://www.theatlantic.com/magazine/archive/2006/01/a-seasonal-shot-of-necessary-gloom/304552/
neutral,A ... Pandemic,https://www.theatlantic.com/magazine/archive/2006/01/a-new-pandemic/304542/
neutral,Appalachian ... Hardship,https://www.theatlantic.com/magazine/archive/2006/01/appalachian-hardship/304544/
neutral,The ... O'Connor,https://www.theatlantic.com/magazine/archive/2006/01/the-case-of-alito-v-oconnor/304546/
sadness,Bush's ... War,https://www.theatlantic.com/magazine/archive/2006/01/bushs-battle-endangers-the-war/304547/
neutral,"Win, ... Draw",https://www.theatlantic.com/magazine/archive/2006/01/win-lose-draw/304548/
neutral,Confidence ... Gap,https://www.theatlantic.com/magazine/archive/2006/01/confidence-gap/304549/
neutral,Security ... Measures,https://www.theatlantic.com/magazine/archive/2006/01/security-measures/304550/
joy,The ... Dance,https://www.theatlantic.com/magazine/archive/2006/01/the-happy-dance/304553/
disgust,Sharon's ... Unhinged,https://www.theatlantic.com/magazine/archive/2006/01/sharons-party-unhinged/304554/
neutral,Honest ... Dodgers,https://www.theatlantic.com/magazine/archive/2006/01/honest-nominees-and-artless-dodgers/304551/
sadness,Memoirs ... Steroids,https://www.theatlantic.com/magazine/archive/2006/01/memoirs-on-steroids/304556/
neutral,Paper ... Trail,https://www.theatlantic.com/magazine/archive/2006/01/paper-trail/304557/
neutral,Why ... Spending,https://www.theatlantic.com/magazine/archive/2006/01/why-republicans-cant-cut-spending/304558/
neutral,The ... Analogy,https://www.theatlantic.com/magazine/archive/2006/01/the-weimar-analogy/304555/
neutral,Who ... Hollywood?,https://www.theatlantic.com/magazine/archive/2006/01/who-needs-hollywood/304559/
neutral,K ... Connection,https://www.theatlantic.com/magazine/archive/2006/01/k-streets-capitol-connection/304560/
neutral,Bush ... Point,https://www.theatlantic.com/magazine/archive/2006/01/bush-and-his-critics-miss-the-point/304567/
neutral,Ford's ... Ride,https://www.theatlantic.com/magazine/archive/2006/01/fords-rough-ride/304568/
neutral,Mags ... Alive,https://www.theatlantic.com/magazine/archive/2006/01/mags-alive/304569/
disgust,Rove's ... Prescription,https://www.theatlantic.com/magazine/archive/2006/01/roves-anti-itch-prescription/304570/
neutral,The ... Man',https://www.theatlantic.com/entertainment/archive/2006/01/the-movie-review-grizzly-man/69418/
