emotion,headline,url
fear,Woman ... Neighbors,https://www.theblaze.com/news/2015/01/01/woman-in-trouble-with-the-law-after-mailing-cow-poop-to-her-neighbors
surprise,Mom ... Arrived,https://www.theblaze.com/news/2015/01/01/it-was-pretty-freaky-mother-and-her-teenage-sons-were-reportedly-just-minutes-from-drowning-when-these-christian-surfers-arrived
neutral,Did ... Morgan?,https://www.theblaze.com/news/2015/01/01/new-years-eve-on-cnn-started-with-an-apology-and-ended-with-anderson-coopers-hair-painted-red-white-and-blue
sadness,Veteran ... Struck.,https://www.theblaze.com/news/2015/01/01/veteran-and-his-wife-were-convinced-he-had-als-the-va-they-refused-to-even-test-him-last-week-tragedy-struck
neutral,Catholic ... Said.,https://www.theblaze.com/news/2015/01/01/court-rejects-catholic-firefighters-claim-that-being-forced-to-drive-a-truck-in-a-gay-pride-parade-violated-their-constitutional-rights
sadness,First ... Buried,https://www.theblaze.com/news/2015/01/01/first-passenger-from-missing-airasia-flight-has-been-identified-and-buried
sadness,New ... Say,https://www.theblaze.com/news/2015/01/01/police-officer-responding-to-an-emergency-call-hits-something-in-the-road-then-makes-a-horrifying-discovery
neutral,What's ... Eve?,https://www.theblaze.com/news/2015/01/01/whats-behind-the-mysterious-phrase-scrawled-on-a-boat-that-washed-ashore-on-christmas-eve
surprise,Missing ... Spot,https://www.theblaze.com/news/2015/01/01/missing-car-part-from-this-auto-wreck-photo-is-discovered-51-years-later-in-a-very-strange-spot
neutral,Pope ... 2015,https://www.theblaze.com/news/2015/01/01/pope-francis-reveals-his-new-years-wish-for-2015
neutral,Rubio: ... Ago,https://www.theblaze.com/news/2015/01/01/rubio-closer-to-a-white-house-decision-than-a-month-ago
neutral,Tennessee ... Citizenship,https://www.theblaze.com/news/2015/01/01/tennessee-teenagers-could-be-required-to-know-as-much-about-america-as-immigrants-seeking-citizenship
sadness,Examine ... Upset?,https://www.theblaze.com/news/2015/01/01/examine-this-photo-of-selena-gomez-visiting-an-abu-dhabi-mosque-can-you-spot-why-some-are-upset
fear,How ... Tragedy,https://www.theblaze.com/news/2015/01/01/how-police-say-a-5-year-old-boy-may-have-saved-the-lives-of-his-entire-family
neutral,Price ... Much,https://www.theblaze.com/news/2015/01/01/price-is-right-contestants-think-apples-iphone-6-is-worth-this-much
disgust,Dad ... Her,https://www.theblaze.com/news/2015/01/01/dad-captures-adorable-moments-of-him-telling-his-daughter-how-a-man-should-always-treat-her
anger,The ... Teens,https://www.theblaze.com/news/2015/01/01/the-reason-appeals-court-has-thrown-out-black-mans-convictions-for-sex-crimes-committed-against-teens
neutral,Evidence ... Mystery,https://www.theblaze.com/news/2015/01/01/evidence-uncovered-from-belizes-great-blue-hole-just-might-hold-the-answers-to-ancient-mystery
sadness,Ex-NY ... 82,https://www.theblaze.com/news/2015/01/01/ex-ny-gov-mario-cuomo-famed-for-oratory-dies-at-82
fear,Florida ... Bowl,https://www.theblaze.com/news/2015/01/01/florida-state-head-coach-caught-on-video-apparently-threatening-to-bench-his-star-player-during-rose-bowl
neutral,This ... Night,https://www.theblaze.com/news/2015/01/01/this-is-how-officials-cleaned-up-the-more-than-1-ton-of-confetti-that-fell-on-times-square-last-night
neutral,10 ... Campaign,https://www.theblaze.com/news/2015/01/01/10-things-to-look-out-for-in-2015-that-could-impact-the-2016-presidential-campaign
anger,Mom ... Defense,https://www.theblaze.com/news/2015/01/01/cnns-jake-tapper-defends-mom-of-a-special-needs-child-who-claims-a-united-airlines-flight-attendant-humiliated-her-family
fear,After ... Driver,https://www.theblaze.com/news/2015/01/01/after-watching-this-horrifying-video-you-might-find-it-hard-to-believe-police-are-merely-considering-charges-against-the-driver
anger,Actress ... Fire,https://www.theblaze.com/news/2015/01/02/actress-who-riled-feminists-with-candid-comment-now-backtracks-after-coming-under-fire
neutral,Sarah ... Controversial,https://www.theblaze.com/news/2015/01/02/sarah-palin-posts-facebook-photos-of-son-standing-on-the-family-dog
neutral,Americans ... 2014,https://www.theblaze.com/news/2015/01/02/americans-really-didnt-like-government-in-2014
neutral,After ... Seats’,https://www.theblaze.com/news/2015/01/02/after-losing-84-straight-games-team-receives-miracle-on-court-all-of-us-jumped-out-of-our-seats
fear,Military ... Lawsuit,https://www.theblaze.com/news/2015/01/02/military-vet-sought-treatment-for-insomnia-days-later-ny-police-officers-were-knocking-on-his-door-lawsuit
sadness,Country ... 94,https://www.theblaze.com/news/2015/01/02/little-jimmy-dickens-beloved-grand-ole-opry-star-dies-at-94
neutral,Have ... Ebola?,https://www.theblaze.com/news/2015/01/02/have-islamic-state-militants-in-iraq-contracted-ebola
neutral,Then ... Famous,https://www.theblaze.com/news/2015/01/02/then-and-now-from-megyn-kelly-to-supermodel-emily-ratajkowski-10-yearbook-photos-of-stars-before-they-were-famous
sadness,"Naked, ... Ending",https://www.theblaze.com/news/2015/01/02/naked-pregnant-woman-jumps-into-her-car-and-ends-up-crashing-into-her-boyfriend-and-even-though-she-died-the-story-could-still-have-one-positive-ending
fear,Tough-Acting ... Seconds,https://www.theblaze.com/news/2015/01/02/tough-acting-robber-enters-store-with-his-gun-drawn-watch-his-demeanor-change-within-seconds
neutral,Archeologists ... Special,https://www.theblaze.com/news/2015/01/02/archeologists-find-centuries-old-amulet-in-cyprus-but-its-the-59-letter-inscription-thats-special
fear,‘Armed’ ... Unconscious.,https://www.theblaze.com/news/2015/01/02/bank-robber-likely-thought-all-he-had-to-worry-about-were-the-police
disgust,He ... After,https://www.theblaze.com/news/2015/01/02/he-entered-the-bedroom-to-find-a-man-allegedly-raping-his-girlfriend-heres-what-the-suspect-looked-like-after
neutral,He ... Fine,https://www.theblaze.com/news/2015/01/02/he-bought-a-truck-for-little-more-than-what-a-tank-of-gas-might-cost-today-38-years-later-its-running-fine
anger,Obama ... Hacking,https://www.theblaze.com/news/2015/01/02/obama-hits-north-korea-with-sanctions-after-sony-hacking
neutral,Here's ... Weekend,https://www.theblaze.com/news/2015/01/02/20000-young-people-and-college-students-from-across-the-globe-are-set-to-flock-to-atlanta-this-weekend-heres-why
sadness,A ... Room,https://www.theblaze.com/news/2015/01/02/a-father-brought-his-6-year-old-son-to-the-hospital-to-be-treated-for-the-flu-but-tragedy-struck-in-the-waiting-room
anger,Palestinians ... Crimes,https://www.theblaze.com/news/2015/01/02/palestinians-file-papers-to-join-intl-criminal-court-open-door-to-having-israel-charged-with-war-crimes
disgust,Doctors ... Throat,https://www.theblaze.com/news/2015/01/02/doctors-baffled-by-random-object-revealed-in-x-ray-to-be-lodged-inside-patients-throat
neutral,Popular ... Out,https://www.theblaze.com/news/2015/01/02/popular-band-hid-a-clue-to-a-buried-treasure-in-one-of-the-most-obvious-locations-and-a-13-year-old-girl-figured-it-all-out
sadness,Parents ... Son,https://www.theblaze.com/news/2015/01/02/parents-of-transgender-teen-who-died-in-suspected-suicide-break-silence-we-love-our-son
disgust,Egyptian ... Blood,https://www.theblaze.com/news/2015/01/02/egyptian-playwrights-witty-retort-after-tv-anchor-declares-hamas-is-my-flesh-and-blood
fear,Texas ... Cut,https://www.theblaze.com/news/2015/01/02/texas-cops-on-alert-after-brake-lines-on-houston-police-cruiser-cut
anger,Atheists ... Students,https://www.theblaze.com/news/2015/01/02/atheists-demand-university-chancellor-apologize-for-sharing-this-video-with-staff-and-students
fear,He ... Call,https://www.theblaze.com/news/2015/01/02/he-wrote-a-heartfelt-letter-asking-to-go-hunting-and-despite-one-big-mistake-a-south-carolina-sheriff-over-500-miles-away-answered-the-call
fear,Apparently ... Robber,https://www.theblaze.com/news/2015/01/02/apparently-you-can-bring-a-knife-to-a-gun-fight-sushi-chefs-knife-scares-off-would-be-robber
