emotion,headline,url
neutral,Why ... 2017,https://thefederalist.com/2017/01/02/im-listening-reading-old-things-2017/
fear,The ... Mafia,https://thefederalist.com/2017/01/02/trump-administration-treat-islamists-like-mafia/
neutral,Donald ... Presidency,https://thefederalist.com/2017/01/02/donald-trump-fixin-make-ricky-bobby-presidency/
neutral,The ... Nazis,https://thefederalist.com/2017/01/02/story-curious-georges-great-escape-nazis/
neutral,8 ... News,https://thefederalist.com/2017/01/02/8-ways-turn-brain-reading-news/
anger,Don’t ... Parents,https://thefederalist.com/2017/01/02/dont-get-mad-control-kids-get-mad-permissive-parents/
neutral,4 ... Year,https://thefederalist.com/2017/01/02/4-steps-towards-ending-mealtime-squabbles-kids-year/
neutral,‘Watership ... Freedom,https://thefederalist.com/2017/01/02/watership-author-richard-adams-knew-rabbits-say-freedom/
joy,‘Loving’ ... Life,https://thefederalist.com/2017/01/03/loving-presents-humane-vision-good-life/
fear,Remini ... Abortion,https://thefederalist.com/2017/01/03/remini-series-scientologys-horrors-include-imprisonment-forced-abortion/
sadness,Why ... Die,https://thefederalist.com/2017/01/03/okay-grieve-celebrities-die/
joy,How ... Life,https://thefederalist.com/2017/01/03/new-year-can-opportunity-new-life/
joy,7 ... Year,https://thefederalist.com/2017/01/03/7-great-albums-2016-help-make-year/
surprise,5 ... Movie,https://thefederalist.com/2017/01/03/five-amazing-things-the-hero-of-hacksaw-ridge-did-that-arent-in-the-movie/
anger,Hemingway: ... Reason,https://thefederalist.com/2017/01/03/hemingway-americans-distrust-media-for-good-reason/
disgust,The ... Science,https://thefederalist.com/2017/01/03/national-geographic-transgender-cover-champions-child-abuse-junk-science/
neutral,10 ... Trump,https://thefederalist.com/2017/01/03/10-things-the-right-can-teach-the-left-about-accepting-the-reality-of-trump/
disgust,‘Assassin’s ... Films,https://thefederalist.com/2017/01/03/assassins-creed-proves-video-games-dont-make-good-films/
disgust,Why ... Americans,https://thefederalist.com/2017/01/03/obamas-betrayal-israel-hurts-americans/
neutral,Marshall ... Technology,https://thefederalist.com/2017/01/03/marshall-mcluhan-can-save-us-destroying-humanity-technology/
neutral,Shapiro ... Action’,https://thefederalist.com/2017/01/04/shapiro-on-obama-if-you-live-by-executive-action-you-die-by-executive-action/
neutral,Poll: ... Obama,https://thefederalist.com/2017/01/04/poll-americans-say-prefer-trump-obama/
neutral,Environmentalists ... Example,https://thefederalist.com/2017/01/04/environmentalists-want-greener-america-follow-israels-example/
neutral,Couples ... Divorce,https://thefederalist.com/2017/01/04/couples-stay-married-think-differently-choose-divorce/
neutral,For ... Need,https://thefederalist.com/2017/01/04/obamacare-means-never-getting-doctor-you-need/
neutral,Because ... Again,https://thefederalist.com/2017/01/04/trump-left-suddenly-cares-conscience-rights/
neutral,Take ... Year,https://thefederalist.com/2017/01/04/take-5-steps-better-relationships-new-year/
neutral,Shut ... Germany,https://thefederalist.com/2017/01/04/shut-americas-refugee-programs-turn-us-germany/
neutral,Russia ... True,https://thefederalist.com/2017/01/04/russia-obsession-getting-out-of-hand/
neutral,10 ... Confidence,https://thefederalist.com/2017/01/04/10-ways-normal-women-can-get-chrissy-teigens-post-baby-body-confidence/
fear,Watch ... Truck,https://thefederalist.com/2017/01/04/watch-bunch-journalists-freak-asked-know-anybody-drives-truck/
sadness,Hillary ... Loss,https://thefederalist.com/2017/01/04/hillary-clintons-new-york-hometown-still-despondent-loss/
neutral,For ... Possible,https://thefederalist.com/2017/01/05/conservatives-donald-trump-shifts-window-whats-possible/
