emotion,headline,url
neutral,Five ... watch,https://thehill.com/policy/technology/193807-five-tech-issues-to-watch
neutral,Obama ... Owens',https://thehill.com/blogs/twitter-room/other-news/194228-obama-i-signed-the-aca-for-kids-like-marcelas-owens
sadness,WH ... aid,https://thehill.com/blogs/blog-briefing-room/news/194226-white-house-ups-pressure-for-passage-of-jobless-aid
neutral,Bill ... ceremony,https://thehill.com/blogs/blog-briefing-room/news/194225-bill-clinton-endorses-de-blasios-vision-during-swearing-in
neutral,RNC ... communities,https://thehill.com/blogs/ballot-box/other-races/194224-rnc-vows-to-spend-2014-in-overlooked-communities
neutral,Putin ... US,https://thehill.com/policy/international/194223-putin-hoping-for-stronger-relations-with-us
neutral,Clinton ... extension,https://thehill.com/blogs/twitter-room/other-news/194222-clinton-pushes-for-extension-of-unemployment-aid
surprise,Report: ... scene,https://thehill.com/blogs/blog-briefing-room/news/194221-report-fast-and-furious-gun-turns-up-in-mexico
fear,US ... threat,https://thehill.com/policy/defense/194220-us-military-pushes-back-against-afghan-prisoner-releases
fear,WH ... Sudan,https://thehill.com/policy/international/194219-white-house-deeply-concerned-about-south-sudan
sadness,Obamas ... Bush,https://thehill.com/blogs/blog-briefing-room/news/194227-obamas-send-best-wishes-to-barbara-bush
neutral,Court ... neutrality,https://thehill.com/policy/technology/194211-court-weighs-fate-of-net-neutrality
fear,Obama ... 2014,https://thehill.com/policy/defense/194210-obama-faces-resurgent-al-qaeda-in-2014
neutral,$1T ... unveiling,https://thehill.com/policy/finance/194208-1t-spending-bill-nears-unveiling
neutral,O-Care ... tests,https://thehill.com/policy/healthcare/194204-obamacare-coverage-begins-presenting-new-tests
sadness,After ... year,https://thehill.com/news-by-subject/defense-homeland-security/193978-no-end-in-sight-to-pentagons-struggles
neutral,2013's ... stories,https://thehill.com/policy/finance/193974-top-economic-stories-of-the-year
neutral,Top ... 2013,https://thehill.com/policy/energy-environment/193924-top-five-energy-stories-for-2013
anger,The ... 2013,https://thehill.com/regulation/administration/193873-the-10-most-controversial-regulations-of-2013
surprise,Brent ... it,https://thehill.com/opinion/brent-budowsky/194285-brent-budowsky-how-obama-blew-it
neutral,Study ... growth,https://thehill.com/policy/defense/194286-study-predicts-5-percent-defense-and-aerospace-growth
