emotion,headline,url
sadness,Supreme ... Wade,https://theintercept.com/2017/02/01/supreme-court-nominee-neil-gorsuch-is-a-down-payment-on-trumps-promise-to-overturn-roe-v-wade/
fear,Intercepted ... Policies,https://theintercept.com/2017/02/01/intercepted-podcast-trump-week-two-the-rise-of-chief-yookeroo/
neutral,In ... Administration,https://theintercept.com/2017/03/01/in-confirmation-lovefest-senators-tell-future-spy-chief-he-may-be-too-nice-for-the-trump-administration/
anger,New ... Playbook,https://theintercept.com/2017/03/01/new-bill-would-force-nypd-to-disclose-its-surveillance-tech-playbook/
neutral,Trump ... Not.,https://theintercept.com/2017/03/01/trump-wants-you-to-think-all-the-immigrants-hell-deport-are-criminals-theyre-not/
disgust,Trump’s ... Propaganda,https://theintercept.com/2017/03/01/trumps-use-of-navy-seals-wife-highlights-all-the-key-ingredients-of-u-s-war-propaganda/
fear,The ... Doomed,https://theintercept.com/2017/03/01/the-only-concrete-takeaway-from-trumps-speech-medicaid-is-doomed/
fear,Exclusive ... Auto-Tune,https://theintercept.com/2017/03/01/exclusive-premiere-hip-hop-artist-narcy-confronts-steve-bannon-and-muslim-bannin-in-auto-tune/
neutral,Intercepted ... Wonderland,https://theintercept.com/2017/03/01/intercepted-podcast-donald-in-wonderland/
neutral,Mehdi ... Today,https://theintercept.com/2017/03/01/mehdi-hasan-global-politics-column-for-the-intercept/
neutral,Trump’s ... War,https://theintercept.com/2017/03/01/trumps-moderate-defense-secretary-has-already-brought-us-to-the-brink-of-war/
sadness,Abandoned ... Sea,https://theintercept.com/2017/04/01/europe-keeps-its-rescue-ships-far-from-the-coast-of-libya-where-thousands-of-refugees-have-drowned/
neutral,Barack ... Refused,https://theintercept.com/2017/05/01/barack-obama-is-using-his-presidency-to-cash-in-but-harry-truman-and-jimmy-carter-refused/
neutral,Cybersecurity ... Signal,https://theintercept.com/2017/05/01/cybersecurity-for-the-people-how-to-keep-your-chats-truly-private-with-signal/
neutral,French ... Scientists,https://theintercept.com/2017/06/01/french-president-emmanuel-macron-offers-refuge-american-climate-scientists/
neutral,Blue ... Room,https://theintercept.com/2017/06/01/blue-cross-blue-shield-wants-people-in-georgia-to-self-diagnose-before-heading-to-the-emergency-room/
neutral,Com ... privado,https://theintercept.com/2017/06/01/com-temer-abalado-por-denuncias-maia-e-eunicio-fazem-avancar-projetos-para-favorecer-setor-privado/
disgust,Even ... Everyone,https://theintercept.com/2017/06/01/elizabeth-warren-debt-collection-call-sheila-bair-fcc/
neutral,Will ... Arson?,https://theintercept.com/2017/06/01/will-trumps-slow-mo-walkaway-world-in-flames-behind-him-finally-provoke-consequences-for-planetary-arson/
anger,James ... Lawsuit,https://theintercept.com/2017/06/01/james-okeefe-sued-sting-democracy-partners-million-dollar-lawsuit/
fear,Trump ... Fears,https://theintercept.com/2017/06/01/trump-putin-form-axis-mass-destruction-climate-french-minister-fears/
fear,Os ... EUA,https://theintercept.com/2017/06/01/os-numeros-nao-mentem-o-terrorismo-de-extrema-direita-e-uma-grande-ameaca-para-os-eua/
neutral,A ... chamas?,https://theintercept.com/2017/06/01/a-saida-de-trump-do-acordo-de-paris-vai-colocar-o-mundo-em-chamas/
neutral,The ... Dead,https://theintercept.com/2017/07/01/in-texas-the-bodies-of-migrants-who-perished-in-the-desert-provide-clues-to-the-living/
neutral,Democratic ... Payer,https://theintercept.com/2017/07/01/dick-gephardt-single-payer-health-insurance-lobbyists/
sadness,Thousands ... Report,https://theintercept.com/2017/08/01/thousands-died-in-opioid-crisis-while-trump-commission-stalled-on-delivering-crucial-report/
neutral,Scholars ... Article,https://theintercept.com/2017/08/01/scholars-say-mother-jones-distorted-their-research-for-anti-homeless-article/
disgust,Citado ... política,https://theintercept.com/2017/08/01/citado-em-delacoes-deputado-ministro-do-voto-342-contra-dilma-escancara-hipocrisia-da-politica/
fear,Dutch ... Netherlands,https://theintercept.com/2017/08/01/dutch-wary-trumps-ambassador-imagines-no-go-zones-netherlands/
neutral,Reality ... Silent,https://theintercept.com/2017/09/01/reality-winner-miranda-rights-trial-confession-nsa-leaker/
neutral,Illinois ... Run,https://theintercept.com/2017/09/01/illinois-democrat-picks-democratic-socialist-as-running-mate-for-gubernatorial-run/
neutral,Com ... sensacionalista,https://theintercept.com/2017/09/01/com-piada-sobre-goleiro-alex-muralha-jornal-extra-patina-entre-o-sensacional-e-o-sensacionalista/
neutral,Vídeo: ... branca,https://theintercept.com/2017/09/01/video-como-a-internet-normalizou-o-supremacia-branco/
fear,Polícia ... Amazônia,https://theintercept.com/2017/09/01/policia-investiga-massacre-de-indios-isolados-enquanto-ruralistas-avancam-sobre-a-amazonia/
anger,Charlie ... Muslims,https://theintercept.com/2017/09/01/charlie-hebdo-may-now-be-criticized-because-they-mocked-white-texans-rather-than-muslims/
