emotion,headline,url
sadness,Enron ... Presidency,https://www.thenation.com/article/archive/enron-cancer-presidency/
anger,Unforgiven ... Unforgiven,https://www.thenation.com/article/archive/unforgiven-0/
anger,Killing ... Iraq,https://www.thenation.com/article/archive/killing-sanctions-iraq/
fear,Fight ... NYC,https://www.thenation.com/article/archive/fight-survival-nyc/
neutral,Rudy ... Triumphant,https://www.thenation.com/article/archive/rudy-giuliani-triumphant/
anger,Tribunal ... Injustice,https://www.thenation.com/article/archive/tribunal-injustice/
neutral,Egyptian ... US-Style,https://www.thenation.com/article/archive/egyptian-justice-us-style/
neutral,Primary ... Predicament,https://www.thenation.com/article/archive/primary-predicament/
neutral,In ... Corner…,https://www.thenation.com/article/archive/corner-0/
neutral,Letter ... Uzbekistan,https://www.thenation.com/article/archive/letter-uzbekistan/
neutral,Beyond ... McWorld,https://www.thenation.com/article/archive/beyond-jihad-vs-mcworld/
neutral,Artistic ... Economics,https://www.thenation.com/article/archive/artistic-economics/
neutral,Plumping ... Pinochet,https://www.thenation.com/article/archive/plumping-pinochet/
neutral,Johnnie ... Blackened,https://www.thenation.com/article/archive/johnnie-walker-blackened/
disgust,Morocco’s ... War,https://www.thenation.com/article/archive/moroccos-dirty-war/
neutral,Chaos ... Argentina,https://www.thenation.com/article/archive/chaos-argentina/
neutral,GE ... Hudson,https://www.thenation.com/article/archive/ge-and-hudson/
fear,Don’t ... Night,https://www.thenation.com/article/archive/dont-call-it-night/
sadness,A ... Sentence,https://www.thenation.com/article/archive/troubling-sentence/
neutral,Tattletales ... Society,https://www.thenation.com/article/archive/tattletales-open-society-0/
neutral,Not ... Return,https://www.thenation.com/article/archive/not-all-only-few-return/
neutral,Judging ... Guys,https://www.thenation.com/article/archive/judging-wise-guys/
disgust,Forbidden ... Truth?,https://www.thenation.com/article/archive/forbidden-truth/
neutral,More ... Picks,https://www.thenation.com/article/archive/more-bush-poor-picks/
neutral,What ... Stimulus?,https://www.thenation.com/article/archive/what-price-stimulus/
neutral,South ... Brink,https://www.thenation.com/article/archive/south-asia-brink/
neutral,‘The ... Heart’,https://www.thenation.com/article/archive/light-heart/
fear,Making ... Terror,https://www.thenation.com/article/archive/making-money-terror/
neutral,Missile ... Grail?,https://www.thenation.com/article/archive/missile-shield-or-holy-grail/
sadness,Let ... Body,https://www.thenation.com/article/archive/let-down-his-rich-pals-over-his-dead-body/
neutral,Lesson ... Learned,https://www.thenation.com/article/archive/lesson-learned-0/
neutral,In ... Dragon,https://www.thenation.com/article/archive/year-harry-potter-enter-dragon/
neutral,Rx ... Journals,https://www.thenation.com/article/archive/rx-needed-medical-journals/
neutral,A ... Approach,https://www.thenation.com/article/archive/new-middle-east-approach/
neutral,Huey ... Hero,https://www.thenation.com/article/archive/huey-freeman-american-hero/
neutral,Reading ... Lines,https://www.thenation.com/article/archive/reading-between-lines/
neutral,Bush ... Again?,https://www.thenation.com/article/archive/bush-lay-what-was-your-name-again/
neutral,Afghanistan ... Stagelight,https://www.thenation.com/article/archive/afghanistan-stagelight/
