emotion,headline,url
sadness,The ... Desk,https://www.newyorker.com/magazine/2002/01/14/the-grief-desk
neutral,Requiem ... Requiem,https://www.newyorker.com/magazine/2002/01/14/requiem-5
neutral,Justina’s ... Priest,https://www.newyorker.com/magazine/2002/01/14/justinas-priest
neutral,The ... Machine,https://www.newyorker.com/magazine/2002/01/14/the-argentine-machine
neutral,The ... Chimp,https://www.newyorker.com/magazine/2002/01/14/the-go-to-chimp
neutral,They’re ... Sleeping,https://www.newyorker.com/magazine/2002/01/14/theyre-only-sleeping
fear,The ... Counter-Terrorist,https://www.newyorker.com/magazine/2002/01/14/the-counter-terrorist
neutral,All ... Jazz,https://www.newyorker.com/magazine/2002/01/14/all-this-jazz-3
disgust,Unbowed ... Unbowed,https://www.newyorker.com/magazine/2002/01/14/unbowed-2
neutral,Golden ... Touch,https://www.newyorker.com/magazine/2002/01/14/golden-touch
neutral,Enigma ... Enigma,https://www.newyorker.com/magazine/2002/01/14/enigma-6
anger,Folks ... Folks,https://www.newyorker.com/magazine/2002/01/14/folks
neutral,How ... Fit,https://www.newyorker.com/magazine/2002/01/14/how-all-the-news-fit
neutral,Striking ... Rich,https://www.newyorker.com/magazine/2002/01/14/striking-it-rich
joy,Summer’s ... Fullness,https://www.newyorker.com/magazine/2002/01/14/summers-fullness
neutral,Pillowcase ... Mantis,https://www.newyorker.com/magazine/2002/01/21/pillowcase-with-praying-mantis
neutral,SWEPT ... AWAY,https://www.newyorker.com/magazine/2002/01/21/swept-away-2
neutral,Detached ... Verses,https://www.newyorker.com/magazine/2002/01/21/detached-verses
joy,SOME ... BODIES,https://www.newyorker.com/magazine/2002/01/21/some-bodies
neutral,Dakota ... Demon,https://www.newyorker.com/magazine/2002/01/21/dakota-demon
neutral,Battle ... Barnes,https://www.newyorker.com/magazine/2002/01/21/battle-for-the-barnes
neutral,DB ... Moderne,https://www.newyorker.com/magazine/2002/01/21/tables-for-two-81
surprise,The ... Could,https://www.newyorker.com/magazine/2002/01/21/the-little-pavilion-that-could
neutral,Righting ... Copywrongs,https://www.newyorker.com/magazine/2002/01/21/righting-copywrongs
neutral,Best ... 2001.,https://www.newyorker.com/magazine/2002/01/21/best-classical-albums-of-2001
neutral,Bruce ... Bliven,https://www.newyorker.com/magazine/2002/01/28/bruce-and-naomi-bliven
neutral,Aka ... Café,https://www.newyorker.com/magazine/2002/01/28/tables-for-two-82
neutral,The ... Lady,https://www.newyorker.com/magazine/2002/01/28/the-lice-lady
neutral,The ... World,https://www.newyorker.com/magazine/2002/01/28/the-world-3
neutral,The ... Getaway,https://www.newyorker.com/magazine/2002/01/28/the-getaway-2
sadness,How ... Kids,https://www.newyorker.com/magazine/2002/01/28/how-to-lay-off-your-kids
neutral,A ... Moon,https://www.newyorker.com/magazine/2002/01/28/a-morgan-stanley-sunrise-a-lehman-brothers-moon
neutral,The ... Curve,https://www.newyorker.com/magazine/2002/01/28/the-learning-curve
neutral,Soft ... Lesson,https://www.newyorker.com/magazine/2002/01/28/soft-money-hard-lesson
neutral,My ... Bond,https://www.newyorker.com/magazine/2002/01/28/my-word-is-my-bond
disgust,Big ... Science,https://www.newyorker.com/magazine/2002/01/28/big-money-weird-science
neutral,Buried ... Treasure,https://www.newyorker.com/magazine/2002/01/28/buried-treasure-5
neutral,Men’s ... Pictures,https://www.newyorker.com/magazine/2002/01/28/mens-pictures
neutral,Afghan ... Tales,https://www.newyorker.com/magazine/2002/01/28/afghan-tales
neutral,Missing ... Links,https://www.newyorker.com/magazine/2002/01/28/missing-links
fear,After ... Revolution,https://www.newyorker.com/magazine/2002/01/28/after-the-revolution-3
neutral,Lives ... Saints,https://www.newyorker.com/magazine/2002/01/21/lives-of-the-saints
neutral,No ... Brakes,https://www.newyorker.com/magazine/2002/02/04/no-brakes
neutral,Shredders ... Ages,https://www.newyorker.com/magazine/2002/02/04/shredders-through-the-ages
neutral,Winter ... Dollars,https://www.newyorker.com/magazine/2002/02/04/winter-cruises-under-ten-dollars
neutral,Underfoot ... Underfoot,https://www.newyorker.com/magazine/2002/02/04/underfoot
sadness,The ... Space,https://www.newyorker.com/magazine/2002/02/04/the-empty-space
neutral,The ... Code,https://www.newyorker.com/magazine/2002/02/04/the-mccain-code
neutral,The ... Pond,https://www.newyorker.com/magazine/2002/02/04/the-sailboat-pond
