emotion,headline,url
neutral,Exclusive: ... Grantees,https://time.com/3796014/exclusive-magnum-emergency-fund-announces-2013-grantees/
neutral,'Roman ... Revealed,https://time.com/63589/roman-vishniac-rediscovered-a-great-photographers-lost-world-revealed/
neutral,A ... War,https://time.com/3796013/a-second-look-chims-children-of-war/
neutral,Lurking ... World,https://time.com/3795972/lurking-in-liberty-a-photographers-journey-into-the-human-and-animal-world/
neutral,Renaissance ... Nude,https://time.com/3795994/renaissance-man-nadav-kander-rediscovers-the-nude/
neutral,Pictures ... 18,https://time.com/3796126/pictures-of-the-week-january-11-january-18/
joy,Happy ... Star,https://time.com/3796124/happy-70th-birthday-janis-joplin-photos-of-the-young-blues-star/
neutral,Set ... China,https://time.com/3796144/set-adrift-in-western-china/
surprise,The ... Sports,https://time.com/3796165/the-strange-world-of-basque-sports/
fear,The ... Iran,https://time.com/3796167/the-agony-of-injustice-in-iran/
neutral,Pictures ... 25,https://time.com/3796268/pictures-of-the-week-january-18-january-25/
neutral,The ... Life,https://time.com/3796267/the-sam-abell-library-life-and-still-life/
fear,This ... Washington,https://time.com/3796310/this-is-the-day-the-1963-march-on-washington/
sadness,Behind ... Death,https://time.com/3796316/behind-the-picture-aleppos-river-of-death/
neutral,Pacifying ... Janeiro,https://time.com/3796307/pacifying-the-favelas-of-rio-de-janeiro/
neutral,Surf’s ... Portugal,https://time.com/3796323/surfs-way-up-garrett-mcnamara-claims-to-ride-record-wave-in-portugal/
neutral,Everyday ... Segal,https://time.com/3796366/everyday-drones-photographs-by-gregg-segal/
neutral,Pictures ... 1,https://time.com/3796444/pictures-of-the-week-january-25-february-1/
neutral,Forgotten ... Empire,https://time.com/3796499/forgotten-spaces-jon-tonks-search-for-empire/
neutral,Migrant ... Transformation,https://time.com/54411/migrant-nation-liu-jie-documents-chinas-ongoing-transformation/
neutral,To ... Traveler,https://time.com/3796512/to-see-the-world-marc-ribouds-eye-of-the-traveler/
joy,Great ... Wallis,https://time.com/3796522/great-performance-quvenzhane-wallis/
joy,Great ... Field,https://time.com/3796521/great-performance-sally-field/
joy,Great ... Hawkes,https://time.com/3796524/great-performance-john-hawkes/
joy,Great ... Waltz,https://time.com/3796527/great-performance-christoph-waltz/
joy,Great ... Watts,https://time.com/3796523/great-performance-naomi-watts/
neutral,Pictures ... 8,https://time.com/3796606/pictures-of-the-week-february-1-february-8/
joy,Great ... Chastain,https://time.com/3796526/great-performance-jessica-chastain-2/
joy,Great ... Jackman,https://time.com/3796528/great-performance-anne-hathaway-and-hugh-jackman/
joy,Exclusive ... 2013,https://time.com/3796514/exclusive-video-great-performances-2013/
joy,Great ... Goodman,https://time.com/3796525/great-performance-john-goodman/
neutral,Blood ... Prickett,https://time.com/3796677/blood-for-oil-kurdistan-by-ivor-prickett/
neutral,Auto ... Mountains,https://time.com/3796695/auto-defensa-rough-justice-in-mexicos-lawless-mountains/
joy,Oscars ... Performances,https://time.com/3796513/oscars-2013-great-performances/
