emotion,headline,url
neutral,St. ... candidates,https://www.usatoday.com/story/college/2012/01/04/st-michaels-students-investigate-the-lesser-known-candidates/37388295/
neutral,Classes ... caucus,https://www.usatoday.com/story/college/2012/01/04/classes-are-out-but-iowa-students-are-on-campus-to-caucus/37388291/
neutral,Students ... site,https://www.usatoday.com/story/college/2012/01/05/students-took-the-lead-at-one-iowa-caucus-site/37388285/
neutral,Students ... primary,https://www.usatoday.com/story/college/2012/01/05/students-gearing-up-to-cover-new-hampshire-primary/37388333/
neutral,Obama ... students,https://www.usatoday.com/story/college/2012/01/05/obama-wont-wait-on-summer-jobs-for-students/37388299/
neutral,You ... job,https://www.usatoday.com/story/college/2012/01/06/you-might-need-to-kick-the-habit-to-get-the-job/37388337/
neutral,3 ... know,https://www.usatoday.com/story/college/2012/01/06/3-interview-tips-every-college-student-needs-to-know/37388339/
fear,New ... prices,https://www.usatoday.com/story/college/2012/01/07/new-years-resolutions-in-jeopardy-by-lower-fast-food-prices/37388359/
fear,‘Love ... sports,https://www.usatoday.com/story/college/2012/01/07/love-of-the-game-at-risk-during-transition-to-college-sports/37388361/
neutral,The ... etiquette,https://www.usatoday.com/story/college/2012/01/07/the-busy-college-students-guide-to-e-mail-etiquette/37388355/
neutral,Viewpoint: ... away,https://www.usatoday.com/story/college/2012/01/07/viewpoint-put-the-blackberry-away/37388349/
neutral,Final ... trail,https://www.usatoday.com/story/college/2012/01/07/final-push-for-students-on-the-nh-campaign-trail/37388351/
neutral,Memory ... prevention?,https://www.usatoday.com/story/college/2012/01/09/memory-loss-can-begin-at-45-is-college-the-time-to-start-prevention/37388363/
neutral,Do ... marriage?,https://www.usatoday.com/story/college/2012/01/09/do-celebrity-relationships-influence-views-of-marriage/37388383/
sadness,Majoring ... college,https://www.usatoday.com/story/college/2012/01/10/majoring-in-debt-minoring-in-college/37388393/
neutral,Students ... e-readers,https://www.usatoday.com/story/college/2012/01/10/students-make-book-on-e-readers/37388391/
neutral,Student ... it,https://www.usatoday.com/story/college/2012/01/10/student-plays-video-games-for-24-hours-straightand-lives-to-write-about-it/37388289/
neutral,China's ... colleges,https://www.usatoday.com/story/college/2012/01/11/chinas-growing-middle-class-means-influx-of-students-for-us-colleges/37388387/
neutral,New ... wide-open,https://www.usatoday.com/story/college/2012/01/11/new-hampshire-suggests-2012-student-vote-is-wide-open/37388399/
disgust,More ... sleep,https://www.usatoday.com/story/college/2012/01/12/more-students-sending-texts-while-they-sleep/37388449/
neutral,Democracy ... debate,https://www.usatoday.com/story/college/2012/01/12/democracy-in-action-student-cultures-clash-and-cooperate-at-nh-primary-debate/37388459/
neutral,Financial ... success,https://www.usatoday.com/story/college/2012/01/12/financial-literacy-a-key-component-to-success/37388469/
disgust,CDC ... students,https://www.usatoday.com/story/college/2012/01/12/cdc-study-binge-drinking-prevalent-among-college-aged-students/37388467/
joy,University ... classroom,https://www.usatoday.com/story/college/2012/01/12/university-of-wisconsin-brings-hip-hop-from-the-street-to-the-classroom/37388385/
fear,Asian ... loom,https://www.usatoday.com/story/college/2012/01/13/asian-american-studies-programs-face-an-uphill-battle-as-budget-cuts-loom/37388463/
neutral,Will ... accidents?,https://www.usatoday.com/story/college/2012/01/14/will-the-appeal-of-extreme-sports-diminish-after-high-profile-accidents/37388477/
disgust,Some ... president,https://www.usatoday.com/story/college/2012/01/14/some-students-are-cashing-in-on-the-race-for-president/37388471/
neutral,Reflections ... Havana,https://www.usatoday.com/story/college/2012/01/15/reflections-from-a-week-in-havana/37388531/
fear,Against ... bill?,https://www.usatoday.com/story/college/2012/01/15/against-sopa-will-cyber-protests-derail-a-controversial-anti-piracy-bill/37388481/
disgust,Cooking ... college,https://www.usatoday.com/story/college/2012/01/15/cooking-or-not-cooking-in-college/37388479/
neutral,Western ... change,https://www.usatoday.com/story/college/2012/01/16/western-kentucky-players-regaining-their-voices-amid-coaching-change/37388535/
neutral,Imaginary ... expert,https://www.usatoday.com/story/college/2012/01/16/imaginary-friends-improve-emotional-health-into-adulthood-says-expert/37388533/
sadness,'The ... fans,https://www.usatoday.com/story/college/2012/01/16/the-finder-premieres-to-lackluster-numbers-disappointed-fans/37388539/
anger,East ... photos,https://www.usatoday.com/story/college/2012/01/17/east-carolina-fires-student-media-director-in-wake-of-campus-newspaper-streaker-photos/37388447/
surprise,A ... free?,https://www.usatoday.com/story/college/2012/01/18/a-harvard-education-for-free/37388749/
sadness,Uninsured ... issues,https://www.usatoday.com/story/college/2012/01/18/uninsured-students-face-debt-health-issues/37388545/
sadness,Colbert ... PAC,https://www.usatoday.com/story/college/2012/01/18/colbert-and-stewart-not-coordinating-on-super-pac/37388741/
neutral,A ... Internet,https://www.usatoday.com/story/college/2012/01/18/a-tangled-web-students-find-fix-on-internet/37388543/
neutral,Feather ... campus?,https://www.usatoday.com/story/college/2012/01/19/feather-extensions-still-a-thing-on-your-campus/37388743/
neutral,Viewpoint: ... all,https://www.usatoday.com/story/college/2012/01/19/viewpoint-videotaped-chicago-area-beating-holds-a-lesson-for-us-all/37388755/
sadness,Pac-12 ... 2012,https://www.usatoday.com/story/college/2012/01/19/pac-12-basketball-struggling-to-find-footing-in-2012/37388745/
neutral,Viewpoint: ... drugs,https://www.usatoday.com/story/college/2012/01/20/viewpoint-dont-alter-honor-codes-to-include-abuse-of-non-prescription-drugs/37388763/
neutral,NYU ... workers,https://www.usatoday.com/story/college/2012/01/20/nyu-students-ease-winter-chill-loneliness-for-chinese-factory-workers/37388751/
neutral,'The ... book”,https://www.usatoday.com/story/life/books/2013/06/28/the-fault-in-our-stars-not-a-cancer-book/2470369/
neutral,In ... relevant,https://www.usatoday.com/story/college/2012/01/21/in-a-digital-world-film-is-still-relevant/37388771/
sadness,Penn ... death,https://www.usatoday.com/story/college/2012/01/21/penn-state-student-editor-resigns-after-report-about-joe-paternos-death/37388769/
neutral,Viewpoint: ... die,https://www.usatoday.com/story/college/2012/01/21/viewpoint-for-everyones-sake-let-the-twinkie-die/37388767/
neutral,5 ... eTexts,https://www.usatoday.com/story/college/2012/01/23/5-universities-switch-to-etexts/37388823/
sadness,Following ... hospital,https://www.usatoday.com/story/college/2012/01/23/following-brain-tumor-surgery-student-gives-back-to-hospital/37388825/
sadness,Professor ... history,https://www.usatoday.com/story/college/2012/01/24/professor-explores-the-role-of-homesickness-in-american-history/37388831/
neutral,Some ... money,https://www.usatoday.com/story/college/2012/01/24/some-majors-not-made-of-money/37388827/
neutral,Obama ... speech,https://www.usatoday.com/story/college/2012/01/25/obama-puts-higher-education-on-notice-in-annual-speech/37388881/
neutral,Self ... safety,https://www.usatoday.com/story/college/2012/01/25/self-defense-and-awareness-key-to-student-safety/37388821/
neutral,7 ... pro,https://www.usatoday.com/story/college/2012/01/25/7-tips-for-filing-taxes-like-a-pro/37389023/
neutral,Wisconsin ... collection,https://www.usatoday.com/story/college/2012/01/25/wisconsin-graduates-build-business-from-your-old-cd-collection/37388965/
neutral,New ... governments,https://www.usatoday.com/story/college/2012/01/26/new-initiative-aims-to-increase-number-of-women-in-student-governments/37389025/
neutral,"5 ... success""",https://www.usatoday.com/story/college/2012/01/26/5-steps-for-every-woman-to-find-their-own-wicked-success/37389029/
