emotion,headline,url
fear,In ... Terrorists,https://www.washingtonexaminer.com/weekly-standard/in-case-there-was-any-doubt-that-spains-socialist-prime-minister-jose-luis-rodriguez-zapatero-caved-in-to-the-terrorists
neutral,The ... Iraq,https://www.washingtonexaminer.com/weekly-standard/the-truth-about-iraq-17979
neutral,A ... South,https://www.washingtonexaminer.com/weekly-standard/a-solid-south
neutral,Coming ... Attractions,https://www.washingtonexaminer.com/weekly-standard/coming-attractions
fear,The ... Terror,https://www.washingtonexaminer.com/weekly-standard/the-professor-of-terror
disgust,"Fascism, ... Anti-Semitism",https://www.washingtonexaminer.com/weekly-standard/fascism-islamism-and-anti-semitism
fear,"Because ... 9/11""",https://www.washingtonexaminer.com/weekly-standard/because-of-us-counterterrorism-efforts-al-qaeda-now-seems-to-lack-the-power-to-conduct-another-9-11
neutral,"PETA, ... more.",https://www.washingtonexaminer.com/weekly-standard/peta-saddams-paperwork-and-more
disgust,Constitutional ... Spying,https://www.washingtonexaminer.com/weekly-standard/constitutional-spying
sadness,Yule ... Sorry,https://www.washingtonexaminer.com/weekly-standard/yule-be-sorry
neutral,The ... Liberalism,https://www.washingtonexaminer.com/weekly-standard/the-paranoid-style-in-american-liberalism
disgust,On ... etc.,https://www.washingtonexaminer.com/weekly-standard/on-rumor-torture-etc
neutral,The ... Reader,https://www.washingtonexaminer.com/weekly-standard/the-standard-reader-7706
neutral,"Moussaoui, ... History",https://www.washingtonexaminer.com/weekly-standard/moussaoui-9-11-fisa-how-the-left-distorts-history
fear,The ... Master,https://www.washingtonexaminer.com/weekly-standard/the-ghost-master
neutral,Travels ... Cheney,https://www.washingtonexaminer.com/weekly-standard/travels-with-cheney
neutral,Where ... Aren't,https://www.washingtonexaminer.com/weekly-standard/where-the-boys-arent
neutral,Devout ... Democracies,https://www.washingtonexaminer.com/weekly-standard/devout-democracies
neutral,Misinformation ... Age,https://www.washingtonexaminer.com/weekly-standard/misinformation-age
disgust,Disorder ... Court,https://www.washingtonexaminer.com/weekly-standard/disorder-in-the-court
joy,Career ... Schroder.,https://www.washingtonexaminer.com/weekly-standard/career-opportunities-for-gerhard-schroder
neutral,"Another ... ""Breakthrough""",https://www.washingtonexaminer.com/weekly-standard/another-cloning-breakthrough
neutral,The ... 55,https://www.washingtonexaminer.com/weekly-standard/the-power-of-55
surprise,A ... Mayors,https://www.washingtonexaminer.com/weekly-standard/a-congress-of-mayors
surprise,Hawthorne's ... God,https://www.washingtonexaminer.com/weekly-standard/hawthornes-god
fear,Rep. ... 2001,https://www.washingtonexaminer.com/weekly-standard/rep-pelosi-informed-of-nsa-surveillance-operation-in-october-2001
fear,James ... Zubaydah,https://www.washingtonexaminer.com/weekly-standard/james-risens-state-of-war-the-case-of-abu-zubaydah
anger,"""Screw ... Speaker?",https://www.washingtonexaminer.com/weekly-standard/screw-them-guess-what-convention-will-be-hosting-senate-democratic-leader-harry-reid-as-its-featured-speaker
neutral,Human ... Pigs?,https://www.washingtonexaminer.com/weekly-standard/human-guinea-pigs
anger,"""Screw ... (UPDATE)",https://www.washingtonexaminer.com/weekly-standard/screw-them-guess-what-convention-will-be-hosting-senate-democratic-leader-harry-reid-as-its-featured-speaker-update
neutral,Liberals ... House,https://www.washingtonexaminer.com/weekly-standard/liberals-explain-why-they-want-democrats-to-regain-control-of-the-house
neutral,hed ... hed,https://www.washingtonexaminer.com/weekly-standard/hed-7731
fear,Will ... Again?,https://www.washingtonexaminer.com/weekly-standard/will-russia-and-china-come-to-the-rescue-of-irans-radical-regime-again
neutral,Source ... Code,https://www.washingtonexaminer.com/weekly-standard/source-code
neutral,TEST ... deleted,https://www.washingtonexaminer.com/weekly-standard/test-this-should-be-deleted
neutral,A ... Assad?,https://www.washingtonexaminer.com/weekly-standard/a-milosevic-solution-for-assad
neutral,Understanding ... al-Libi,https://www.washingtonexaminer.com/weekly-standard/understanding-al-libi
neutral,October ... Pelosi,https://www.washingtonexaminer.com/weekly-standard/october-11-2001-sleeper-cells-and-rep-nancy-pelosi
neutral,asdfa ... asdfa,https://www.washingtonexaminer.com/weekly-standard/asdfa
neutral,Munich ... Syndrome,https://www.washingtonexaminer.com/weekly-standard/munich-syndrome
neutral,Japan ... Missiles,https://www.washingtonexaminer.com/weekly-standard/japan-and-north-korean-missiles
neutral,"Former ... Term""",https://www.washingtonexaminer.com/weekly-standard/former-syrian-vice-president-the-assad-regime-has-no-chance-of-surviving-in-the-long-term
neutral,The ... Iraq,https://www.washingtonexaminer.com/weekly-standard/the-clinton-folks-go-to-the-white-house-to-discuss-iraq
neutral,Managing ... Expectations,https://www.washingtonexaminer.com/weekly-standard/managing-expectations
neutral,"""World ... Warfare""",https://www.washingtonexaminer.com/weekly-standard/world-war-iv-as-fourth-generation-warfare
neutral,HED ... HED,https://www.washingtonexaminer.com/weekly-standard/hed-7736
neutral,Dukakis ... Surveillance,https://www.washingtonexaminer.com/weekly-standard/dukakis-democrats-the-dnc-follows-the-aclus-lead-on-nsa-surveillance
neutral,Sudan ... Go?,https://www.washingtonexaminer.com/weekly-standard/sudan-trafficked-in-sophisticated-nuclear-weapons-material-but-where-did-it-go
neutral,Microsoft ... Again,https://www.washingtonexaminer.com/weekly-standard/microsoft-kowtows-to-beijing-again
fear,Who ... presidency?,https://www.washingtonexaminer.com/weekly-standard/who-were-zawahiris-contacts-in-saddams-iraq-why-were-us-officials-deeply-worried-that-iraq-might-give-radical-islamist-groups-biological-weapons-to-attack-the-us-during-the-clinton-presidency
fear,"Terrorist ... Iraq""",https://www.washingtonexaminer.com/weekly-standard/terrorist-al-zawahiri-touts-us-troop-cuts-in-iraq
neutral,Europe's ... Conservatives,https://www.washingtonexaminer.com/weekly-standard/europes-hidden-conservatives
neutral,Petropower ... Petropower,https://www.washingtonexaminer.com/weekly-standard/petropower
fear,"""A ... Love""",https://www.washingtonexaminer.com/weekly-standard/a-loophole-only-a-terrorist-could-love
neutral,Bedford ... Pottersville?,https://www.washingtonexaminer.com/weekly-standard/bedford-falls-or-pottersville
anger,"""We ... Rockefeller",https://www.washingtonexaminer.com/weekly-standard/we-dont-want-to-hear-about-history-shouted-democratic-senator-jay-rockefeller
neutral,Senior ... Qaeda,https://www.washingtonexaminer.com/weekly-standard/senior-democratic-leadership-council-fellow-we-should-be-grateful-to-the-president-and-general-hayden-for-spying-on-al-qaeda
neutral,New ... 2004,https://www.washingtonexaminer.com/weekly-standard/new-bremer-book-challenges-sec-rumsfeld-on-us-troop-strength-in-iraq-with-more-troops-id-control-baghdad-gen-sanchez-may-2004
surprise,Who ... Guys?,https://www.washingtonexaminer.com/weekly-standard/who-are-those-guys
anger,Ignore ... Iraq,https://www.washingtonexaminer.com/weekly-standard/ignore-the-liberals-the-white-house-should-increase-its-covert-propaganda-efforts-in-iraq
fear,Algerian ... Camps,https://www.washingtonexaminer.com/weekly-standard/algerian-terrorists-bin-laden-saddams-training-camps
fear,Iran ... Site,https://www.washingtonexaminer.com/weekly-standard/iran-breaks-international-seals-at-nuke-site
fear,VP ... Change,https://www.washingtonexaminer.com/weekly-standard/vp-cheney-answers-questions-on-irans-pursuit-of-nuclear-weapons-and-the-prospect-of-economic-sanctions-and-regime-change
neutral,Blast ... Past,https://www.washingtonexaminer.com/weekly-standard/blast-from-the-past-7760
neutral,Vice ... Organization,https://www.washingtonexaminer.com/weekly-standard/vice-president-cheney-today-there-was-a-relationship-that-stretched-over-many-years-between-saddam-hussein-and-the-al-qaeda-organization
neutral,Top ... Letters,https://www.washingtonexaminer.com/weekly-standard/top-10-letters-7734
anger,The ... Princeton,https://www.washingtonexaminer.com/weekly-standard/the-liberal-assault-on-rotc-and-military-recruiting-didnt-end-when-judge-alito-left-princeton
fear,The ... Spain,https://www.washingtonexaminer.com/weekly-standard/the-new-york-times-on-the-gspc-terrorist-arrests-in-spain
fear,The ... Camps,https://www.washingtonexaminer.com/weekly-standard/the-media-and-terrorist-training-camps
neutral,Captain ... Courageous,https://www.washingtonexaminer.com/weekly-standard/captain-courageous
neutral,Iran ... Beijing?,https://www.washingtonexaminer.com/weekly-standard/iran-to-the-security-council-moscows-on-board-what-about-beijing
neutral,A ... Insurgency?,https://www.washingtonexaminer.com/weekly-standard/a-wider-crack-in-the-insurgency
fear,Europeans: ... Council,https://www.washingtonexaminer.com/weekly-standard/europeans-iran-talks-reach-dead-end-should-be-referred-to-un-security-council
neutral,How ... Days,https://www.washingtonexaminer.com/weekly-standard/how-the-left-spend-their-days
neutral,Saddam ... Playbook,https://www.washingtonexaminer.com/weekly-standard/saddam-came-close-to-having-a-nuke-in-91-today-iran-follows-saddams-nuclear-procurement-playbook
fear,April ... Iraq,https://www.washingtonexaminer.com/weekly-standard/april-6-2003-marines-capture-suspected-foreign-terrorist-training-camp-just-one-of-a-number-of-examples-found-in-iraq
neutral,"The ... It""",https://www.washingtonexaminer.com/weekly-standard/the-monsters-who-this-did-this-a-perfectly-knitted-baby-bonnet-with-two-bullet-holes-in-it
disgust,"Sen. ... Iran""",https://www.washingtonexaminer.com/weekly-standard/sen-john-mccain-theres-only-one-thing-worse-than-the-united-states-exercising-the-military-option-that-is-a-nuclear-armed-iran
neutral,Update: ... Wars,https://www.washingtonexaminer.com/weekly-standard/update-the-us-should-increase-its-covert-propaganda-efforts-in-iraq-as-it-has-in-other-successful-wars
neutral,The ... Thrift,https://www.washingtonexaminer.com/weekly-standard/the-american-apostle-of-thrift
disgust,Dam ... Environmentalists,https://www.washingtonexaminer.com/weekly-standard/dam-environmentalists
anger,Secretary ... Away,https://www.washingtonexaminer.com/weekly-standard/secretary-rice-v-the-pentagon-tension-over-troop-levels-in-iraq-hasnt-gone-away
sadness,Joan ... Broadway!,https://www.washingtonexaminer.com/weekly-standard/joan-didions-grief-on-broadway
neutral,Balancing ... Act,https://www.washingtonexaminer.com/weekly-standard/balancing-act-7782
neutral,It ... Intellectual,https://www.washingtonexaminer.com/weekly-standard/it-takes-an-intellectual
neutral,Survival ... Debate,https://www.washingtonexaminer.com/weekly-standard/survival-of-the-evolution-debate
neutral,Dutch ... Retreat?,https://www.washingtonexaminer.com/weekly-standard/dutch-retreat
disgust,The ... Times,https://www.washingtonexaminer.com/weekly-standard/the-worst-of-times
sadness,The ... Abramoff,https://www.washingtonexaminer.com/weekly-standard/the-friends-of-jack-abramoff
neutral,Putin's ... Politics,https://www.washingtonexaminer.com/weekly-standard/putins-power-politics
neutral,The ... Reader,https://www.washingtonexaminer.com/weekly-standard/the-standard-reader-7756
neutral,On ... Cyprus.,https://www.washingtonexaminer.com/weekly-standard/on-cyprus
sadness,Winter ... Venice,https://www.washingtonexaminer.com/weekly-standard/winter-in-venice
neutral,Upton ... more.,https://www.washingtonexaminer.com/weekly-standard/upton-sinclair-don-imus-and-more
neutral,Ariel ... Legacy,https://www.washingtonexaminer.com/weekly-standard/ariel-sharons-legacy
fear,Saddam's ... Camps,https://www.washingtonexaminer.com/weekly-standard/saddams-terror-training-camps
neutral,Did ... Today?,https://www.washingtonexaminer.com/weekly-standard/did-al-gore-mention-the-secret-deal-he-cut-with-moscow-that-emboldened-sales-of-missile-and-nuclear-technology-to-iran-during-his-diatribe-against-the-president-today
neutral,Next ... Iran,https://www.washingtonexaminer.com/weekly-standard/next-stop-iran
neutral,Out ... Sunningdale,https://www.washingtonexaminer.com/weekly-standard/out-of-sunningdale
neutral,First ... Lady,https://www.washingtonexaminer.com/weekly-standard/first-first-lady
neutral,B. ... Moralist,https://www.washingtonexaminer.com/weekly-standard/b-franklin-moralist
neutral,Just ... Facts,https://www.washingtonexaminer.com/weekly-standard/just-the-facts-7754
neutral,The ... President,https://www.washingtonexaminer.com/weekly-standard/the-law-and-the-president
surprise,A ... Easter?,https://www.washingtonexaminer.com/weekly-standard/a-gay-easter
neutral,"""Very ... Commander-in-Chief",https://www.washingtonexaminer.com/weekly-standard/very-high-chance-of-wmd-strike-meanwhile-liberal-democrats-go-after-the-commander-in-chief
neutral,What ... Reform,https://www.washingtonexaminer.com/weekly-standard/what-todays-new-york-times-nsa-story-reveals-about-intelligence-collection-and-fbi-reform
neutral,Progressivism's ... Alamo,https://www.washingtonexaminer.com/weekly-standard/progressivisms-alamo
surprise,Bill ... Historian?,https://www.washingtonexaminer.com/weekly-standard/bill-clinton-historian
neutral,"""Time ... Iran""",https://www.washingtonexaminer.com/weekly-standard/time-for-libya-plus-sanctions-on-iran
fear,The ... Plague,https://www.washingtonexaminer.com/weekly-standard/the-algerian-plague
disgust,Ground ... Story,https://www.washingtonexaminer.com/weekly-standard/ground-hog-day-todays-new-york-times-ignores-key-parts-of-the-iraq-niger-uranium-story
anger,"Zbigniew ... Dominoes""",https://www.washingtonexaminer.com/weekly-standard/zbigniew-brzezinskis-falling-dominoes
neutral,Al ... Scientist,https://www.washingtonexaminer.com/weekly-standard/al-qaedas-mad-scientist
