emotion,headline,url
sadness,9 ... Jet,https://www.washingtonpost.com/wp-dyn/content/article/2009/01/01/AR2009010101932.html
sadness,On ... Minds,https://www.washingtonpost.com/wp-dyn/content/article/2009/01/01/AR2009010102061.html
neutral,Credit ... 29%,https://www.washingtonpost.com/wp-dyn/content/article/2009/01/01/AR2009010101783.html
neutral,Cubans ... Revolution,https://www.washingtonpost.com/wp-dyn/content/article/2009/01/01/AR2009010102060.html
sadness,Helen ... Africa,https://www.washingtonpost.com/wp-dyn/content/article/2009/01/01/AR2009010100673.html
neutral,Chinese ... Roots,https://www.washingtonpost.com/wp-dyn/content/article/2009/01/01/AR2009010101848.html
neutral,Editorial ... Cigarettes,https://www.washingtonpost.com/wp-dyn/content/article/2009/01/01/AR2009010101800.html
neutral,Petworth ... Tastefully,https://www.washingtonpost.com/wp-dyn/content/article/2009/01/01/AR2009010100778.html
anger,In ... Gas,https://www.washingtonpost.com/wp-dyn/content/article/2009/01/01/AR2009010100496.html
neutral,Hawaii's ... Obama,https://www.washingtonpost.com/wp-dyn/content/article/2009/01/01/AR2009010102035.html
neutral,"""The ... Keefer",https://www.washingtonpost.com/wp-dyn/content/article/2009/01/01/AR2009010101840.html
neutral,The ... Action,https://www.washingtonpost.com/wp-dyn/content/article/2009/01/01/AR2009010102230.html
neutral,Mike ... Capitals,https://www.washingtonpost.com/wp-dyn/content/article/2009/01/01/AR2009010102163.html
neutral,Ori ... Mortality,https://www.washingtonpost.com/wp-dyn/content/article/2009/01/01/AR2009010100725.html
surprise,DVDs ... Week,https://www.washingtonpost.com/wp-dyn/content/article/2009/01/01/AR2009010100828.html
neutral,Appreciation: ... Apartheid,https://www.washingtonpost.com/wp-dyn/content/article/2009/01/01/AR2009010101986.html
neutral,CD ... Sound',https://www.washingtonpost.com/wp-dyn/content/article/2009/01/01/AR2009010100797.html
neutral,Robert ... Reporter,https://www.washingtonpost.com/wp-dyn/content/article/2009/01/01/AR2009010101984.html
neutral,William ... Leader,https://www.washingtonpost.com/wp-dyn/content/article/2009/01/01/AR2009010101931.html
sadness,Editorial ... Homicide,https://www.washingtonpost.com/wp-dyn/content/article/2009/01/01/AR2009010101794.html
neutral,Rise ... D.C.,https://www.washingtonpost.com/wp-dyn/content/article/2009/01/01/AR2009010101854.html
neutral,Genes ... Spread,https://www.washingtonpost.com/wp-dyn/content/article/2009/01/01/AR2009010101199.html
anger,31 ... Wars,https://www.washingtonpost.com/wp-dyn/content/article/2009/01/01/AR2009010102068.html
neutral,End ... Department,https://www.washingtonpost.com/wp-dyn/content/article/2009/01/01/AR2009010101849.html
neutral,Editorial ... Himself,https://www.washingtonpost.com/wp-dyn/content/article/2009/01/01/AR2009010101801.html
neutral,Consumer ... Sets,https://www.washingtonpost.com/wp-dyn/content/article/2009/01/01/AR2009010101789.html
neutral,Movie ... Road',https://www.washingtonpost.com/wp-dyn/content/article/2009/01/01/AR2009010101971.html
neutral,More ... Interviews,https://www.washingtonpost.com/wp-dyn/content/article/2009/01/01/AR2009010101935.html
neutral,Gems ... Riddle,https://www.washingtonpost.com/wp-dyn/content/article/2009/01/01/AR2009010101490.html
neutral,Liz ... BlackRock,https://www.washingtonpost.com/wp-dyn/content/article/2009/01/01/AR2009010100783.html
neutral,Monologist ... Mammoth,https://www.washingtonpost.com/wp-dyn/content/article/2009/01/01/AR2009010100839.html
neutral,Two ... Bush,https://www.washingtonpost.com/wp-dyn/content/article/2009/01/01/AR2009010101958.html
joy,Defining ... Israel,https://www.washingtonpost.com/wp-dyn/content/article/2009/01/01/AR2009010101782.html
neutral,Obama's ... 2009,https://www.washingtonpost.com/wp-dyn/content/article/2009/01/01/AR2009010101143.html
neutral,CD ... 'L'Autrichienne',https://www.washingtonpost.com/wp-dyn/content/article/2009/01/01/AR2009010100800.html
fear,Airstrike ... Invasion,https://www.washingtonpost.com/wp-dyn/content/article/2009/01/01/AR2009010101141.html
fear,In ... After,https://www.washingtonpost.com/wp-dyn/content/article/2009/01/01/AR2009010102079.html
neutral,How ... 3G,https://www.washingtonpost.com/wp-dyn/content/article/2009/01/01/AR2009010102135.html
disgust,Moral ... Gaza,https://www.washingtonpost.com/wp-dyn/content/article/2009/01/01/AR2009010101780_2.html
neutral,Green ... Fanfare,https://www.washingtonpost.com/wp-dyn/content/article/2009/01/01/AR2009010101240.html
sadness,New ... NE,https://www.washingtonpost.com/wp-dyn/content/article/2009/01/01/AR2009010100939.html
fear,Some ... Left,https://www.washingtonpost.com/wp-dyn/content/article/2009/01/01/AR2009010101832.html
