emotion,headline,url
neutral,IRA ... 2,https://www.wsj.com/articles/SB110461641405414499
neutral,Ask ... Wessel,https://www.wsj.com/articles/SB110461903616614517
disgust,Expect ... Best,https://www.wsj.com/articles/SB110461776580714508
surprise,Sizzling ... Game,https://www.wsj.com/articles/SB110461685308914502
neutral,Do ... Charities,https://www.wsj.com/articles/SB110461465149614490
neutral,Readers' ... Security,https://www.wsj.com/articles/SB110461827408914514
neutral,Year-End ... Stocks,https://www.wsj.com/articles/SB110461505939714493
neutral,Drug ... Benefits,https://www.wsj.com/articles/SB110461415302314487
neutral,Charitable ... Deductions,https://www.wsj.com/articles/SB110461730971614505
neutral,This ... to...,https://www.wsj.com/articles/SB110461603482614496
neutral,Economistas ... bom,https://www.wsj.com/articles/SB110470776694214780
surprise,Wall ... 2005,https://www.wsj.com/articles/SB110383916789008539
fear,Fight ... Self,https://www.wsj.com/articles/SB110461802193714511
fear,In ... Emergency...,https://www.wsj.com/articles/SB110522459320420796
fear,A ... estrangeiro,https://www.wsj.com/articles/SB110470806632614788
neutral,InBev ... Interbrew,https://www.wsj.com/articles/SB110475962251715225
joy,Walgreen's ... Climb,https://www.wsj.com/articles/SB110475870362615218
neutral,Piecing ... Economy,https://www.wsj.com/articles/SB110473056998415147
neutral,Bull ... Climb,https://www.wsj.com/articles/SB110417151416610101
neutral,Asia ... Increases,https://www.wsj.com/articles/SB110470005626414683
sadness,Delphi ... Probe,https://www.wsj.com/articles/SB110471435681814924
sadness,France's ... Disappeared,https://www.wsj.com/articles/SB110470561701014736
fear,Trading ... Fell,https://www.wsj.com/articles/SB110470670138914763
disgust,The ... Shrug,https://www.wsj.com/articles/SB110452776380914350
neutral,FAW ... Cuts,https://www.wsj.com/articles/SB110469500563614618
neutral,Note ... Value,https://www.wsj.com/articles/SB110471373860814916
sadness,After ... Focus,https://www.wsj.com/articles/SB110469415142014595
neutral,Stock ... Year,https://www.wsj.com/articles/SB110449925299914092
neutral,Vogue ... E-Commerce,https://www.wsj.com/articles/SB110470904252714807
neutral,Investors ... Funds,https://www.wsj.com/articles/SB110452699938114338
neutral,In ... King,https://www.wsj.com/articles/SB110451111850214190
sadness,Two ... Cuts,https://www.wsj.com/articles/SB110470634906814754
neutral,A ... Market,https://www.wsj.com/articles/SB110470519951914725
neutral,Visionary ... Market,https://www.wsj.com/articles/SB110470126207014697
neutral,How ... Back,https://www.wsj.com/articles/SB110417835323210212
neutral,"Aid ... 150,000",https://www.wsj.com/articles/SB110469354278114584
neutral,Angang ... Billion,https://www.wsj.com/articles/SB110448537164114048
fear,Fearful ... Informed,https://www.wsj.com/articles/SB110471357455614912
neutral,Van ... Chief,https://www.wsj.com/articles/SB110476321053215264
sadness,European ... Euro,https://www.wsj.com/articles/SB110474992834115192
neutral,An ... Protestants,https://www.wsj.com/articles/SB110471389259214919
neutral,Some ... Disadvantage,https://www.wsj.com/articles/SB110471317183614902
joy,U.S. ... 2005,https://www.wsj.com/articles/SB110451275000514206
neutral,"SBC, ... Venture",https://www.wsj.com/articles/SB110476327331915268
neutral,Simmering ... Boil,https://www.wsj.com/articles/SB110418291807610297
neutral,Iraq ... Countdown,https://www.wsj.com/articles/SB110471205680914875
neutral,Will ... Show?,https://www.wsj.com/articles/SB110471662480114963
neutral,The ... Maverick,https://www.wsj.com/articles/SB122488144209567717
neutral,Foreign ... Market,https://www.wsj.com/articles/SB113598083254035008
neutral,IPO ... Comeback,https://www.wsj.com/articles/SB110417739058110198
