emotion,headline,url
neutral,Bill ... Garner,https://www.washingtontimes.com/news/2000/jan/1/20000101-010814-9557r/
neutral,Quotes ... millennium,https://www.washingtontimes.com/news/2000/jan/1/20000101-010814-3739r/
sadness,New ... resolutions,https://www.washingtontimes.com/news/2000/jan/1/20000101-010814-1134r/
neutral,Peter ... Steiner,https://www.washingtontimes.com/news/2000/jan/1/20000101-010815-4161r/
neutral,New ... Search,https://www.washingtontimes.com/news/2000/jan/1/20000101-010815-7360r/
fear,The ... risk,https://www.washingtontimes.com/news/2000/jan/1/20000101-010814-8808r/
neutral,Florida's ... all,https://www.washingtontimes.com/news/2000/jan/1/20000101-010814-8411r/
neutral,Transitions ... time,https://www.washingtontimes.com/news/2000/jan/1/20000101-010814-6706r/
neutral,Looking ... year,https://www.washingtontimes.com/news/2000/jan/1/20000101-010814-8183r/
neutral,Time ... out,https://www.washingtontimes.com/news/2000/jan/1/20000101-010814-3001r/
sadness,Boris ... exit,https://www.washingtontimes.com/news/2000/jan/1/20000101-010814-2485r/
neutral,I ... resolve...,https://www.washingtontimes.com/news/2000/jan/1/20000101-010814-2278r/
neutral,A ... conviction,https://www.washingtontimes.com/news/2000/jan/1/20000101-010814-1849r/
neutral,Mayor ... goes,https://www.washingtontimes.com/news/2000/jan/1/20000101-010814-1704r/
neutral,A ... GOP,https://www.washingtontimes.com/news/2000/jan/1/20000101-010814-1606r/
fear,Candle ... darkness,https://www.washingtontimes.com/news/2000/jan/1/20000101-010814-6013r/
neutral,Bubba's ... back,https://www.washingtontimes.com/news/2000/jan/2/20000102-010815-2193r/
anger,A ... D.C.,https://www.washingtontimes.com/news/2000/jan/2/20000102-010815-1435r/
joy,To ... economy,https://www.washingtontimes.com/news/2000/jan/2/20000102-010815-2002r/
neutral,In ... persona,https://www.washingtontimes.com/news/2000/jan/2/20000102-010815-4437r/
neutral,Cabinet ... time,https://www.washingtontimes.com/news/2000/jan/2/20000102-010815-8736r/
fear,Organic ... fear,https://www.washingtontimes.com/news/2000/jan/2/20000102-010815-1402r/
neutral,Rumsfeld ... Defense,https://www.washingtontimes.com/news/2000/jan/2/20000102-010815-7137r/
neutral,Redskins ... win,https://www.washingtontimes.com/news/2000/jan/3/20000103-010816-7452r/
neutral,Cuomo's ... grab,https://www.washingtontimes.com/news/2000/jan/3/20000103-010815-1599r/
neutral,Romancing ... Gotham,https://www.washingtontimes.com/news/2000/jan/3/20000103-010816-9985r/
neutral,Still ... here,https://www.washingtontimes.com/news/2000/jan/3/20000103-010815-1140r/
neutral,Only ... abuses,https://www.washingtontimes.com/news/2000/jan/3/20000103-010816-9994r/
neutral,Professor's ... be,https://www.washingtontimes.com/news/2000/jan/3/20000103-010815-2798r/
surprise,Gentler ... Fed?,https://www.washingtontimes.com/news/2000/jan/3/20000103-010815-2042r/
neutral,Traffic ... 2000,https://www.washingtontimes.com/news/2000/jan/3/20000103-010815-3415r/
joy,Revelers ... fashion,https://www.washingtontimes.com/news/2000/jan/3/20000103-010815-4370r/
anger,Speedup ... penalty,https://www.washingtontimes.com/news/2000/jan/3/20000103-010816-9375r/
neutral,Serbian ... forgotten,https://www.washingtontimes.com/news/2000/jan/3/20000103-010816-9826r/
fear,"Israel, ... negotiations",https://www.washingtontimes.com/news/2000/jan/3/20000103-010815-4955r/
neutral,Another ... Detroit,https://www.washingtontimes.com/news/2000/jan/3/20000103-010816-5913r/
neutral,End ... era,https://www.washingtontimes.com/news/2000/jan/3/20000103-010815-3592r/
neutral,Republicans ... chairmen,https://www.washingtontimes.com/news/2000/jan/3/20000103-010816-1732r/
neutral,MPR ... friends,https://www.washingtontimes.com/news/2000/jan/3/20000103-010816-6585r/
neutral,With ... disbanding,https://www.washingtontimes.com/news/2000/jan/3/20000103-010816-2894r/
joy,The ... dancing,https://www.washingtontimes.com/news/2000/jan/3/20000103-010816-2317r/
neutral,Hayman ... Micros,https://www.washingtontimes.com/news/2000/jan/3/20000103-010815-6460r/
neutral,E-year ... two,https://www.washingtontimes.com/news/2000/jan/3/20000103-010815-7528r/
fear,Complacency ... times,https://www.washingtontimes.com/news/2000/jan/3/20000103-010815-7882r/
neutral,Playing ... father,https://www.washingtontimes.com/news/2000/jan/3/20000103-010815-9449r/
neutral,Choice ... business,https://www.washingtontimes.com/news/2000/jan/3/20000103-010815-9701r/
neutral,To ... join,https://www.washingtontimes.com/news/2000/jan/3/20000103-010815-6244r/
neutral,Pastor ... inmates,https://www.washingtontimes.com/news/2000/jan/3/20000103-010816-4347r/
neutral,Nation's ... Pharaoh,https://www.washingtontimes.com/news/2000/jan/3/20000103-010816-8728r/
neutral,Bush ... chest,https://www.washingtontimes.com/news/2000/jan/3/20000103-010816-6511r/
fear,Presidential ... dare,https://www.washingtontimes.com/news/2000/jan/3/20000103-010816-6361r/
fear,India's ... drama,https://www.washingtontimes.com/news/2000/jan/3/20000103-010816-3293r/
neutral,Clinton ... street,https://www.washingtontimes.com/news/2000/jan/4/20000104-010817-1792r/
neutral,Anyone ... cuts?,https://www.washingtontimes.com/news/2000/jan/4/20000104-010817-2415r/
anger,U.S. ... accusations,https://www.washingtontimes.com/news/2000/jan/4/20000104-010817-3638r/
neutral,Rebel ... limits,https://www.washingtontimes.com/news/2000/jan/4/20000104-010817-9719r/
neutral,City ... future,https://www.washingtontimes.com/news/2000/jan/4/20000104-010817-3229r/
fear,Markets ... bug,https://www.washingtontimes.com/news/2000/jan/4/20000104-010817-8427r/
neutral,Dancer ... forward,https://www.washingtontimes.com/news/2000/jan/4/20000104-010817-7902r/
neutral,Bush ... enough?,https://www.washingtontimes.com/news/2000/jan/4/20000104-010817-9090r/
neutral,Small ... out,https://www.washingtontimes.com/news/2000/jan/4/20000104-010817-6973r/
neutral,Clinton ... session,https://www.washingtontimes.com/news/2000/jan/4/20000104-010817-6415r/
joy,High ... Easy,https://www.washingtontimes.com/news/2000/jan/4/20000104-010817-1376r/
neutral,U.S. ... agenda,https://www.washingtontimes.com/news/2000/jan/4/20000104-010817-5578r/
neutral,Jurisdictions ... bite,https://www.washingtontimes.com/news/2000/jan/4/20000104-010817-9667r/
neutral,Satellite ... soaring,https://www.washingtontimes.com/news/2000/jan/4/20000104-010817-1724r/
anger,Killing ... Bowden,https://www.washingtontimes.com/news/2000/jan/4/20000104-010816-4536r/
neutral,What ... 'superpower'?,https://www.washingtontimes.com/news/2000/jan/4/20000104-010817-3422r/
neutral,Keep ... Mayor,https://www.washingtontimes.com/news/2000/jan/4/20000104-010817-2941r/
neutral,The ... issue,https://www.washingtontimes.com/news/2000/jan/4/20000104-010816-3037r/
neutral,A ... Russians,https://www.washingtontimes.com/news/2000/jan/4/20000104-010816-3370r/
neutral,Tiny ... history,https://www.washingtontimes.com/news/2000/jan/4/20000104-010816-4015r/
fear,Grenade ... Beirut,https://www.washingtontimes.com/news/2000/jan/4/20000104-010816-5379r/
neutral,Most ... rail',https://www.washingtontimes.com/news/2000/jan/4/20000104-010816-2168r/
fear,Sugar ... Uneasy,https://www.washingtontimes.com/news/2000/jan/4/20000104-010816-8118r/
sadness,'Dr. ... prison,https://www.washingtontimes.com/news/2000/jan/4/20000104-010817-5451r/
neutral,Elliot ... Richardson,https://www.washingtontimes.com/news/2000/jan/4/20000104-010816-9471r/
anger,Gore ... keep,https://www.washingtontimes.com/news/2000/jan/4/20000104-010817-4844r/
neutral,Panel ... ties,https://www.washingtontimes.com/news/2000/jan/4/20000104-010817-3749r/
neutral,Who ... forget?,https://www.washingtontimes.com/news/2000/jan/4/20000104-010816-7411r/
disgust,'A ... look',https://www.washingtontimes.com/news/2000/jan/5/20000105-010818-6992r/
disgust,A ... departs,https://www.washingtontimes.com/news/2000/jan/5/20000105-010818-6383r/
neutral,Benevolent ... hegemony?,https://www.washingtontimes.com/news/2000/jan/5/20000105-010818-5953r/
joy,Clinton ... cleared,https://www.washingtontimes.com/news/2000/jan/5/20000105-010818-5859r/
neutral,Hillary ... home,https://www.washingtontimes.com/news/2000/jan/5/20000105-010818-4466r/
neutral,Economic ... transformation,https://www.washingtontimes.com/news/2000/jan/5/20000105-010818-1476r/
anger,Curious ... 'Cures',https://www.washingtontimes.com/news/2000/jan/5/20000105-010818-2658r/
neutral,Gonchar's ... Caps,https://www.washingtontimes.com/news/2000/jan/5/20000105-010819-1055r/
neutral,More ... U.S.,https://www.washingtontimes.com/news/2000/jan/5/20000105-010818-7541r/
neutral,Where ... vision?,https://www.washingtontimes.com/news/2000/jan/5/20000105-010818-8289r/
neutral,Inside ... Beltway,https://www.washingtontimes.com/news/2000/jan/5/20000105-010818-5658r/
